MonthName,Year,value
January,2009,0.552
February,2009,0.086
March,2009,0.07
April,2009,0.125
May,2009,0.21100000000000002
June,2009,0.016
July,2009,0.039
August,2009,0.09300000000000001
September,2009,0.132
October,2009,0.031
November,2009,0.39
December,2009,0.23399999999999999
January,2010,0.451
February,2010,0.06466666666666666
March,2010,0.2755
April,2010,0.101
May,2010,0.1555
June,2010,0.0265
July,2010,0.085
August,2010,0.132
September,2010,0.074
October,2010,0.062333333333333345
November,2010,0.0815
December,2010,0.155
January,2011,0.16199999999999998
February,2011,0.17750000000000002
March,2011,0.0975
April,2011,0.013999999999999999
May,2011,0.0905
June,2011,0.058499999999999996
July,2011,0.013999999999999999
August,2011,0.048
September,2011,0.0
October,2011,0.0875
November,2011,0.15999999999999998
December,2011,0.07100000000000001
January,2012,0.1385
February,2012,0.186
March,2012,0.617
April,2012,0.0
May,2012,0.075
June,2012,0.17650000000000002
July,2012,0.0505
August,2012,0.0
September,2012,0.04
October,2012,0.1875
November,2012,0.098
December,2012,0.13
January,2013,0.114
February,2013,0.0
March,2013,0.037000000000000005
April,2013,0.036000000000000004
May,2013,0.045
June,2013,0.073
July,2013,0.04
August,2013,0.033
September,2013,0.067
October,2013,0.0
November,2013,0.040999999999999995
December,2013,0.42100000000000004
January,2014,0.43
February,2014,0.21600000000000003
March,2014,0.0
April,2014,0.215
May,2014,0.051
June,2014,0.087
July,2014,0.037000000000000005
August,2014,0.0
September,2014,0.026000000000000002
October,2014,0.062
November,2014,0.15
December,2014,0.21600000000000003
January,2015,0.316
February,2015,0.0
March,2015,0.049
April,2015,0.055
May,2015,0.21
June,2015,0.35
July,2015,0.063
August,2015,0.10800000000000001
September,2015,0.065
October,2015,0.073
November,2015,0.11
December,2015,0.18
January,2016,0.13
February,2016,0.06
March,2016,0.04
April,2016,0.14
May,2016,0.16
June,2016,0.05
July,2016,0.04
August,2016,0.055999999999999994
September,2016,0.078
October,2016,0.08900000000000001
November,2016,0.11
December,2016,0.11
