MonthName,Year,value
October,1998,0.49
November,1998,0.57
December,1998,0.47
January,1999,1.76
February,1999,0.55
March,1999,0.13
April,1999,0.24
May,1999,0.86
June,1999,0.2
July,1999,0.4
August,1999,0.29
September,1999,1.1
October,1999,0.28
November,1999,1.38
December,1999,1.26
January,2000,0.76
February,2000,4.54
March,2000,2.89
April,2000,0.59
May,2000,1.11
June,2000,0.05
July,2000,1.05
August,2000,0.16
September,2000,1.49
October,2000,0.2
November,2000,0.42
December,2000,0.49
January,2001,0.39
February,2001,0.69
March,2001,0.24
April,2001,0.31
May,2001,0.2
June,2001,0.29
July,2001,0.45
August,2001,0.23
September,2001,0.31
November,2001,0.46
January,2002,0.7000000000000001
February,2002,0.42
March,2002,0.3
April,2002,0.11
May,2002,0.36
June,2002,0.66
July,2002,0.31
August,2002,0.46
September,2002,0.37
October,2002,0.515
December,2002,0.31
January,2003,0.46
February,2003,0.32
March,2003,0.28
April,2003,0.42
May,2003,0.74
June,2003,0.5
July,2003,1.0
August,2003,0.85
September,2003,0.27
October,2003,1.41
November,2003,0.64
December,2003,0.55
January,2004,1.08
February,2004,1.06
March,2004,0.16
April,2004,0.37
May,2004,0.282
June,2004,0.22
July,2004,0.8809999999999999
August,2004,0.27399999999999997
September,2004,0.217
October,2004,0.54
December,2004,0.26
January,2005,0.7440000000000001
February,2005,0.568
March,2005,0.293
April,2005,0.099
May,2005,0.035
June,2005,1.03
July,2005,0.535
August,2005,0.539
September,2005,0.113
October,2005,0.278
November,2005,0.276
December,2005,0.389
January,2006,0.146
February,2006,0.768
March,2006,0.784
April,2006,0.162
May,2006,0.672
June,2006,0.772
July,2006,0.292
August,2006,1.37
September,2006,1.22
October,2006,4.0
November,2006,0.348
December,2006,1.12
January,2007,0.37
February,2007,0.7140000000000001
March,2007,0.515
April,2007,0.11800000000000001
May,2007,0.434
June,2007,0.71
July,2007,0.684
August,2007,0.638
September,2007,0.261
October,2007,1.06
November,2007,1.2
December,2007,1.32
February,2008,0.96
March,2008,0.929
May,2008,0.477
June,2008,0.193
July,2008,0.138
August,2008,0.96
September,2008,0.175
October,2008,0.9009999999999999
November,2008,0.322
December,2008,0.21465
January,2009,0.426
February,2009,0.318
March,2009,0.38
April,2009,0.271
May,2009,0.08
June,2009,0.36700000000000005
July,2009,0.08800000000000001
August,2009,0.278
September,2009,0.214
October,2009,0.204
November,2009,0.067
December,2009,0.094
January,2010,0.115
February,2010,0.10800000000000001
March,2010,0.124
April,2010,0.099
May,2010,0.135
June,2010,0.35600000000000004
July,2010,0.36700000000000005
August,2010,0.332
September,2010,0.1
October,2010,0.059000000000000004
November,2010,0.508
December,2010,0.324
January,2011,0.217
February,2011,0.32899999999999996
March,2011,0.593
April,2011,0.131
May,2011,0.322
June,2011,0.685
August,2011,0.14350000000000002
September,2011,1.05
November,2011,0.138
December,2011,0.07200000000000001
February,2012,0.367925
March,2012,0.1212
April,2012,0.06915
May,2012,0.1379
July,2012,0.162775
August,2012,0.0
October,2012,0.113625
November,2012,0.122
December,2012,0.2576
January,2013,0.084
February,2013,0.08933333333333333
March,2013,0.1325
April,2013,0.2175
May,2013,0.094
June,2013,0.23966666666666667
July,2013,0.20355
August,2013,0.063
September,2013,0.0365
October,2013,0.162
November,2013,0.09975
December,2013,0.20199999999999999
January,2014,0.028860000000000004
March,2014,0.3081
April,2014,0.14274
May,2014,0.34814000000000006
June,2014,0.39897000000000005
July,2014,0.1755
August,2014,0.12220000000000002
September,2014,0.19343999999999997
October,2014,0.11115
November,2014,0.06968
December,2014,0.06994
January,2015,0.196
February,2015,0.2025
March,2015,0.10500000000000001
April,2015,0.044
May,2015,0.0365
June,2015,0.0805
July,2015,0.142
August,2015,0.07366666666666667
September,2015,0.08549999999999999
October,2015,0.32
November,2015,0.09566666666666668
December,2015,0.1015
January,2016,0.085
February,2016,0.2073333333333333
March,2016,0.07600000000000001
April,2016,0.07
May,2016,0.0885
June,2016,0.1375
July,2016,0.09333333333333334
August,2016,0.045
September,2016,0.05333333333333334
October,2016,0.055
November,2016,0.0505
December,2016,0.20400000000000001
