MonthName,Year,value
January,1998,0.4033333333333333
February,1998,0.5633333333333334
March,1998,1.1733333333333333
April,1998,0.1466666666666667
May,1998,0.34
June,1998,0.19333333333333333
July,1998,0.9533333333333333
August,1998,0.21333333333333335
September,1998,0.18000000000000002
October,1998,0.3833333333333333
November,1998,0.24333333333333332
December,1998,0.31
January,1999,0.6566666666666667
February,1999,0.48
March,1999,0.15
April,1999,0.15666666666666665
May,1999,0.21333333333333335
June,1999,0.16
July,1999,0.4166666666666667
August,1999,0.20666666666666667
September,1999,0.3866666666666667
October,1999,0.18333333333333335
November,1999,0.7066666666666667
December,1999,0.3633333333333333
January,2000,0.28
February,2000,1.14
March,2000,0.4533333333333333
April,2000,0.09000000000000001
May,2000,0.86
June,2000,0.03666666666666667
July,2000,1.0733333333333335
August,2000,0.21
September,2000,0.3266666666666667
October,2000,0.17666666666666667
November,2000,0.30666666666666664
December,2000,0.30333333333333334
January,2001,0.48666666666666664
February,2001,0.31666666666666665
March,2001,0.42
April,2001,0.16666666666666666
May,2001,0.45999999999999996
June,2001,0.21666666666666667
July,2001,0.30666666666666664
August,2001,0.09666666666666668
September,2001,0.3233333333333333
November,2001,0.26333333333333336
February,2002,0.4166666666666667
March,2002,0.47500000000000003
April,2002,0.28
May,2002,0.3333333333333333
June,2002,0.215
July,2002,0.23
August,2002,0.27666666666666667
September,2002,0.26166666666666666
October,2002,0.5955555555555555
November,2002,0.18666666666666668
December,2002,0.3133333333333333
January,2003,0.5766666666666665
February,2003,0.18166666666666667
March,2003,0.2085
April,2003,0.34016666666666656
May,2003,0.18583333333333338
June,2003,0.37999999999999995
July,2003,1.0471666666666668
August,2003,0.3076666666666667
September,2003,0.26333333333333336
October,2003,0.5085000000000001
November,2003,0.38633333333333336
December,2003,0.7946666666666666
January,2004,0.9580000000000002
February,2004,1.0223333333333333
March,2004,0.38199999999999995
April,2004,0.1525
May,2004,0.18533333333333332
June,2004,0.33116666666666666
July,2004,0.21616666666666665
August,2004,0.2866666666666666
September,2004,0.09133333333333334
