MonthName,Year,value
January,2009,0.631
February,2009,0.081
March,2009,0.162
April,2009,0.021
May,2009,0.051
June,2009,0.051
July,2009,0.038
August,2009,0.177
September,2009,0.17
October,2009,0.059000000000000004
November,2009,0.17
December,2009,0.113
January,2010,6.138
February,2010,0.331
March,2010,0.267
April,2010,0.28600000000000003
May,2010,0.055999999999999994
June,2010,0.115
July,2010,0.183
August,2010,0.03
September,2010,0.035
October,2010,0.019
November,2010,0.165
December,2010,0.19699999999999998
January,2011,0.509
February,2011,0.24
March,2011,0.162
April,2011,0.06
May,2011,0.087
June,2011,0.07
July,2011,0.052000000000000005
August,2011,0.065
September,2011,0.046
October,2011,0.14800000000000002
November,2011,0.07200000000000001
December,2011,0.111
January,2012,0.326
February,2012,0.389
March,2012,0.32299999999999995
April,2012,0.258
May,2012,0.29600000000000004
June,2012,0.11699999999999999
July,2012,0.105
August,2012,0.0
September,2012,0.054000000000000006
October,2012,0.036000000000000004
November,2012,0.076
December,2012,0.171
January,2013,0.173
February,2013,0.3695
March,2013,0.2225
April,2013,0.10250000000000001
May,2013,0.0
June,2013,0.02
July,2013,0.067
August,2013,0.0355
September,2013,0.018500000000000003
October,2013,0.040999999999999995
November,2013,0.22949999999999998
December,2013,0.798
January,2014,0.6485
February,2014,1.008
March,2014,0.5630000000000001
April,2014,0.5285
May,2014,0.1485
June,2014,0.21500000000000002
July,2014,0.137
August,2014,0.14933333333333332
September,2014,0.193
October,2014,0.133
November,2014,0.3695
December,2014,0.576
January,2015,1.2075
February,2015,0.631
March,2015,0.5165
April,2015,0.3345
May,2015,0.055999999999999994
June,2015,0.20249999999999999
July,2015,0.10833333333333334
August,2015,0.08
September,2015,0.0265
October,2015,0.2145
November,2015,0.1375
December,2015,0.4495
January,2016,0.3235
February,2016,0.24749999999999997
March,2016,0.0965
April,2016,0.0495
May,2016,0.051500000000000004
June,2016,0.0725
July,2016,0.09100000000000001
August,2016,0.148
September,2016,0.041
October,2016,0.0995
November,2016,0.193
December,2016,0.1945
