MonthName,Year,value
January,1998,0.2833333333333334
February,1998,0.1366666666666667
March,1998,0.23666666666666666
April,1998,0.18000000000000002
May,1998,0.29666666666666663
June,1998,0.26333333333333336
July,1998,0.21
August,1998,0.22333333333333336
September,1998,0.17
October,1998,0.29666666666666663
November,1998,0.2333333333333333
December,1998,0.15333333333333335
January,1999,0.4566666666666667
February,1999,0.9400000000000001
March,1999,0.55
April,1999,0.19000000000000003
May,1999,0.32
June,1999,0.19000000000000003
July,1999,0.37000000000000005
August,1999,0.20333333333333337
September,1999,0.3833333333333333
October,1999,0.22666666666666668
November,1999,0.8333333333333334
December,1999,0.35333333333333333
January,2000,2.27
February,2000,0.25666666666666665
March,2000,0.51
April,2000,0.09999999999999999
May,2000,1.1833333333333333
June,2000,0.056666666666666664
July,2000,0.40666666666666657
August,2000,0.19000000000000003
September,2000,0.47000000000000003
October,2000,0.19333333333333333
November,2000,0.25666666666666665
December,2000,0.42
January,2001,0.5433333333333333
February,2001,0.3666666666666667
March,2001,0.3
April,2001,0.32
May,2001,0.23
June,2001,0.25333333333333335
July,2001,0.3433333333333333
August,2001,0.14333333333333334
September,2001,0.29000000000000004
November,2001,0.7966666666666667
December,2001,0.42
January,2002,0.09666666666666666
February,2002,0.42
March,2002,0.21
April,2002,0.39999999999999997
May,2002,0.4066666666666667
June,2002,0.02
July,2002,0.20333333333333334
August,2002,0.02
September,2002,0.5333333333333333
October,2002,0.35000000000000003
November,2002,0.1466666666666667
December,2002,0.17666666666666667
January,2003,0.103
February,2003,0.32
March,2003,0.2866666666666666
April,2003,0.11499999999999999
May,2003,0.26899999999999996
June,2003,0.428
July,2003,0.5733333333333334
August,2003,0.43333333333333335
September,2003,0.13
October,2003,0.7033333333333333
November,2003,0.38000000000000006
December,2003,0.6533333333333333
February,2004,0.826
March,2004,0.08133333333333333
April,2004,0.22399999999999998
May,2004,0.2886666666666667
June,2004,0.09633333333333334
July,2004,0.5896666666666667
August,2004,0.09366666666666668
September,2004,0.058666666666666666
October,2004,0.02
December,2004,0.14766666666666664
January,2005,0.7653333333333333
February,2005,0.05533333333333334
March,2005,0.4876666666666667
April,2005,0.17833333333333332
May,2005,0.25866666666666666
June,2005,0.26
July,2005,0.2966666666666667
August,2005,0.011000000000000001
September,2005,0.229
October,2005,0.109
November,2005,0.20933333333333334
December,2005,0.06666666666666667
January,2006,0.059566666666666664
February,2006,0.7766666666666667
March,2006,0.8210000000000001
April,2006,0.33699999999999997
May,2006,0.35300000000000004
June,2006,0.6513333333333332
July,2006,0.6970000000000001
August,2006,0.6113333333333334
September,2006,0.602
October,2006,0.654
November,2006,0.2866666666666666
December,2006,0.7136666666666667
January,2007,0.27566666666666667
February,2007,0.13499999999999998
March,2007,0.17600000000000002
April,2007,0.10266666666666667
May,2007,0.07033333333333333
June,2007,0.30633333333333335
July,2007,0.25266666666666665
August,2007,0.028
September,2007,0.16633333333333333
October,2007,0.506
November,2007,0.39033333333333337
December,2007,0.13133333333333333
January,2008,0.4186666666666667
March,2008,0.2723333333333333
April,2008,0.25666666666666665
May,2008,0.09600000000000002
June,2008,0.4016666666666666
July,2008,0.132
August,2008,0.2813333333333333
September,2008,0.05366666666666667
October,2008,0.45776666666666666
November,2008,0.139
December,2008,0.11693333333333333
January,2009,0.3413
February,2009,0.06466666666666666
March,2009,0.371
April,2009,0.09333333333333334
May,2009,0.08366666666666667
June,2009,0.19699999999999998
July,2009,0.5710000000000001
August,2009,0.07800000000000001
September,2009,0.095
October,2009,0.09706666666666668
November,2009,0.10333333333333333
December,2009,0.09666666666666666
January,2010,0.12966666666666668
February,2010,0.12033333333333335
March,2010,0.12133333333333333
April,2010,0.052
May,2010,0.165
June,2010,0.33666666666666667
July,2010,0.09033333333333333
August,2010,0.33666666666666667
September,2010,0.19499999999999998
October,2010,0.09999999999999999
November,2010,0.07233333333333335
December,2010,0.07566666666666667
January,2011,0.162
February,2011,0.2601666666666667
March,2011,0.18800000000000003
April,2011,0.21833333333333335
May,2011,0.09383333333333334
June,2011,0.12916666666666668
July,2011,0.18800000000000003
August,2011,0.1425
September,2011,0.08033333333333333
October,2011,0.13416666666666668
November,2011,0.20650000000000002
December,2011,0.2065
January,2012,0.14686666666666667
February,2012,0.17743333333333333
March,2012,0.39266666666666666
April,2012,0.06656666666666666
May,2012,0.09686666666666667
June,2012,0.09583333333333333
July,2012,0.11653333333333334
September,2012,0.07366666666666667
October,2012,0.040433333333333335
November,2012,0.1813
December,2012,0.10853333333333333
January,2013,0.10899999999999999
February,2013,0.05200000000000001
March,2013,0.14200000000000002
April,2013,0.21033333333333334
May,2013,0.16766666666666663
June,2013,0.09366666666666668
July,2013,0.13733333333333334
August,2013,0.03233333333333333
September,2013,0.06666666666666667
October,2013,0.103
November,2013,0.05466666666666667
December,2013,0.16733333333333333
January,2014,0.24153999999999998
March,2014,0.34216
April,2014,0.04472
May,2014,0.09333999999999999
June,2014,0.12974
July,2014,0.10764
August,2014,0.18434000000000003
September,2014,0.20631
October,2014,0.24752
November,2014,0.19396
December,2014,0.24492
January,2015,0.24133333333333332
February,2015,0.19200000000000003
March,2015,0.18233333333333332
April,2015,0.13033333333333333
May,2015,0.31633333333333336
June,2015,0.053666666666666675
July,2015,0.10833333333333334
August,2015,0.22266666666666665
September,2015,0.05866666666666667
October,2015,0.10766666666666667
November,2015,0.16666666666666666
December,2015,0.136
January,2016,0.13633333333333333
February,2016,0.18099999999999997
March,2016,0.1663333333333333
April,2016,0.11366666666666665
