MonthName,Year,value
April,1998,0.16
June,1998,0.19
August,1998,0.21
October,1998,0.34333333333333327
November,1998,0.10666666666666667
December,1998,0.12666666666666668
January,1999,0.48666666666666664
February,1999,0.6533333333333333
March,1999,0.24
April,1999,0.18666666666666668
May,1999,0.8933333333333334
June,1999,0.05333333333333334
July,1999,0.495
August,1999,0.18000000000000002
September,1999,0.31666666666666665
October,1999,0.21
November,1999,0.9566666666666667
December,1999,0.45999999999999996
January,2000,1.9566666666666668
February,2000,0.3
March,2000,0.49000000000000005
April,2000,0.09000000000000001
May,2000,1.0166666666666666
June,2000,0.04
July,2000,0.49666666666666676
August,2000,0.22333333333333336
September,2000,0.4066666666666667
October,2000,0.16333333333333333
November,2000,0.3066666666666667
December,2000,0.41
January,2001,0.3866666666666667
February,2001,0.49666666666666665
March,2001,0.18999999999999997
April,2001,0.31666666666666665
May,2001,0.26666666666666666
June,2001,0.33666666666666667
July,2001,0.35333333333333333
August,2001,0.11666666666666665
September,2001,0.25333333333333335
November,2001,0.2966666666666667
December,2001,0.48333333333333334
January,2002,0.08
February,2002,0.3499999999999999
March,2002,0.25333333333333335
April,2002,0.13333333333333333
May,2002,0.26
June,2002,0.24666666666666667
July,2002,0.24333333333333332
August,2002,0.3233333333333333
September,2002,0.10000000000000002
October,2002,0.38666666666666666
November,2002,0.12333333333333334
December,2002,0.15333333333333332
January,2003,0.2866666666666667
February,2003,0.23
March,2003,0.138
April,2003,0.521
May,2003,0.3376666666666667
June,2003,0.419
July,2003,0.5133333333333333
August,2003,0.65
September,2003,0.13333333333333333
October,2003,0.39999999999999997
November,2003,0.318
December,2003,1.3196666666666668
January,2004,1.1166666666666667
February,2004,0.8016666666666666
March,2004,0.7366666666666667
April,2004,0.245
May,2004,0.38766666666666666
June,2004,0.22799999999999998
July,2004,0.12
August,2004,0.06766666666666667
September,2004,0.164
October,2004,0.0
December,2004,0.074
January,2005,0.9013333333333334
February,2005,0.028999999999999998
March,2005,0.12166666666666669
April,2005,0.9049999999999999
May,2005,0.4486666666666667
June,2005,0.21666666666666667
July,2005,0.3356666666666667
August,2005,0.18100000000000002
September,2005,0.323
October,2005,0.4013333333333333
November,2005,0.23833333333333337
December,2005,0.15533333333333335
January,2006,0.16866666666666666
February,2006,0.64
March,2006,0.3913333333333333
April,2006,0.17066666666666666
May,2006,0.264
June,2006,0.12533333333333332
July,2006,0.43933333333333335
August,2006,0.49266666666666675
September,2006,0.6426666666666666
October,2006,1.4183333333333332
November,2006,0.21166666666666664
December,2006,0.5536666666666668
January,2007,0.2866666666666667
February,2007,0.13720000000000002
March,2007,0.06466666666666666
April,2007,0.08533333333333333
May,2007,0.07466666666666667
June,2007,0.6036666666666667
July,2007,0.2496666666666667
August,2007,0.06433333333333334
September,2007,0.07066666666666667
October,2007,0.47433333333333333
November,2007,0.393
December,2007,0.18200000000000002
January,2008,0.759
February,2008,0.02
March,2008,0.32266666666666666
April,2008,0.37000000000000005
May,2008,0.15233333333333332
June,2008,0.44366666666666665
July,2008,0.13933333333333334
August,2008,0.24
September,2008,0.08533333333333333
October,2008,0.5244333333333334
November,2008,0.31466666666666665
December,2008,0.2788
January,2009,0.11493333333333333
February,2009,0.06266666666666666
March,2009,0.35833333333333334
April,2009,0.11666666666666668
May,2009,0.05499999999999999
June,2009,0.25333333333333335
July,2009,0.4286666666666667
August,2009,0.15533333333333332
September,2009,0.08900000000000001
October,2009,0.08660000000000001
November,2009,0.10733333333333334
December,2009,0.09200000000000001
January,2010,0.075
February,2010,0.6903333333333332
March,2010,0.10133333333333334
April,2010,0.07433333333333335
May,2010,0.2153333333333333
June,2010,0.25866666666666666
July,2010,0.09233333333333332
August,2010,0.34500000000000003
September,2010,0.16900000000000004
October,2010,0.11233333333333333
November,2010,0.246
December,2010,0.11966666666666666
January,2011,0.18933333333333335
February,2011,0.22266666666666665
March,2011,0.123
April,2011,0.23666666666666666
May,2011,0.14633333333333334
June,2011,0.1265
July,2011,0.1691666666666667
August,2011,0.15899999999999997
September,2011,0.08800000000000001
October,2011,0.11333333333333333
November,2011,0.1758333333333333
December,2011,0.20266666666666666
January,2012,0.12146666666666667
February,2012,0.15383333333333335
March,2012,0.40713333333333335
April,2012,0.08933333333333333
May,2012,0.06733333333333334
June,2012,0.11113333333333332
July,2012,0.0891
September,2012,0.13105
October,2012,0.010366666666666666
November,2012,0.17923333333333336
December,2012,0.1119
January,2013,0.2806666666666667
February,2013,0.06066666666666667
March,2013,0.14433333333333334
April,2013,0.16833333333333333
May,2013,0.07366666666666667
June,2013,0.149
July,2013,0.077
August,2013,0.0
September,2013,0.12233333333333334
October,2013,0.11
November,2013,0.078
December,2013,0.24133333333333337
January,2014,0.35256
March,2014,0.32968
April,2014,0.04082
May,2014,0.11752
June,2014,0.221
July,2014,0.13754
August,2014,0.11544
September,2014,0.20682999999999996
October,2014,0.24570000000000003
November,2014,0.16197999999999999
December,2014,0.15158000000000002
January,2015,0.2323333333333333
February,2015,0.19200000000000003
March,2015,0.16566666666666666
April,2015,0.16133333333333333
May,2015,0.264
June,2015,0.27699999999999997
July,2015,0.12933333333333333
August,2015,0.13166666666666668
September,2015,0.11066666666666668
October,2015,0.079
November,2015,0.13466666666666668
December,2015,0.122
January,2016,0.11366666666666668
February,2016,0.17600000000000002
March,2016,0.14766666666666664
April,2016,0.118
May,2016,0.2806666666666667
June,2016,0.078
July,2016,0.08666666666666667
August,2016,0.009666666666666665
September,2016,0.008666666666666668
October,2016,0.0
November,2016,0.009333333333333332
December,2016,0.036000000000000004
