MonthName,Year,value
January,2009,0.877
February,2009,0.475
March,2009,0.064
April,2009,0.136
May,2009,0.044000000000000004
June,2009,0.026000000000000002
July,2009,0.046
August,2009,0.057
September,2009,0.035
October,2009,3.995
November,2009,1.083
December,2009,0.644
January,2010,3.1395
February,2010,2.3045
March,2010,1.8076666666666668
April,2010,4.254
May,2010,0.274
June,2010,0.07100000000000001
July,2010,0.14433333333333334
August,2010,0.2785
September,2010,1.7285000000000001
October,2010,0.08900000000000001
November,2010,0.2345
December,2010,0.484
January,2011,0.569
February,2011,0.36550000000000005
March,2011,0.8373333333333335
April,2011,0.141
May,2011,0.22650000000000003
June,2011,0.0985
July,2011,0.1845
August,2011,0.123
September,2011,0.0965
October,2011,0.1905
November,2011,0.2005
December,2011,0.141
January,2012,1.2445
February,2012,0.645
March,2012,2.1326666666666667
April,2012,0.7835000000000001
May,2012,0.4536666666666666
July,2012,0.5735
August,2012,0.145
September,2012,0.0885
October,2012,0.8025000000000001
November,2012,0.1915
December,2012,0.9084999999999999
January,2013,0.33899999999999997
February,2013,0.7020000000000001
March,2013,0.201
April,2013,0.14800000000000002
May,2013,0.109
June,2013,0.055
July,2013,0.025
August,2013,0.025
September,2013,0.068
October,2013,2.7939999999999996
November,2013,3.008
December,2013,5.245
January,2014,8.757
March,2014,0.228
May,2014,0.059000000000000004
June,2014,0.04
July,2014,3.972
September,2014,8.3355
October,2014,7.866
November,2014,9.156
December,2014,4.355
January,2015,3.534
February,2015,4.662
March,2015,1.306
April,2015,0.755
May,2015,0.23600000000000002
June,2015,0.221
July,2015,0.255
August,2015,0.23800000000000002
September,2015,0.099
October,2015,0.29600000000000004
November,2015,0.16
December,2015,0.9
February,2016,3.585
March,2016,0.449
April,2016,0.135
May,2016,0.72
June,2016,0.115
July,2016,2.707
August,2016,0.03
September,2016,0.113
October,2016,0.015
November,2016,0.267
December,2016,1.002
