MonthName,Year,value
January,2009,7.0
February,2009,13.0
March,2009,5.3
April,2009,6.0
May,2009,7.0
June,2009,7.0
July,2009,8.0
August,2009,8.0
September,2009,7.0
October,2009,6.0
November,2009,5.0
December,2009,5.0
January,2010,7.0
February,2010,5.0
March,2010,6.0
April,2010,8.0
May,2010,8.0
June,2010,9.0
July,2010,6.0
August,2010,7.2
September,2010,5.0
October,2010,10.0
November,2010,6.0
December,2010,9.0
January,2011,9.0
February,2011,4.0
March,2011,4.5
April,2011,8.5
May,2011,4.0
June,2011,8.5
July,2011,9.5
August,2011,5.0
September,2011,0.0
October,2011,10.5
November,2011,6.5
December,2011,0.0
January,2012,0.0
February,2012,0.0
March,2012,5.0
April,2012,5.0
May,2012,0.0
June,2012,11.5
July,2012,5.0
August,2012,10.5
September,2012,0.0
October,2012,6.0
November,2012,5.0
December,2012,11.5
January,2013,12.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,14.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
January,2014,5.0
February,2014,5.0
March,2014,5.0
April,2014,5.0
May,2014,5.0
June,2014,15.0
July,2014,5.0
August,2014,15.0
September,2014,5.0
October,2014,11.0
November,2014,13.0
December,2014,16.0
January,2015,5.0
February,2015,5.0
March,2015,18.0
April,2015,16.0
May,2015,17.0
June,2015,18.0
July,2015,17.0
August,2015,12.0
September,2015,16.0
October,2015,5.0
November,2015,5.0
December,2015,5.0
January,2016,5.0
February,2016,5.0
March,2016,5.0
April,2016,5.0
May,2016,12.0
June,2016,5.0
July,2016,19.0
August,2016,12.0
September,2016,21.0
October,2016,11.0
November,2016,12.0
December,2016,13.0
