MonthName,Year,value
January,1998,13.8
February,1998,13.4
March,1998,13.1
April,1998,10.350000000000001
May,1998,13.6
June,1998,11.45
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,1999,10.833333333333334
February,1999,17.19
March,1999,15.833333333333334
May,1999,13.666666666666666
July,1999,18.400000000000002
August,1999,13.9
September,1999,10.45
October,1999,10.85
November,1999,10.85
December,1999,11.05
January,2000,11.25
February,2000,11.033333333333333
March,2000,11.766666666666666
April,2000,10.266666666666667
May,2000,14.299999999999999
June,2000,11.766666666666666
July,2000,17.3
August,2000,12.799999999999999
September,2000,9.933333333333334
October,2000,9.799999999999999
November,2000,8.5
December,2000,11.633333333333333
January,2001,15.866666666666667
March,2001,21.666666666666668
April,2001,8.200000000000001
May,2001,9.333333333333334
June,2001,9.766666666666667
July,2001,12.966666666666667
August,2001,9.799999999999999
September,2001,12.433333333333332
March,2002,12.6
April,2002,13.800000000000002
May,2002,12.266666666666666
June,2002,10.116666666666667
July,2002,9.6
August,2002,9.0
September,2002,10.533333333333333
October,2002,10.566666666666668
November,2002,13.1
December,2002,21.46666666666667
January,2003,20.599999999999998
February,2003,10.799999999999999
March,2003,10.5
April,2003,10.066666666666666
May,2003,13.661666666666667
June,2003,10.003333333333332
July,2003,9.951666666666666
August,2003,11.699999999999998
September,2003,8.633333333333333
October,2003,9.755
November,2003,8.79
December,2003,10.459999999999999
January,2004,10.965
February,2004,10.078333333333333
March,2004,9.408333333333333
April,2004,9.286666666666667
May,2004,9.9
June,2004,10.276666666666667
July,2004,9.19
August,2004,9.16
September,2004,7.698333333333333
October,2004,6.973333333333334
November,2004,9.135
December,2004,8.3225
January,2005,8.991666666666667
February,2005,7.698333333333333
March,2005,7.535
April,2005,7.6866666666666665
May,2005,8.229999999999999
June,2005,8.74
July,2005,9.0
August,2005,5.958333333333333
September,2005,6.6066666666666665
October,2005,6.4383333333333335
November,2005,8.701666666666666
December,2005,8.461666666666666
January,2006,8.165000000000001
February,2006,8.673333333333334
March,2006,9.242166666666666
April,2006,8.723333333333334
May,2006,9.743333333333334
June,2006,10.426666666666668
July,2006,8.66
August,2006,8.766666666666666
September,2006,6.633333333333333
October,2006,6.9775
November,2006,6.8
December,2006,8.5
January,2007,8.036666666666667
February,2007,10.375
March,2007,9.876666666666667
April,2007,12.8825
May,2007,6.785
June,2007,7.448333333333333
July,2007,7.746666666666667
August,2007,9.193333333333333
September,2007,9.773333333333333
October,2007,7.8
November,2007,9.11
December,2007,9.43
January,2008,9.925
February,2008,11.54
March,2008,11.42
May,2008,8.923333333333334
June,2008,9.593333333333334
July,2008,7.486666666666667
August,2008,9.025
September,2008,8.708571428571428
October,2008,9.8325
November,2008,10.28
December,2008,11.086666666666666
January,2009,7.34
February,2009,8.296666666666667
March,2009,9.67
April,2009,8.61
May,2009,7.748333333333332
June,2009,10.065
July,2009,8.8
August,2009,8.65
September,2009,8.666666666666666
October,2009,8.223333333333334
November,2009,10.966666666666669
December,2009,10.333333333333334
January,2010,7.87
February,2010,12.79
March,2010,5.1066666666666665
April,2010,9.836666666666666
May,2010,10.243333333333334
June,2010,9.223333333333334
July,2010,10.643333333333333
August,2010,13.226666666666667
September,2010,10.576666666666666
October,2010,8.923333333333334
November,2010,10.083333333333334
December,2010,9.68
January,2011,10.0
February,2011,13.226666666666667
March,2011,13.1
April,2011,0.0
May,2011,9.76
June,2011,9.973333333333334
July,2011,12.21
August,2011,10.336666666666666
September,2011,10.33
November,2011,10.780000000000001
December,2011,10.126666666666667
January,2012,13.33
February,2012,12.65
March,2012,2.733333333333333
April,2012,10.253333333333332
May,2012,10.2
June,2012,11.71
July,2012,9.433333333333332
August,2012,9.756666666666666
September,2012,10.839999999999998
October,2012,10.333333333333334
November,2012,9.666666666666666
January,2013,11.563333333333333
February,2013,10.166666666666666
March,2013,12.786666666666667
April,2013,13.75
May,2013,9.39
June,2013,10.06
July,2013,9.556666666666667
August,2013,11.146666666666667
September,2013,11.943333333333333
October,2013,12.283333333333333
November,2013,11.26
December,2013,10.076666666666666
January,2014,15.033333333333333
February,2014,14.953333333333333
March,2014,10.85
April,2014,9.92
May,2014,12.71
June,2014,11.738333333333335
July,2014,11.726666666666667
August,2014,10.735
September,2014,11.17
October,2014,9.321428571428571
November,2014,9.77
December,2014,12.625
January,2015,12.253333333333332
February,2015,11.85
March,2015,11.65
April,2015,9.94
May,2015,10.04
June,2015,8.996666666666668
July,2015,8.373333333333333
August,2015,8.276666666666667
September,2015,8.736666666666666
October,2015,9.94
November,2015,10.24
December,2015,10.243333333333334
January,2016,11.200000000000001
February,2016,10.799999999999999
March,2016,11.126666666666665
April,2016,10.903333333333334
May,2016,11.979999999999999
June,2016,11.836666666666666
July,2016,10.896666666666667
August,2016,10.623333333333333
September,2016,9.59
October,2016,10.17
November,2016,10.11
December,2016,10.08
