MonthName,Year,value
October,1998,0.0
November,1998,23.0
December,1998,0.0
January,1999,44.0
February,1999,31.0
March,1999,27.0
May,1999,34.0
July,1999,26.0
August,1999,18.0
September,1999,26.0
October,1999,17.5
November,1999,48.0
December,1999,52.0
January,2000,50.0
February,2000,62.0
March,2000,55.0
April,2000,14.8
May,2000,27.0
June,2000,15.6
July,2000,18.0
August,2000,14.2
September,2000,23.0
October,2000,14.2
November,2000,27.5
December,2000,33.0
January,2001,15.0
February,2001,16.0
March,2001,20.0
April,2001,11.0
May,2001,15.0
June,2001,18.0
July,2001,17.0
August,2001,15.4
September,2001,28.0
November,2001,28.0
February,2002,26.0
March,2002,24.0
April,2002,33.0
May,2002,20.0
June,2002,49.0
July,2002,50.0
August,2002,48.0
September,2002,55.0
October,2002,36.0
December,2002,18.0
February,2003,24.0
March,2003,26.0
April,2003,19.0
May,2003,16.0
June,2003,17.0
July,2003,17.0
August,2003,29.0
September,2003,33.0
October,2003,42.0
November,2003,30.0
December,2003,20.0
January,2004,19.0
February,2004,30.0
March,2004,30.0
April,2004,58.0
May,2004,52.1
June,2004,44.6
July,2004,53.6
August,2004,58.0
September,2004,40.8
October,2004,38.0
December,2004,28.5
June,2006,26.6
September,2006,43.8
October,2006,59.4
November,2006,49.2
December,2006,49.4
January,2007,42.3
February,2007,53.9
March,2007,47.4
April,2007,36.1
June,2007,54.8
July,2007,29.1
September,2007,46.7
October,2007,48.0
November,2007,35.9
December,2007,42.1
March,2008,33.93
May,2008,29.025
June,2008,38.59
July,2008,49.63
August,2008,48.24
September,2008,48.24
October,2008,43.63
November,2008,34.52
December,2008,34.535
January,2009,34.52
February,2009,34.44
March,2009,48.24
April,2009,24.12
May,2009,34.52
June,2009,24.74
July,2009,29.5
August,2009,34.52
September,2009,24.6
October,2009,34.44
November,2009,44.37
December,2009,29.52
January,2010,29.52
February,2010,29.16
March,2010,34.44
April,2010,39.36
May,2010,29.59
June,2010,29.59
July,2010,29.52
August,2010,29.52
September,2010,29.52
October,2010,34.52
November,2010,37.6
December,2010,28.08
January,2011,32.9
February,2011,27.4
March,2011,31.97
April,2011,27.41
May,2011,28.94
June,2011,24.6
August,2011,25.81
September,2011,32.76
November,2011,23.939999999999998
December,2011,24.48
February,2012,23.399999999999995
March,2012,27.67
April,2012,23.4
May,2012,23.4
July,2012,38.305
August,2012,74.88
October,2012,37.44
November,2012,29.76
December,2012,32.45
January,2013,28.08
February,2013,24.48
March,2013,24.48
April,2013,28.22
May,2013,32.93
June,2013,37.28
July,2013,46.74
August,2013,29.52
September,2013,34.38
October,2013,28.81
November,2013,28.92
December,2013,28.51
January,2014,31.03
March,2014,24.54
April,2014,29.37
May,2014,27.42
June,2014,25.46
July,2014,29.37
August,2014,27.15
September,2014,25.14
October,2014,23.62
November,2014,28.29
December,2014,19.68
January,2015,25.73
March,2015,25.27
April,2015,29.16
May,2015,26.47
June,2015,25.27
July,2015,31.98
August,2015,29.37
September,2015,27.665
October,2015,27.15
November,2015,31.49
December,2015,26.61
January,2016,25.08
February,2016,25.475
March,2016,25.5
April,2016,31.74
May,2016,29.42
June,2016,29.52
July,2016,33.45
August,2016,31.89
September,2016,29.52
October,2016,38.88
November,2016,30.87
December,2016,27.21
