MonthName,Year,value
January,1998,9.233333333333334
February,1998,9.033333333333333
March,1998,9.633333333333333
April,1998,13.566666666666668
May,1998,10.0
June,1998,13.1
July,1998,10.033333333333333
August,1998,11.4
September,1998,9.916666666666666
October,1998,12.266666666666666
November,1998,17.0
December,1998,0.0
January,1999,15.333333333333334
February,1999,21.0
March,1999,12.333333333333334
May,1999,14.0
July,1999,17.0
August,1999,14.433333333333332
September,1999,18.666666666666668
October,1999,13.733333333333334
November,1999,19.666666666666668
December,1999,21.333333333333332
January,2000,14.666666666666666
February,2000,45.333333333333336
March,2000,33.666666666666664
April,2000,11.6
May,2000,16.333333333333332
June,2000,14.0
July,2000,22.666666666666668
August,2000,13.733333333333334
September,2000,14.666666666666666
October,2000,12.4
November,2000,14.9
December,2000,24.333333333333332
January,2001,18.0
February,2001,14.666666666666666
March,2001,17.666666666666668
April,2001,10.633333333333333
May,2001,22.666666666666668
June,2001,19.666666666666668
July,2001,19.666666666666668
August,2001,14.200000000000001
September,2001,17.0
November,2001,15.0
February,2002,28.333333333333332
March,2002,28.166666666666668
April,2002,36.333333333333336
May,2002,33.333333333333336
June,2002,27.666666666666668
July,2002,31.333333333333332
August,2002,28.5
September,2002,30.333333333333332
October,2002,36.5
November,2002,42.666666666666664
December,2002,37.333333333333336
January,2003,23.0
February,2003,20.666666666666668
March,2003,13.25
April,2003,18.5
May,2003,10.333333333333334
June,2003,13.5
July,2003,14.5
August,2003,14.0
September,2003,14.333333333333334
October,2003,17.333333333333332
November,2003,22.0
December,2003,16.333333333333332
January,2004,16.5
February,2004,30.0
March,2004,30.0
April,2004,31.0
May,2004,48.0
June,2004,36.15
July,2004,32.199999999999996
August,2004,31.333333333333332
September,2004,27.5
October,2004,19.333333333333332
November,2004,35.13333333333333
December,2004,37.800000000000004
May,2005,30.666666666666668
July,2006,32.766666666666666
August,2006,14.5
September,2006,41.5
October,2006,58.26666666666667
November,2006,54.9
December,2006,24.0
January,2007,23.0
February,2007,29.133333333333336
March,2007,23.36
April,2007,19.8
May,2007,25.03333333333333
June,2007,30.233333333333334
August,2007,37.53333333333333
September,2007,36.65
November,2007,22.400000000000002
December,2007,32.86666666666667
January,2008,32.0
February,2008,23.8
March,2008,28.996666666666666
April,2008,25.72666666666667
May,2008,27.37
June,2008,27.897777777777776
July,2008,28.136666666666667
August,2008,34.678333333333335
September,2008,29.10666666666667
October,2008,30.08666666666667
November,2008,25.093333333333334
December,2008,24.600000000000005
January,2009,22.959999999999997
February,2009,22.959999999999997
March,2009,25.95
April,2009,30.903333333333332
May,2009,25.44333333333333
June,2009,23.013333333333332
July,2009,23.05333333333333
August,2009,22.988333333333333
September,2009,24.600000000000005
October,2009,21.90222222222222
November,2009,22.413333333333334
December,2009,27.900000000000002
January,2010,22.959999999999997
February,2010,22.316666666666666
March,2010,24.63
April,2010,24.600000000000005
May,2010,24.74
June,2010,27.94666666666667
July,2010,27.866666666666664
August,2010,19.48
September,2010,22.959999999999997
October,2010,21.95
November,2010,23.399999999999995
December,2010,23.399999999999995
January,2011,24.600000000000005
March,2011,22.84
May,2011,24.12
June,2011,23.838333333333335
July,2011,21.06
August,2011,19.83111111111111
September,2011,22.62
October,2011,16.38
November,2011,20.78333333333333
December,2011,19.526666666666664
January,2012,20.396666666666665
February,2012,18.72
March,2012,19.986666666666665
April,2012,22.84
May,2012,23.399999999999995
June,2012,21.493333333333336
July,2012,29.23
August,2012,20.279999999999998
September,2012,23.399999999999995
October,2012,18.72
November,2012,23.146666666666665
December,2012,21.633333333333336
January,2013,23.399999999999995
February,2013,29.37
March,2013,24.48
April,2013,18.64
May,2013,21.953333333333333
June,2013,23.3
July,2013,24.600000000000005
August,2013,24.600000000000005
September,2013,25.540000000000003
October,2013,26.99
November,2013,25.703333333333333
December,2013,26.61
January,2014,24.563333333333333
March,2014,21.916666666666668
April,2014,20.886666666666667
May,2014,24.27333333333333
June,2014,24.80666666666667
July,2014,23.5
August,2014,22.916666666666668
September,2014,21.650000000000002
October,2014,24.27333333333333
November,2014,19.02
January,2015,21.11
February,2015,16.396666666666665
March,2015,18.790000000000003
April,2015,22.03
May,2015,22.689999999999998
June,2015,26.563333333333333
July,2015,21.95
August,2015,21.319999999999997
September,2015,20.468333333333334
October,2015,22.623333333333335
November,2015,22.03
December,2015,22.176666666666666
January,2016,20.41
February,2016,22.22666666666667
March,2016,20.336666666666666
April,2016,19.61
May,2016,24.74
June,2016,22.30333333333333
July,2016,28.113333333333333
August,2016,28.206666666666667
September,2016,22.03
October,2016,29.243333333333336
November,2016,24.436666666666667
December,2016,19.61
