MonthName,Year,value
January,2009,13.2
February,2009,24.0
March,2009,13.0
May,2009,28.0
June,2009,39.6
July,2009,27.02
August,2009,36.6
September,2009,35.44
November,2009,27.59
December,2009,18.56
January,2010,18.69
February,2010,18.54
March,2010,30.72
April,2010,11.5
May,2010,15.09
June,2010,32.34
July,2010,16.77
August,2010,22.0
September,2010,32.2
October,2010,33.3
November,2010,12.5
December,2010,15.4
January,2011,15.3
February,2011,13.9
March,2011,18.4
April,2011,16.56
May,2011,14.78
June,2011,12.87
July,2011,14.7
August,2011,22.0
September,2011,18.4
October,2011,24.6
November,2011,8.3
December,2011,12.88
January,2012,12.0
February,2012,31.6
March,2012,19.32
April,2012,22.08
May,2012,33.41
June,2012,42.6
July,2012,29.76
August,2012,23.0
September,2012,14.0
October,2012,25.75
November,2012,0.0
December,2012,25.76
January,2013,12.5
February,2013,15.0
March,2013,48.17
April,2013,37.0
May,2013,12.5
June,2013,25.8
July,2013,31.3
August,2013,12.5
September,2013,49.0
October,2013,12.5
November,2013,12.5
December,2013,28.2
January,2014,12.5
February,2014,14.7
March,2014,36.0
April,2014,12.5
May,2014,12.5
June,2014,18.5
July,2014,47.8
August,2014,69.1
September,2014,44.5
October,2014,39.6
November,2014,31.1
December,2014,35.1
January,2015,35.6
February,2015,31.2
March,2015,28.9
April,2015,28.1
May,2015,31.8
June,2015,32.1
July,2015,32.1
August,2015,18.7
September,2015,45.0
October,2015,29.7
November,2015,22.2
December,2015,17.7
January,2016,47.2
February,2016,19.8
March,2016,35.9
April,2016,38.6
May,2016,39.4
June,2016,56.3
July,2016,57.9
August,2016,42.0
October,2016,45.9
November,2016,17.1
December,2016,21.0
