MonthName,Year,value
January,1998,9.733333333333334
February,1998,11.066666666666668
March,1998,11.233333333333334
April,1998,12.266666666666666
May,1998,12.133333333333333
June,1998,11.5
July,1998,12.700000000000001
August,1998,13.033333333333331
September,1998,13.466666666666667
October,1998,14.333333333333334
November,1998,14.766666666666666
December,1998,7.4
January,1999,14.0
February,1999,11.0
March,1999,17.833333333333332
May,1999,16.866666666666667
July,1999,18.0
August,1999,15.966666666666667
September,1999,18.666666666666668
October,1999,14.9
November,1999,25.0
December,1999,30.0
January,2000,45.0
February,2000,28.666666666666668
March,2000,30.0
April,2000,11.533333333333333
May,2000,21.333333333333332
June,2000,15.933333333333332
July,2000,25.0
August,2000,13.466666666666667
September,2000,27.0
October,2000,11.866666666666667
November,2000,16.666666666666668
December,2000,29.0
January,2001,19.333333333333332
February,2001,17.133333333333333
March,2001,15.333333333333334
April,2001,11.733333333333334
May,2001,20.333333333333332
June,2001,20.8
July,2001,28.666666666666668
August,2001,19.266666666666666
September,2001,26.0
November,2001,24.666666666666668
December,2001,15.333333333333334
February,2002,24.333333333333332
March,2002,25.0
April,2002,36.666666666666664
May,2002,28.666666666666668
June,2002,28.666666666666668
July,2002,32.666666666666664
August,2002,28.666666666666668
September,2002,13.666666666666666
October,2002,31.333333333333332
November,2002,33.0
December,2002,19.333333333333332
February,2003,19.333333333333332
March,2003,12.0
April,2003,16.0
May,2003,9.0
June,2003,15.666666666666666
July,2003,13.0
August,2003,9.666666666666666
September,2003,20.0
October,2003,24.333333333333332
November,2003,23.333333333333332
December,2003,17.666666666666668
February,2004,30.0
March,2004,30.0
April,2004,30.0
May,2004,35.333333333333336
June,2004,31.96666666666667
July,2004,42.0
August,2004,26.166666666666668
September,2004,28.7
October,2004,21.433333333333334
June,2006,5.0
August,2006,20.0
September,2006,21.666666666666668
October,2006,36.5
November,2006,23.5
December,2006,36.0
January,2007,24.7
February,2007,24.333333333333332
March,2007,26.3
April,2007,24.666666666666668
May,2007,22.900000000000002
June,2007,33.03333333333333
July,2007,27.400000000000002
September,2007,34.666666666666664
October,2007,38.6
November,2007,35.46666666666667
December,2007,37.9
January,2008,26.233333333333334
March,2008,27.333333333333332
April,2008,35.37
May,2008,30.5
June,2008,33.6
July,2008,21.006666666666664
August,2008,29.08
September,2008,30.69666666666667
October,2008,28.94
November,2008,33.76
December,2008,27.94666666666667
January,2009,21.333333333333332
February,2009,21.366666666666664
March,2009,21.366666666666664
April,2009,31.233333333333334
May,2009,24.600000000000005
June,2009,19.72
July,2009,23.016666666666666
August,2009,24.600000000000005
September,2009,20.676
October,2009,19.68
November,2009,19.73
December,2009,19.68
January,2010,22.959999999999997
February,2010,24.66
March,2010,24.600000000000005
April,2010,24.600000000000005
May,2010,29.679999999999996
June,2010,24.600000000000005
July,2010,21.32
August,2010,21.32
September,2010,24.66
October,2010,20.279999999999998
November,2010,18.72
December,2010,20.279999999999998
January,2011,24.600000000000005
February,2011,22.189999999999998
March,2011,24.363333333333333
April,2011,24.363333333333333
May,2011,22.51
June,2011,16.436666666666667
July,2011,18.82
August,2011,18.82
September,2011,14.04
October,2011,17.16
December,2011,17.16
January,2012,19.58
February,2012,18.72
March,2012,23.06
April,2012,22.84
May,2012,23.399999999999995
June,2012,24.8
July,2012,27.606666666666666
September,2012,24.959999999999997
October,2012,23.399999999999995
November,2012,24.8
December,2012,26.27
January,2013,28.08
February,2013,24.48
March,2013,29.37
April,2013,21.74666666666667
May,2013,23.52
June,2013,23.3
July,2013,26.24
August,2013,26.24
September,2013,26.19666666666667
October,2013,24.69
November,2013,28.276666666666667
December,2013,24.076666666666668
January,2014,17.599999999999998
March,2014,20.293333333333333
April,2014,17.153333333333332
May,2014,22.400000000000002
June,2014,13.183333333333332
July,2014,16.900000000000002
August,2014,18.716666666666665
September,2014,21.128333333333334
October,2014,16.873333333333335
November,2014,6.95
December,2014,6.95
January,2015,15.296666666666667
February,2015,17.063333333333333
March,2015,17.613333333333333
April,2015,17.150000000000002
May,2015,12.74
June,2015,9.88
July,2015,27.709999999999997
August,2015,9.08
September,2015,9.82
October,2015,9.1
November,2015,10.813333333333333
December,2015,10.043333333333335
January,2016,7.913333333333334
February,2016,6.996666666666667
March,2016,11.476666666666667
April,2016,9.216666666666667
May,2016,16.64
June,2016,11.226666666666667
July,2016,16.68
August,2016,12.793333333333335
September,2016,22.709999999999997
October,2016,10.51
November,2016,14.033333333333331
December,2016,20.766666666666666
