MonthName,Year,value
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,14.6
November,1998,14.8
December,1998,17.6
January,1999,14.6
March,1999,15.4
May,1999,10.4
July,1999,16.5
August,1999,25.8
September,1999,20.4
October,1999,25.0
November,1999,25.6
December,1999,19.9
January,2000,11.6
February,2000,12.6
March,2000,18.4
April,2000,11.8
May,2000,18.8
June,2000,18.5
July,2000,18.8
August,2000,20.1
September,2000,19.4
October,2000,20.4
November,2000,14.8
December,2000,11.8
January,2001,12.7
February,2001,14.4
March,2001,14.0
April,2001,13.2
May,2001,13.2
June,2001,15.6
July,2001,16.6
August,2001,14.5
September,2001,17.1
March,2002,13.6
April,2002,12.8
May,2002,12.1
June,2002,13.5
July,2002,14.8
August,2002,12.5
September,2002,14.4
October,2002,17.5
November,2002,16.6
December,2002,13.5
January,2003,13.5
February,2003,15.4
March,2003,14.2
April,2003,13.1
May,2003,21.2
June,2003,15.2
July,2003,13.9
August,2003,30.9
September,2003,13.6
October,2003,21.4
November,2003,17.2
December,2003,22.7
January,2004,17.8
February,2004,15.4
March,2004,13.2
April,2004,16.6
May,2004,15.1
June,2004,14.4
July,2004,15.9
August,2004,14.2
September,2004,15.4
October,2004,14.9
November,2004,15.4
December,2004,16.3
January,2005,19.6
February,2005,10.7
March,2005,16.299999
April,2005,14.1
May,2005,17.299999
June,2005,18.299999
July,2005,15.9
August,2005,13.9
September,2005,25.6
October,2005,18.4
November,2005,14.9
December,2005,16.799999
January,2006,15.0
February,2006,13.8
March,2006,11.8
April,2006,12.9
May,2006,15.6
June,2006,6.8
August,2006,17.2
September,2006,14.7
October,2006,13.9
November,2006,17.7
December,2006,15.4
January,2007,16.5
February,2007,19.4
March,2007,16.4
April,2007,15.2
May,2007,13.8
June,2007,12.0
July,2007,13.9
August,2007,16.4
September,2007,19.7
October,2007,16.9
November,2007,14.6
December,2007,15.4
January,2008,16.7
February,2008,17.9
March,2008,15.9
May,2008,14.2
June,2008,11.7
July,2008,13.8
August,2008,12.4
September,2008,12.4
October,2008,11.7
November,2008,10.7
December,2008,12.1
January,2009,11.3
February,2009,9.6
March,2009,11.6
April,2009,12.4
May,2009,14.3
June,2009,12.0
July,2009,14.2
August,2009,16.2
September,2009,11.4
October,2009,10.9
November,2009,9.5
December,2009,10.1
January,2010,9.2
February,2010,10.2
March,2010,11.1
April,2010,7.4
May,2010,12.5
June,2010,13.6
July,2010,11.7
August,2010,13.2
September,2010,10.6
October,2010,12.9
November,2010,13.29
December,2010,11.4
January,2011,8.26
February,2011,7.62
March,2011,9.0
April,2011,9.5
May,2011,11.3
June,2011,9.4
July,2011,10.5
August,2011,9.6
September,2011,10.2
October,2011,11.1
November,2011,9.8
December,2011,10.2
January,2012,10.4
February,2012,12.7
March,2012,16.8
April,2012,11.2
May,2012,13.7
June,2012,15.8
July,2012,17.8
August,2012,19.4
October,2012,16.5
November,2012,20.8
December,2012,21.6
January,2013,19.5
February,2013,15.6
March,2013,20.6
April,2013,18.2
May,2013,17.7
June,2013,19.2
July,2013,17.4
August,2013,22.7
September,2013,21.8
October,2013,23.7
November,2013,25.2
December,2013,21.4
January,2014,24.6
February,2014,46.27
March,2014,21.3
April,2014,25.1
May,2014,30.3
June,2014,37.0
July,2014,24.6
August,2014,44.16
September,2014,46.08
October,2014,30.72
November,2014,31.26
December,2014,31.84
January,2015,35.64
February,2015,43.69
March,2015,64.26
April,2015,32.72
May,2015,53.31
June,2015,49.34
July,2015,52.8
August,2015,45.84
September,2015,76.88
October,2015,87.8
November,2015,69.62
December,2015,62.33
January,2016,61.88
February,2016,58.62
March,2016,42.28
April,2016,49.39
May,2016,39.2
June,2016,38.8
July,2016,39.33
August,2016,41.61
September,2016,46.27
October,2016,50.74
November,2016,40.1
December,2016,42.41
