MonthName,Year,value
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,5.333333333333333
November,1998,0.7666666666666666
December,1998,5.166666666666667
January,1999,10.333333333333334
February,1999,11.0
March,1999,18.333333333333332
May,1999,25.333333333333332
July,1999,20.75
August,1999,16.900000000000002
September,1999,18.666666666666668
October,1999,17.066666666666666
November,1999,34.333333333333336
December,1999,28.666666666666668
January,2000,44.333333333333336
February,2000,27.333333333333332
March,2000,34.0
April,2000,11.5
May,2000,28.333333333333332
June,2000,15.1
July,2000,26.333333333333332
August,2000,13.433333333333332
September,2000,30.0
October,2000,12.133333333333333
November,2000,13.666666666666666
December,2000,28.0
January,2001,20.333333333333332
February,2001,18.433333333333334
March,2001,15.333333333333334
April,2001,11.200000000000001
May,2001,20.0
June,2001,20.633333333333333
July,2001,16.333333333333332
August,2001,17.466666666666665
September,2001,27.333333333333332
November,2001,11.666666666666666
December,2001,17.0
February,2002,20.0
March,2002,26.333333333333332
April,2002,20.666666666666668
May,2002,38.0
June,2002,28.333333333333332
July,2002,46.333333333333336
August,2002,89.0
September,2002,25.666666666666668
October,2002,27.0
November,2002,22.333333333333332
December,2002,9.0
February,2003,21.333333333333332
March,2003,14.0
April,2003,15.666666666666666
May,2003,26.333333333333332
June,2003,14.333333333333334
July,2003,18.0
August,2003,6.666666666666667
September,2003,31.0
October,2003,16.0
November,2003,18.0
December,2003,22.0
January,2004,16.333333333333332
February,2004,30.0
March,2004,30.0
April,2004,30.0
May,2004,34.86666666666667
June,2004,35.03333333333333
July,2004,35.666666666666664
August,2004,22.666666666666668
September,2004,30.433333333333334
October,2004,25.0
June,2006,5.0
August,2006,20.0
September,2006,19.666666666666668
October,2006,24.0
November,2006,23.400000000000002
December,2006,24.666666666666668
January,2007,26.599999999999998
February,2007,24.0
March,2007,24.166666666666668
April,2007,25.766666666666666
May,2007,26.03333333333333
June,2007,34.86666666666667
July,2007,33.199999999999996
August,2007,39.199999999999996
September,2007,37.4
October,2007,34.266666666666666
November,2007,33.86666666666667
December,2007,27.03333333333333
January,2008,35.300000000000004
February,2008,19.2
March,2008,24.12
April,2008,34.02
May,2008,30.5
June,2008,28.94
July,2008,33.73
August,2008,24.24
September,2008,30.69666666666667
October,2008,28.94
November,2008,33.76
December,2008,27.94666666666667
January,2009,19.7
February,2009,23.013333333333332
March,2009,24.66
April,2009,24.66
May,2009,27.88
June,2009,24.66
July,2009,23.016666666666666
August,2009,19.68
September,2009,22.903333333333336
October,2009,22.959999999999997
November,2009,23.016666666666666
December,2009,22.959999999999997
January,2010,27.88
February,2010,29.590000000000003
March,2010,26.24
April,2010,31.159999999999997
May,2010,31.330000000000002
June,2010,22.959999999999997
July,2010,24.600000000000005
August,2010,27.88
September,2010,27.94666666666667
October,2010,23.399999999999995
November,2010,23.399999999999995
December,2010,23.399999999999995
January,2011,27.873333333333335
February,2011,30.399999999999995
March,2011,24.363333333333333
April,2011,25.886666666666667
May,2011,24.12
June,2011,19.73
July,2011,25.086666666666662
August,2011,23.52
September,2011,18.72
October,2011,18.72
November,2011,18.72
December,2011,18.72
January,2012,24.48
February,2012,18.72
March,2012,18.45
April,2012,22.84
May,2012,23.399999999999995
June,2012,29.76
July,2012,27.606666666666666
September,2012,27.299999999999997
October,2012,23.399999999999995
November,2012,24.8
December,2012,27.820000000000004
January,2013,24.959999999999997
February,2013,24.48
March,2013,24.48
April,2013,23.3
May,2013,23.52
June,2013,23.3
July,2013,29.52
August,2013,27.88
September,2013,27.506666666666664
October,2013,28.12
November,2013,24.419999999999998
December,2013,31.043333333333333
January,2014,13.14
March,2014,22.19666666666667
April,2014,19.06
May,2014,19.84
June,2014,9.69
July,2014,6.95
August,2014,20.623333333333335
September,2014,19.265
October,2014,12.876666666666665
November,2014,6.95
December,2014,6.95
January,2015,14.073333333333332
February,2015,17.44333333333333
March,2015,15.016666666666666
April,2015,18.203333333333333
May,2015,9.193333333333333
June,2015,9.79
July,2015,16.16
August,2015,10.433333333333334
September,2015,6.886666666666667
October,2015,12.133333333333333
November,2015,9.633333333333333
December,2015,7.896666666666666
January,2016,7.123333333333334
February,2016,7.52
March,2016,13.85
April,2016,9.876666666666667
May,2016,16.51
June,2016,21.98
July,2016,17.486666666666668
August,2016,18.886666666666667
September,2016,17.67
October,2016,12.37
November,2016,21.03333333333333
December,2016,12.276666666666666
