MonthName,Year,value
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,62.0
December,1998,0.0
January,1999,56.0
February,1999,65.0
March,1999,30.0
May,1999,36.0
July,1999,19.0
August,1999,19.2
September,1999,25.0
October,1999,18.0
November,1999,56.0
December,1999,60.0
January,2000,58.0
February,2000,64.0
March,2000,56.0
April,2000,16.5
May,2000,24.0
June,2000,16.8
July,2000,26.0
August,2000,15.7
September,2000,20.0
October,2000,16.4
November,2000,32.0
December,2000,42.0
January,2001,14.4
February,2001,15.0
March,2001,23.0
April,2001,12.1
May,2001,18.0
June,2001,20.0
July,2001,18.0
August,2001,17.0
September,2001,22.0
November,2001,31.0
February,2002,36.0
March,2002,24.0
April,2002,12.0
May,2002,30.0
June,2002,62.0
July,2002,49.0
August,2002,42.0
September,2002,44.0
October,2002,46.0
December,2002,35.0
February,2003,37.0
March,2003,38.0
April,2003,17.0
May,2003,32.0
June,2003,27.0
July,2003,15.0
August,2003,32.0
September,2003,29.0
October,2003,13.0
November,2003,36.0
December,2003,30.0
January,2004,22.0
March,2004,30.0
April,2004,49.0
May,2004,51.2
June,2004,54.8
July,2004,57.7
August,2004,55.0
September,2004,41.3
October,2004,40.0
December,2004,26.8
June,2006,26.1
September,2006,54.2
October,2006,42.5
November,2006,41.6
December,2006,34.2
January,2007,41.7
February,2007,62.1
March,2007,36.1
April,2007,20.2
June,2007,50.6
July,2007,50.5
August,2007,73.6
September,2007,45.5
October,2007,40.0
November,2007,31.2
December,2007,39.7
March,2008,53.32
May,2008,41.12
June,2008,43.21
July,2008,48.48
August,2008,77.18
September,2008,28.59
October,2008,29.08
November,2008,29.59
December,2008,34.55
January,2009,39.45
February,2009,29.52
March,2009,62.5
April,2009,38.59
May,2009,29.59
June,2009,29.68
July,2009,24.6
August,2009,49.32
September,2009,14.76
October,2009,34.44
November,2009,29.59
December,2009,34.4
January,2010,59.04
February,2010,34.02
March,2010,29.52
April,2010,34.44
May,2010,29.59
June,2010,29.59
July,2010,24.6
August,2010,24.6
September,2010,24.6
October,2010,29.59
November,2010,32.9
December,2010,28.08
January,2011,75.26
February,2011,27.4
March,2011,22.84
April,2011,22.84
May,2011,28.94
June,2011,24.6
August,2011,25.799999999999997
September,2011,32.76
November,2011,21.49
December,2011,19.58
February,2012,32.76
March,2012,23.06
April,2012,28.08
May,2012,32.76
July,2012,28.655
August,2012,46.8
October,2012,30.419999999999998
November,2012,24.8
December,2012,46.36
January,2013,32.76
February,2013,24.48
March,2013,29.37
April,2013,70.56
May,2013,94.08
June,2013,32.62
July,2013,73.8
August,2013,34.44
September,2013,29.47
October,2013,32.92
November,2013,24.1
December,2013,28.51
January,2014,29.09
March,2014,48.16
April,2014,33.29
May,2014,29.37
June,2014,47.0
July,2014,33.29
August,2014,21.33
September,2014,29.01
October,2014,25.58
November,2014,24.25
December,2014,21.65
January,2015,25.73
March,2015,34.89
April,2015,33.05
May,2015,24.58
June,2015,31.11
July,2015,28.22
August,2015,27.42
September,2015,25.73
October,2015,32.96
November,2015,24.6
December,2015,20.91
January,2016,28.94
February,2016,23.52
March,2016,51.0
April,2016,25.79
May,2016,27.46
June,2016,51.17
July,2016,86.59
August,2016,39.87
September,2016,25.58
October,2016,27.21
November,2016,27.01
December,2016,25.27
