MonthName,Year,value
January,2009,42.66
February,2009,31.25
March,2009,28.51
April,2009,47.52
May,2009,23.88
June,2009,89.8
July,2009,86.4
August,2009,73.98
September,2009,37.1
October,2009,28.36
November,2009,42.12
December,2009,48.48
January,2010,15.0
February,2010,18.32
March,2010,64.53
April,2010,68.57
May,2010,89.93
June,2010,51.11
July,2010,109.6
August,2010,70.2
September,2010,83.44
October,2010,71.28
November,2010,55.63
December,2010,60.84
February,2011,52.4
March,2011,105.6
April,2011,43.65
May,2011,62.22
June,2011,69.15
July,2011,48.3
August,2011,56.09
September,2011,39.0
October,2011,50.0
November,2011,52.44
December,2011,60.0
January,2012,62.02
March,2012,59.06
April,2012,43.78
May,2012,68.3
July,2012,52.965
August,2012,58.4
September,2012,50.11
October,2012,9.0
November,2012,68.64
January,2013,68.4
February,2013,51.92
March,2013,45.72
April,2013,55.88
May,2013,20.0
June,2013,294.18
July,2013,248.19
August,2013,9.0
September,2013,52.141
October,2013,9.0
November,2013,14.485
December,2013,9.0
January,2014,9.0
March,2014,96.21
May,2014,60.07
June,2014,71.391
July,2014,31.06
September,2014,48.936
October,2014,13.2615
November,2014,26.2915
December,2014,32.252
January,2015,104.57
February,2015,100.2
March,2015,181.48
April,2015,25.298
May,2015,5.0
June,2015,38.609
July,2015,94.238
August,2015,23.709
September,2015,67.094
October,2015,22.89
November,2015,21.08
December,2015,36.15
February,2016,228.39499999999998
March,2016,35.146
April,2016,41.174
May,2016,86.786
June,2016,90.445
July,2016,43.987
August,2016,79.954
September,2016,35.146
October,2016,58.83
November,2016,34.141
December,2016,42.28
