MonthName,Year,value
January,1998,4.95
February,1998,2.84
March,1998,4.57
April,1998,1.045
May,1998,1.925
June,1998,0.07500000000000001
July,1998,0.33
August,1998,0.2
September,1998,0.43
October,1998,0.36
November,1998,0.4
December,1998,0.66
January,1999,0.48
February,1999,0.7600000000000001
March,1999,0.7533333333333333
April,1999,0.3333333333333333
May,1999,0.41333333333333333
June,1999,0.21333333333333335
July,1999,0.22999999999999998
August,1999,0.195
September,1999,0.265
October,1999,0.345
November,1999,0.82
December,1999,0.4
January,2000,0.92
February,2000,0.9500000000000001
March,2000,0.8633333333333333
April,2000,0.5733333333333334
May,2000,0.3566666666666667
June,2000,0.33
July,2000,0.5666666666666668
August,2000,0.5966666666666667
September,2000,0.91
October,2000,0.42333333333333334
November,2000,0.4066666666666667
December,2000,0.3666666666666667
April,2001,0.4066666666666667
May,2001,0.38000000000000006
June,2001,0.4266666666666667
July,2001,0.9033333333333333
August,2001,0.35000000000000003
September,2001,0.73
October,2001,0.2966666666666667
November,2001,0.7833333333333333
December,2001,0.29333333333333333
March,2002,2.1966666666666668
April,2002,0.9866666666666667
May,2002,0.5383333333333333
June,2002,0.06
July,2002,0.37333333333333335
August,2002,0.15333333333333335
September,2002,0.10666666666666667
October,2002,8.09
November,2002,0.37666666666666665
December,2002,0.09000000000000001
January,2003,0.9659999999999999
February,2003,1.2853333333333334
March,2003,0.2876666666666667
April,2003,0.8191666666666667
June,2003,0.2803333333333333
July,2003,0.06533333333333334
August,2003,1.0286666666666668
October,2003,0.2253333333333333
November,2003,0.14166666666666666
December,2003,0.399
January,2004,0.23
February,2004,1.4088333333333332
March,2004,0.5051166666666667
April,2004,0.37433333333333335
May,2004,0.11649999999999999
June,2004,0.44116666666666665
July,2004,0.564
August,2004,1.0445
September,2004,0.3853333333333333
October,2004,0.37116666666666664
November,2004,0.40549999999999997
December,2004,2.52725
January,2005,2.1278333333333332
February,2005,1.5806666666666667
March,2005,1.9391666666666667
April,2005,0.6365
May,2005,0.682
June,2005,0.9503333333333334
July,2005,0.4038333333333333
August,2005,0.12916666666666668
September,2005,0.7093333333333334
October,2005,0.34933333333333333
November,2005,0.3635
December,2005,0.6131666666666666
January,2006,0.3075
February,2006,0.1075
March,2006,0.08966666666666667
April,2006,0.2363333333333333
May,2006,0.26866666666666666
June,2006,0.26016666666666666
July,2006,0.2745
August,2006,0.30783333333333335
September,2006,0.21116666666666664
October,2006,0.08133333333333333
November,2006,0.5145
December,2006,0.2675
January,2007,0.21799999999999997
February,2007,0.99975
March,2007,2.2319999999999998
April,2007,2.3715
May,2007,0.6898333333333334
June,2007,0.6018333333333333
July,2007,0.41683333333333333
August,2007,0.39200000000000007
September,2007,0.7793333333333333
October,2007,1.872
November,2007,0.24433333333333332
December,2007,0.4716666666666667
July,2010,0.12
August,2010,0.19999999999999998
September,2010,0.10936666666666667
October,2010,0.06833333333333334
November,2010,0.07246666666666667
December,2010,0.79
January,2011,0.22223333333333337
February,2011,0.47636666666666666
March,2011,0.6907
April,2011,0.3436
May,2011,0.06
June,2011,0.09843333333333333
July,2011,0.11706666666666667
August,2011,0.09333333333333334
September,2011,0.17666666666666667
October,2011,0.21
November,2011,0.29333333333333333
December,2011,0.13
January,2012,0.89
February,2012,0.41
March,2012,0.3499999999999999
July,2012,0.17666666666666667
August,2012,0.17766666666666667
September,2012,0.319
October,2012,0.20666666666666667
November,2012,0.24666666666666667
December,2012,0.57
January,2013,0.43133333333333335
February,2013,0.21999999999999997
March,2013,0.22766666666666668
April,2013,0.12366666666666666
May,2013,0.08166666666666667
June,2013,0.16166666666666665
July,2013,0.13333333333333333
August,2013,0.19633333333333333
September,2013,0.16166666666666665
October,2013,0.12366666666666666
November,2013,0.14666666666666667
December,2013,0.11699999999999999
January,2014,0.14666666666666667
October,2015,0.07533333333333334
November,2015,0.0
December,2015,0.06566666666666666
