MonthName,Year,value
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,1999,0.31
February,1999,0.72
March,1999,0.89
April,1999,0.22
May,1999,1.58
June,1999,2.4
July,1999,2.01
August,1999,1.89
September,1999,1.42
October,1999,2.01
November,1999,2.48
December,1999,0.96
January,2000,0.75
February,2000,1.05
March,2000,1.65
April,2000,1.69
May,2000,0.8
June,2000,1.77
July,2000,0.68
August,2000,1.33
September,2000,1.71
October,2000,1.6
November,2000,1.28
December,2000,1.32
January,2001,0.1
February,2001,1.3
March,2001,0.25
April,2001,0.52
May,2001,0.38
June,2001,0.73
July,2001,1.07
August,2001,0.57
September,2001,1.83
November,2001,0.67
March,2002,0.26
April,2002,0.39
June,2002,0.86
July,2002,2.7
August,2002,0.13
September,2002,0.28
October,2002,8.33
December,2002,0.26
January,2003,0.171
February,2003,0.351
March,2003,0.872
April,2003,0.473
May,2003,0.918
June,2003,0.721
August,2003,10833.645
September,2003,2.962
October,2003,0.477
November,2003,0.948
January,2004,1.22
February,2004,0.509
March,2004,0.624
April,2004,1.146
May,2004,1.319
June,2004,0.336
July,2004,4.358
August,2004,2.251
September,2004,0.329
October,2004,0.314
November,2004,0.261
December,2004,0.532
January,2005,0.179
February,2005,0.639
March,2005,1.253
April,2005,1.502
May,2005,2.483
June,2005,2.117
July,2005,1.437
August,2005,0.607
September,2005,0.117
October,2005,0.914
November,2005,0.294
December,2005,0.845
January,2006,0.381
February,2006,0.06
March,2006,0.06
April,2006,0.083
May,2006,0.7
June,2006,0.688
July,2006,0.532
August,2006,1.144
September,2006,0.419
October,2006,0.124
November,2006,2.003
December,2006,0.131
January,2007,0.138
February,2007,0.582
March,2007,1.136
April,2007,1.832
May,2007,0.297
June,2007,0.667
July,2007,0.668
August,2007,0.312
September,2007,0.193
October,2007,4.268
November,2007,0.547
December,2007,0.369
February,2008,0.63
May,2008,1.1
June,2008,0.65
September,2008,0.83
October,2008,1.1
November,2008,1.1
December,2008,0.965
April,2009,1.1
May,2009,0.85
June,2009,0.93
July,2009,0.98
August,2009,0.67
October,2009,0.61
November,2009,0.3
December,2009,0.45
January,2010,0.37
June,2010,0.51
July,2010,0.7
August,2010,0.77
September,2010,0.69
October,2010,0.54
November,2010,0.45
December,2010,0.4
January,2011,0.42
February,2011,0.39
May,2011,0.73
June,2011,0.58
August,2011,0.30500000000000005
November,2011,0.46
February,2012,0.31999999999999995
September,2014,0.31
October,2014,0.26
February,2015,0.0
March,2015,0.623
April,2015,0.0
May,2015,0.1577
June,2015,0.0
September,2015,1.8824
October,2015,0.12
