MonthName,Year,value
January,1998,0.05666666666666667
February,1998,0.10333333333333333
March,1998,0.10333333333333333
April,1998,0.7399999999999999
May,1998,0.12333333333333334
June,1998,0.4633333333333333
July,1998,0.08666666666666667
August,1998,0.4066666666666667
September,1998,0.049999999999999996
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,1999,0.34
February,1999,0.7866666666666666
March,1999,0.6066666666666666
April,1999,0.19000000000000003
May,1999,0.59
June,1999,1.36
July,1999,0.36000000000000004
August,1999,0.37999999999999995
September,1999,0.42333333333333334
October,1999,0.5133333333333333
November,1999,0.43
December,1999,1.0
January,2000,0.5966666666666667
February,2000,2.716666666666667
March,2000,0.7833333333333333
April,2000,0.7033333333333333
May,2000,0.26666666666666666
June,2000,1.0166666666666666
July,2000,0.7533333333333333
August,2000,0.7666666666666666
September,2000,0.32
October,2000,0.39666666666666667
November,2000,0.4566666666666667
December,2000,0.44
January,2001,1.6066666666666667
February,2001,0.93
March,2001,0.8300000000000001
April,2001,0.9133333333333332
May,2001,0.6533333333333333
June,2001,0.5033333333333333
July,2001,4.006666666666667
August,2001,0.49
September,2001,0.8433333333333334
November,2001,0.52
February,2002,1.09
March,2002,1.2833333333333332
April,2002,0.5633333333333334
May,2002,0.39666666666666667
June,2002,0.3116666666666667
July,2002,0.36166666666666664
August,2002,0.16833333333333333
September,2002,0.37333333333333335
October,2002,2.574
November,2002,0.10666666666666667
December,2002,0.32666666666666666
January,2003,0.311
February,2003,0.8118333333333334
March,2003,0.823
April,2003,0.5710000000000001
May,2003,0.8198333333333333
June,2003,0.4911666666666667
August,2003,4832.48625
September,2003,0.512
October,2003,0.19766666666666666
November,2003,0.3413333333333333
January,2004,1.5406666666666666
February,2004,0.5605
March,2004,0.8328333333333333
April,2004,0.7721666666666667
May,2004,0.4491666666666667
June,2004,0.06716666666666667
July,2004,0.42450000000000004
August,2004,0.6521666666666667
September,2004,0.2811666666666667
October,2004,0.3993333333333333
November,2004,0.152
December,2004,1.1916666666666667
January,2005,0.7808333333333334
February,2005,0.7176666666666667
March,2005,0.8391666666666667
April,2005,1.7438333333333336
May,2005,0.5931666666666667
June,2005,0.26733333333333337
July,2005,0.35650000000000004
August,2005,0.07333333333333333
September,2005,0.07883333333333332
October,2005,0.48583333333333334
November,2005,0.13649999999999998
December,2005,0.6631666666666667
January,2006,0.6930000000000001
February,2006,0.06783333333333333
March,2006,0.06716666666666667
April,2006,0.26566666666666666
June,2006,0.2725
July,2006,0.46249999999999997
August,2006,0.42983333333333335
September,2006,0.1396666666666667
October,2006,0.09400000000000001
November,2006,0.8558333333333333
December,2006,0.10966666666666668
January,2007,0.11333333333333334
February,2007,0.21433333333333335
March,2007,2.0375
April,2007,1.9188333333333334
May,2007,0.12519999999999998
June,2007,0.41450000000000004
July,2007,2.1991666666666667
August,2007,0.17666666666666667
September,2007,0.7186666666666667
October,2007,1.7556666666666667
November,2007,0.14516666666666667
December,2007,0.30683333333333335
January,2008,0.8406666666666668
February,2008,0.38999999999999996
April,2008,1.0166666666666666
May,2008,0.5766666666666667
June,2008,0.78
September,2008,0.54
October,2008,0.6866666666666666
November,2008,1.0166666666666666
April,2009,0.8533333333333334
May,2009,0.82
June,2009,0.5033333333333333
July,2009,0.6366666666666667
August,2009,0.5
September,2009,1.1333333333333335
October,2009,0.54
November,2009,0.37333333333333335
December,2009,0.36000000000000004
January,2010,0.51
June,2010,0.4633333333333334
July,2010,0.4533333333333333
August,2010,0.47333333333333333
September,2010,0.85
October,2010,0.7366666666666667
November,2010,0.5733333333333334
December,2010,0.8666666666666667
January,2011,0.3833333333333333
February,2011,0.35333333333333333
May,2011,0.41
June,2011,0.49333333333333335
August,2011,0.43333333333333335
November,2011,0.32
February,2012,0.26333333333333336
September,2014,0.32666666666666666
October,2014,0.15333333333333332
February,2015,0.24866666666666667
March,2015,0.42733333333333334
April,2015,0.6915
May,2015,0.4222333333333333
August,2015,0.0
September,2015,0.1789
