MonthName,Year,value
January,2009,0.91
February,2009,0.13
March,2009,0.28
September,2009,0.47
January,2010,1.278
February,2010,1.736
March,2010,0.341
April,2010,0.341
May,2010,0.357
June,2010,0.03
August,2010,0.1
September,2010,0.305
January,2011,0.09
February,2011,0.2
April,2011,0.59
May,2011,0.38
June,2011,0.1
January,2012,0.032
February,2012,0.043
March,2012,0.036
April,2012,0.074
May,2012,0.051
June,2012,0.05
July,2012,0.037
August,2012,0.049
September,2012,0.045
October,2012,0.037
November,2012,0.043
December,2012,0.3923
January,2013,2.399
February,2013,4.742
March,2013,6.115
April,2013,4.475
May,2013,0.323
June,2013,0.79
July,2013,0.444
September,2013,0.631
October,2013,0.262
November,2013,1.085
December,2013,0.838
June,2014,0.0
July,2014,0.521
August,2014,0.392
September,2014,0.615
October,2014,0.382
November,2014,0.656
December,2014,0.646
February,2015,0.828
May,2015,0.431
August,2015,0.508
September,2015,0.764
