MonthName,Year,value
January,1998,0.10333333333333333
February,1998,0.3166666666666667
March,1998,0.10000000000000002
April,1998,1.43
May,1998,0.04666666666666667
June,1998,0.6733333333333333
July,1998,0.056666666666666664
August,1998,0.9766666666666667
September,1998,0.01
October,1998,0.2966666666666667
November,1998,0.21333333333333335
December,1998,0.0
January,1999,0.98
February,1999,0.9766666666666667
March,1999,1.29
April,1999,0.49666666666666665
May,1999,0.7866666666666666
June,1999,1.5933333333333335
July,1999,1.14
August,1999,1.5966666666666667
September,1999,1.1766666666666667
October,1999,0.89
November,1999,1.3866666666666667
December,1999,2.16
January,2000,0.42
February,2000,1.3699999999999999
March,2000,0.55
April,2000,1.4000000000000001
May,2000,1.75
June,2000,1.0933333333333335
July,2000,1.7700000000000002
August,2000,0.9700000000000001
September,2000,0.6233333333333334
October,2000,1.7333333333333332
November,2000,1.54
December,2000,1.5466666666666669
January,2001,1.37
February,2001,1.4433333333333334
March,2001,1.46
April,2001,1.9833333333333334
May,2001,0.58
June,2001,1.2899999999999998
July,2001,1.6033333333333335
August,2001,0.9633333333333334
September,2001,1.78
November,2001,0.7933333333333333
December,2001,0.75
March,2002,1.1300000000000001
April,2002,1.5599999999999998
June,2002,0.3133333333333333
July,2002,0.2733333333333334
August,2002,0.12333333333333334
September,2002,0.3233333333333333
October,2002,3.732857142857143
November,2002,0.14
December,2002,0.16
January,2003,0.37766666666666665
February,2003,0.6663333333333333
March,2003,0.9363333333333332
April,2003,0.4086666666666667
May,2003,0.6093333333333334
June,2003,2.593666666666667
August,2003,13283.4378
September,2003,1.323
October,2003,0.24
November,2003,0.37800000000000006
February,2004,1.133
April,2004,0.4106666666666667
May,2004,0.39599999999999996
June,2004,0.166
July,2004,0.2723333333333333
August,2004,0.48699999999999993
September,2004,0.22133333333333335
October,2004,0.984
November,2004,0.17500000000000002
December,2004,1.4986666666666668
January,2005,0.2316666666666667
February,2005,1.7783333333333335
March,2005,0.9029999999999999
April,2005,1.2460000000000002
May,2005,0.7186666666666666
June,2005,0.7443333333333334
July,2005,0.4206666666666667
August,2005,0.10133333333333333
September,2005,0.24066666666666667
October,2005,0.32266666666666666
November,2005,0.18566666666666665
December,2005,0.4626666666666666
January,2006,0.5873333333333334
February,2006,0.085
March,2006,0.06
April,2006,0.5956666666666667
May,2006,0.6306666666666667
June,2006,0.3166666666666667
July,2006,0.3416666666666666
August,2006,0.6666666666666666
September,2006,0.19633333333333333
October,2006,0.08766666666666667
November,2006,0.371
December,2006,0.242
January,2007,0.165
February,2007,0.3506666666666667
March,2007,2.626
April,2007,1.9636666666666667
May,2007,0.35133333333333333
June,2007,1.1636666666666666
July,2007,0.3486666666666667
August,2007,0.12433333333333334
September,2007,0.6906666666666667
October,2007,0.4706666666666666
November,2007,0.3373333333333333
December,2007,0.5696666666666667
January,2008,1.11
April,2008,0.9366666666666666
June,2008,0.7
September,2008,0.4266666666666667
October,2008,0.5666666666666667
November,2008,0.9933333333333333
December,2008,1.0133333333333334
April,2009,0.8266666666666667
May,2009,0.9033333333333333
June,2009,0.41333333333333333
July,2009,0.7399999999999999
August,2009,0.91
September,2009,0.9066666666666666
October,2009,0.5033333333333333
November,2009,0.41333333333333333
December,2009,0.41
January,2010,0.44
June,2010,0.3066666666666667
July,2010,0.47
August,2010,0.4533333333333333
September,2010,0.43
October,2010,0.41
November,2010,0.5266666666666667
December,2010,0.61
January,2011,0.49333333333333335
February,2011,0.45
May,2011,0.6699999999999999
June,2011,0.5466666666666667
August,2011,0.6233333333333334
November,2011,0.29333333333333333
June,2014,0.435
July,2014,0.4186666666666667
September,2014,0.5128333333333334
October,2014,0.733
November,2014,0.28833333333333333
December,2014,0.5156666666666667
January,2015,0.5146666666666667
February,2015,0.49266666666666664
March,2015,0.5015000000000001
May,2015,0.447
June,2015,0.3273333333333333
July,2015,2.3333333333333335
August,2015,0.05000000000000001
September,2015,1.1733333333333331
October,2015,0.9466666666666667
November,2015,0.3426666666666667
December,2015,0.6216666666666667
