MonthName,Year,value
April,1998,0.01
June,1998,14.31
August,1998,1.97
October,1998,0.35
November,1998,0.42
December,1998,1.07
January,1999,3.44
February,1999,1.37
March,1999,0.67
April,1999,0.19
May,1999,1.14
June,1999,4.51
July,1999,0.92
August,1999,0.67
September,1999,0.8
October,1999,0.78
November,1999,0.27
December,1999,1.51
January,2000,0.29
February,2000,2.05
March,2000,1.25
April,2000,0.73
May,2000,0.41
June,2000,2.53
July,2000,0.44
August,2000,2.35
September,2000,1.27
October,2000,1.05
November,2000,1.38
December,2000,1.27
January,2001,0.2
February,2001,0.89
March,2001,0.41
April,2001,1.53
May,2001,0.26
June,2001,1.93
July,2001,0.41
August,2001,0.71
October,2001,0.8
November,2001,0.76
December,2001,0.46
March,2002,0.22
April,2002,0.3
May,2002,1.52
June,2002,0.52
July,2002,0.54
August,2002,0.55
September,2002,1.63
October,2002,8.586666666666666
November,2002,0.41
December,2002,0.82
January,2003,0.752
February,2003,2.66
March,2003,2.028
April,2003,0.543
May,2003,0.708
June,2003,0.284
July,2003,0.072
August,2003,18979.875
September,2003,1.014
November,2003,0.512
December,2003,0.521
February,2004,0.722
March,2004,0.49
April,2004,0.482
May,2004,0.481
June,2004,0.456
July,2004,3.45
August,2004,0.399
September,2004,1.37
October,2004,0.327
November,2004,0.15
December,2004,0.165
January,2005,0.493
February,2005,1.674
March,2005,0.895
April,2005,4.071
May,2005,0.5
June,2005,2.214
July,2005,1.867
August,2005,1.06
September,2005,1.529
October,2005,1.745
November,2005,0.956
December,2005,0.982
January,2006,1.357
February,2006,0.06
March,2006,0.06
April,2006,0.06
May,2006,0.475
June,2006,0.312
July,2006,1.002
August,2006,0.558
September,2006,0.895
October,2006,0.078
November,2006,1.102
December,2006,0.827
January,2007,0.451
February,2007,6.219
March,2007,0.845
April,2007,0.501
May,2007,0.668
June,2007,2.891
July,2007,1.735
August,2007,0.247
September,2007,3.2
October,2007,3.87
December,2007,1.702
January,2011,0.18
February,2011,1.94
March,2011,0.192
April,2011,0.194
May,2011,0.184
June,2011,0.368
July,2011,0.416
August,2011,0.404
September,2011,0.337
October,2011,0.291
November,2011,0.244
December,2011,0.286
January,2012,0.528
February,2012,0.587
March,2012,0.327
April,2012,0.445
May,2012,0.332
June,2012,0.287
July,2012,0.417
August,2012,0.3071
October,2012,0.234
November,2012,0.2576
December,2012,0.231
January,2013,0.3689
February,2013,1.4466
March,2013,2.5399
April,2013,1.763
May,2013,0.7343
June,2013,0.4297
July,2013,0.6895
August,2013,0.5763
September,2013,0.7956
October,2013,0.7156
November,2013,0.6823
December,2013,0.7151
