MonthName,Year,value
April,1998,1.37
June,1998,0.48
August,1998,0.44
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,1999,0.91
February,1999,0.7133333333333334
March,1999,1.0566666666666666
April,1999,0.4466666666666667
May,1999,1.3966666666666667
June,1999,0.8766666666666666
July,1999,1.0025
August,1999,1.0233333333333332
September,1999,1.02
October,1999,0.7466666666666666
November,1999,1.2933333333333332
December,1999,1.2333333333333334
January,2000,0.9866666666666667
February,2000,1.8033333333333335
March,2000,1.2566666666666666
April,2000,1.2566666666666666
May,2000,1.1533333333333333
June,2000,0.96
July,2000,1.6933333333333334
August,2000,0.7266666666666667
September,2000,0.9233333333333333
October,2000,1.7933333333333332
November,2000,1.4566666666666668
December,2000,1.4833333333333334
January,2001,1.2433333333333334
February,2001,2.07
March,2001,1.2166666666666666
April,2001,1.6033333333333335
May,2001,0.4366666666666667
June,2001,1.2933333333333332
July,2001,2.4
August,2001,1.13
September,2001,1.0166666666666666
November,2001,0.39333333333333337
December,2001,0.8366666666666666
March,2002,1.16
April,2002,1.1766666666666667
June,2002,0.37666666666666665
August,2002,0.17333333333333334
September,2002,0.24
October,2002,3.4657142857142853
November,2002,0.22
December,2002,0.31666666666666665
January,2003,0.4526666666666666
February,2003,0.503
March,2003,0.6126666666666667
April,2003,0.5073333333333333
May,2003,0.7323333333333334
June,2003,1.5276666666666667
August,2003,7225.6445
September,2003,1.253
October,2003,0.19066666666666668
November,2003,0.28833333333333333
January,2004,1.1903333333333332
February,2004,0.6553333333333333
March,2004,0.7343333333333333
April,2004,0.6706666666666666
May,2004,0.46366666666666667
June,2004,0.18966666666666665
July,2004,0.5176666666666666
August,2004,0.703
September,2004,0.4473333333333333
October,2004,1.351
November,2004,0.21566666666666667
December,2004,0.5673333333333334
January,2005,0.273
February,2005,1.733666666666667
March,2005,0.8593333333333333
April,2005,0.872
May,2005,0.7383333333333333
June,2005,0.6756666666666665
July,2005,0.299
August,2005,0.09533333333333333
September,2005,0.13033333333333333
October,2005,0.4053333333333333
November,2005,0.24733333333333332
December,2005,0.5863333333333333
January,2006,0.38999999999999996
February,2006,0.06733333333333334
March,2006,0.06
April,2006,0.7386666666666667
May,2006,0.5950000000000001
June,2006,0.48466666666666663
July,2006,0.239
August,2006,0.6496666666666666
September,2006,0.17366666666666666
October,2006,0.11566666666666665
November,2006,0.44966666666666666
December,2006,0.15766666666666665
January,2007,0.129
February,2007,0.263
March,2007,1.6766666666666667
April,2007,1.9016666666666666
May,2007,0.306
June,2007,0.9326666666666666
July,2007,0.49266666666666664
August,2007,0.17200000000000001
September,2007,0.7793333333333333
October,2007,2.0786666666666664
November,2007,0.329
December,2007,0.25266666666666665
January,2008,1.1266666666666667
February,2008,0.57
April,2008,0.8766666666666666
June,2008,0.53
September,2008,0.48333333333333334
October,2008,0.5166666666666666
November,2008,0.7000000000000001
December,2008,0.8833333333333333
April,2009,0.8266666666666667
May,2009,0.8300000000000001
June,2009,0.48
July,2009,0.6333333333333333
August,2009,0.82
September,2009,0.7999999999999999
October,2009,0.6666666666666666
November,2009,0.32
December,2009,0.3933333333333333
January,2010,0.4166666666666667
June,2010,0.37666666666666665
July,2010,0.6266666666666666
August,2010,0.6533333333333333
September,2010,0.7033333333333333
October,2010,0.6966666666666667
November,2010,0.8866666666666667
December,2010,0.9666666666666667
January,2011,0.4366666666666667
February,2011,0.33666666666666667
May,2011,0.59
June,2011,0.5866666666666667
August,2011,0.49
November,2011,0.31
February,2012,0.23666666666666666
June,2014,0.0
July,2014,0.3873333333333333
August,2014,0.6546666666666666
September,2014,0.3566666666666667
October,2014,0.3933333333333333
November,2014,0.5033333333333333
December,2014,0.255
January,2015,0.34299999999999997
February,2015,0.43966666666666665
March,2015,0.5633333333333334
May,2015,0.379
June,2015,0.9166666666666666
July,2015,0.48100000000000004
August,2015,0.07466666666666667
September,2015,0.5676666666666667
October,2015,0.8333333333333334
November,2015,0.2913333333333333
December,2015,0.295
