MonthName,Year,value
April,1998,9.2
June,1998,28.25
August,1998,6.75
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,1999,0.49
February,1999,2.29
March,1999,1.11
April,1999,1.89
May,1999,1.25
June,1999,2.28
July,1999,2.01
August,1999,2.53
September,1999,1.25
October,1999,4.25
November,1999,7.46
December,1999,2.9
January,2000,2.0
February,2000,1.66
March,2000,1.04
April,2000,1.52
May,2000,1.64
June,2000,2.41
July,2000,2.18
August,2000,1.14
September,2000,2.04
October,2000,2.12
November,2000,1.85
December,2000,1.62
January,2001,0.21
February,2001,4.53
March,2001,1.35
April,2001,8.73
May,2001,0.4
June,2001,0.94
July,2001,0.5
August,2001,0.95
November,2001,1.75
March,2002,1.0
April,2002,1.45
June,2002,0.83
July,2002,1.22
August,2002,0.57
September,2002,0.32
October,2002,8.503333333333334
December,2002,0.4
January,2003,0.406
February,2003,0.552
March,2003,0.9
April,2003,0.624
May,2003,0.665
June,2003,2.03
August,2003,12395.39
September,2003,3.498
October,2003,0.138
November,2003,0.558
January,2004,1.212
February,2004,1.086
March,2004,1.834
April,2004,0.878
May,2004,0.419
June,2004,0.064
July,2004,3.27
August,2004,1.572
September,2004,1.03
October,2004,0.649
November,2004,0.145
December,2004,0.532
January,2005,0.198
February,2005,1.71
March,2005,3.103
April,2005,3.369
May,2005,2.505
June,2005,2.003
July,2005,2.011
August,2005,0.197
September,2005,0.145
October,2005,1.285
November,2005,0.356
December,2005,1.34
January,2006,0.519
February,2006,0.06
March,2006,0.216
April,2006,0.103
May,2006,1.79
June,2006,0.995
July,2006,0.745
August,2006,1.817
September,2006,0.486
October,2006,0.095
November,2006,2.304
December,2006,0.121
January,2007,0.171
February,2007,0.21
March,2007,2.227
April,2007,0.863
May,2007,0.717
June,2007,2.572
July,2007,3.203
August,2007,0.268
September,2007,0.412
October,2007,4.729
November,2007,1.169
December,2007,0.62
February,2008,0.63
May,2008,1.45
June,2008,0.56
September,2008,1.2
October,2008,1.3
November,2008,1.3
December,2008,1.01
April,2009,1.2
May,2009,0.65
June,2009,0.89
July,2009,1.0
August,2009,1.0
September,2009,0.91
October,2009,1.0
November,2009,0.31
December,2009,0.63
January,2010,0.57
June,2010,0.6
July,2010,0.53
August,2010,0.57
September,2010,0.69
October,2010,0.4
November,2010,0.4
December,2010,0.37
January,2011,0.61
February,2011,0.43
May,2011,0.65
June,2011,0.52
August,2011,0.61
November,2011,0.23
February,2012,0.38
September,2014,0.29
October,2014,0.36
February,2015,0.0
March,2015,0.815
April,2015,0.1241
May,2015,0.15
June,2015,0.0369
October,2015,0.1
