MonthName,Year,value
January,2009,0.63
February,2009,0.04
April,2009,0.0
May,2009,0.28
June,2009,0.08
July,2009,0.46
September,2009,0.27
October,2009,0.17
November,2009,0.07
December,2009,0.19
February,2010,0.22
April,2010,0.5
May,2010,0.24
June,2010,0.2
July,2010,0.04
August,2010,0.04
September,2010,0.12
October,2010,0.27
November,2010,0.17
December,2010,0.19
February,2011,0.12
April,2011,0.15
June,2011,0.1
July,2011,0.09
September,2011,0.08
November,2011,0.1
January,2012,0.14
March,2012,0.09
May,2012,0.15
July,2012,0.34
September,2012,0.31
November,2012,0.05
