MonthName,Year,value
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,27.5
May,1998,0.0
June,1998,2.5
July,1998,0.0
August,1998,3.5
September,1998,0.0
October,1998,8.5
November,1998,0.0
December,1998,0.0
January,1999,3.0
February,1999,34.0
March,1999,7.333333333333333
April,1999,8.333333333333334
May,1999,15.666666666666666
June,1999,12.0
July,1999,23.0
August,1999,33.5
September,1999,20.5
October,1999,20.5
November,1999,33.0
December,1999,20.5
January,2000,78.13999999999999
February,2000,20.76
March,2000,116.89999999999999
April,2000,15.0
May,2000,31.319999999999997
June,2000,20.333333333333332
July,2000,19.333333333333332
August,2000,43.333333333333336
September,2000,39.333333333333336
October,2000,13.0
November,2000,16.666666666666668
December,2000,15.0
April,2001,17.0
May,2001,25.666666666666668
June,2001,26.0
July,2001,42.96666666666666
August,2001,15.01
September,2001,14.103333333333333
October,2001,13.666666666666666
November,2001,37.723333333333336
December,2001,2.09
March,2002,9.97
April,2002,3.25
May,2002,14.966666666666667
June,2002,4.613333333333333
August,2002,11.653333333333334
September,2002,6.608333333333333
October,2002,36.1675
November,2002,17.893333333333334
January,2003,7.403333333333333
February,2003,13.86
March,2003,8.536666666666667
April,2003,10.446666666666667
June,2003,8.813333333333334
July,2003,6.048333333333335
October,2003,3.028333333333333
November,2003,2.2983333333333333
December,2003,1.8525
February,2004,8.625
March,2004,2.211333333333333
April,2004,3.0860000000000003
May,2004,2.0044999999999997
June,2004,2.032
July,2004,2.6841666666666666
August,2004,7.388333333333333
September,2004,5.854166666666667
October,2004,2.4255
November,2004,4.539000000000001
December,2004,2.8077500000000004
January,2005,10.745499833333332
February,2005,3.324666666666666
March,2005,9.0405
April,2005,6.249666666666666
May,2005,4.1905
June,2005,2.7853333333333334
July,2005,3.4778333333333333
August,2005,5.546499999999999
October,2005,3.0315
November,2005,3.7714999999999996
December,2005,5.155
January,2006,5.576
February,2006,8.739666666666666
March,2006,9.150333333333332
April,2006,29.311666666666667
May,2006,5.7695
June,2006,10.776666666666666
July,2006,2.921666666666667
August,2006,5.717333333333333
September,2006,4.4875
October,2006,3.342333333333334
November,2006,13.193833333333332
December,2006,5.531
January,2007,3.8731666666666675
February,2007,17.52225
March,2007,2.6188333333333333
April,2007,13.7725
May,2007,1.3486666666666667
June,2007,4.0815
July,2007,0.5385
August,2007,6.5456666666666665
September,2007,4.06
October,2007,5.94
November,2007,3.28
December,2007,3.3236666666666665
April,2010,1.7666666666666666
May,2010,1.1233333333333333
June,2010,1.4433333333333334
July,2010,1.0
August,2010,8.593033333333333
September,2010,4.89225
October,2010,3.3433499999999996
November,2010,5.244
December,2010,5.365
January,2011,13.107633333333334
February,2011,7.0498
March,2011,9.637966666666665
April,2011,9.2715
May,2011,3.0
June,2011,12.311066666666667
July,2011,6.313766666666666
August,2011,7.3613333333333335
September,2011,5.921466666666666
October,2011,6.126
November,2011,3.0
December,2011,3.0
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,3.5236666666666667
October,2012,2.17
November,2012,2.1163333333333334
December,2012,0.0
January,2013,0.0
February,2013,1.035
March,2013,1.07
April,2013,0.0
May,2013,0.0
June,2013,1.6580000000000001
July,2013,0.0
August,2013,0.0
September,2013,1.144
October,2013,1.851
November,2013,1.8330000000000002
December,2013,1.668
January,2014,0.0
February,2014,1.8736666666666666
March,2014,1.31
April,2014,1.3943333333333332
May,2014,3.45
June,2014,3.5226666666666664
July,2014,2.7886666666666664
August,2014,2.4103333333333334
September,2014,2.1330000000000005
October,2014,1.2533333333333334
November,2014,2.1553333333333335
December,2014,1.9013333333333333
