MonthName,Year,value
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,42.0
May,1998,0.0
June,1998,10.666666666666666
July,1998,0.0
August,1998,16.7225
September,1998,0.0
October,1998,52.333333333333336
November,1998,14.333333333333334
December,1998,1.3333333333333333
January,1999,32.0
February,1999,15.666666666666666
March,1999,10.0
April,1999,27.333333333333332
May,1999,9.0
June,1999,22.0
July,1999,39.207499999999996
August,1999,28.18
September,1999,23.0
October,1999,27.0
November,1999,39.333333333333336
December,1999,36.666666666666664
January,2000,35.96333333333333
February,2000,39.056666666666665
March,2000,98.37
April,2000,9.666666666666666
May,2000,19.16
June,2000,28.0
July,2000,25.225
August,2000,55.75
September,2000,33.666666666666664
October,2000,20.333333333333332
November,2000,14.333333333333334
December,2000,17.333333333333332
January,2001,4.333333333333333
February,2001,4.666666666666667
March,2001,3.0
April,2001,8.666666666666666
May,2001,21.0
June,2001,33.666666666666664
July,2001,46.156666666666666
August,2001,18.776666666666667
September,2001,5.043333333333333
February,2002,9.18
March,2002,10.765
April,2002,1.095
May,2002,21.69666666666667
June,2002,3.366666666666667
August,2002,8.6
September,2002,8.585
October,2002,5.69
November,2002,18.68
January,2003,8.020000000000001
February,2003,9.293333333333333
March,2003,7.853333333333334
April,2003,7.621666666666667
May,2003,6.696666666666666
June,2003,8.386666666666667
July,2003,1.4656666666666667
August,2003,9.82
September,2003,2.991
October,2003,4.648333333333333
November,2003,5.215
January,2004,6.493333333333333
February,2004,5.385000000000001
March,2004,6.2524
April,2004,5.3053333333333335
May,2004,2.4356666666666666
June,2004,5.783333333333332
July,2004,2.733
August,2004,5.829166666666666
September,2004,3.3123333333333336
October,2004,3.6828333333333334
November,2004,3.7728333333333333
December,2004,7.6255000000000015
January,2005,8.826
February,2005,5.909
March,2005,6.258
April,2005,12.507666833333333
May,2005,6.489999999999999
June,2005,6.562
July,2005,4.766166666666667
August,2005,4.804833333333334
September,2005,2.419
October,2005,10.108333333333333
November,2005,11.772333500000002
December,2005,22.67483316666667
January,2006,8.617666666666667
February,2006,20.33666666666667
March,2006,13.506666666666668
April,2006,47.095
June,2006,10.417666666666667
July,2006,5.306333333333333
August,2006,14.7275
September,2006,12.301
October,2006,10.725666666666667
November,2006,18.978333333333335
December,2006,8.331333333333333
January,2007,2.2179999999999995
February,2007,6.512499999999999
March,2007,4.277166666666667
April,2007,12.115499999999999
May,2007,1.7962
June,2007,2.955666666666667
July,2007,1.3183333333333331
August,2007,4.06
September,2007,4.798666666666667
October,2007,4.580666666666667
November,2007,1.5416666666666663
December,2007,1.4915
January,2008,2.4333333333333336
February,2008,2.6
April,2008,1.8666666666666665
May,2008,4.366666666666667
June,2008,2.2
September,2008,4.166666666666667
October,2008,2.233333333333333
November,2008,1.8
April,2009,2.533333333333333
May,2009,1.1666666666666667
June,2009,3.6666666666666665
July,2009,1.6666666666666667
August,2009,1.2666666666666666
September,2009,2.0666666666666664
October,2009,1.7333333333333334
November,2009,0.7176666666666667
December,2009,1.15
January,2010,1.9333333333333333
February,2010,2.8666666666666667
March,2010,1.7666666666666666
April,2010,1.2266666666666668
May,2010,1.4000000000000001
June,2010,1.2666666666666668
July,2010,1.3
August,2010,1.6666666666666667
September,2010,1.0999999999999999
October,2010,0.9233333333333333
November,2010,1.3333333333333333
December,2010,3.0
January,2011,1.5999999999999999
February,2011,1.3999999999999997
March,2011,3.033333333333333
April,2011,4.0
May,2011,4.933333333333334
June,2011,5.199999999999999
July,2011,1.9666666666666668
August,2011,2.533333333333333
September,2011,1.8333333333333333
October,2011,2.0
November,2011,1.9666666666666668
December,2011,1.7666666666666666
January,2012,1.9333333333333333
February,2012,2.1999999999999997
October,2013,4.233333333333333
September,2014,2.3
October,2014,2.3333333333333335
November,2014,1.7666666666666668
January,2016,1.973
February,2016,2.8253333333333335
March,2016,1.973
April,2016,1.973
May,2016,1.973
June,2016,1.973
July,2016,1.973
August,2016,4.944466666666667
September,2016,1.973
October,2016,1.973
November,2016,1.973
December,2016,2.6799999999999997
