MonthName,Year,value
January,1998,0.0
February,1998,0.0
March,1998,10.0
April,1998,16.666666666666668
May,1998,0.0
June,1998,10.0
July,1998,0.0
August,1998,20.5625
September,1998,0.0
October,1998,48.666666666666664
November,1998,33.333333333333336
December,1998,20.0
January,1999,32.333333333333336
February,1999,8.5
March,1999,8.333333333333334
April,1999,29.666666666666668
May,1999,14.666666666666666
June,1999,26.0
July,1999,39.125
August,1999,23.98
September,1999,24.333333333333332
October,1999,41.666666666666664
November,1999,21.333333333333332
December,1999,27.0
January,2000,14.853333333333333
February,2000,25.413333333333338
March,2000,57.73333333333334
April,2000,20.0
May,2000,16.299999999999997
June,2000,19.333333333333332
July,2000,28.555
August,2000,32.0
September,2000,12.666666666666666
October,2000,22.0
November,2000,14.0
December,2000,13.333333333333334
January,2001,2.6666666666666665
February,2001,3.0
March,2001,3.0
April,2001,26.666666666666668
May,2001,15.666666666666666
June,2001,8.666666666666666
July,2001,31.27666666666667
August,2001,21.84
September,2001,4.783333333333333
March,2002,3.82
April,2002,3.9766666666666666
June,2002,1.8333333333333333
August,2002,6.670000000000001
September,2002,7.346666666666667
October,2002,11.994285714285713
November,2002,16.110000000000003
January,2003,8.296666666666667
February,2003,10.370000000000001
March,2003,7.406666666666666
April,2003,7.983333333333333
May,2003,6.5633333333333335
June,2003,7.609999999999999
July,2003,1.8976666666666666
August,2003,17.268400000000003
September,2003,4.558
October,2003,3.4499999999999997
November,2003,2.686666666666667
February,2004,4.87
April,2004,2.444
May,2004,0.6076666666666667
June,2004,6.417000000000001
July,2004,3.0853333333333333
August,2004,5.242
September,2004,1.954666666666667
October,2004,3.1376666666666666
November,2004,1.2863333333333333
December,2004,2.6456666666666666
January,2005,1.8373333333333333
February,2005,5.463
March,2005,6.684
April,2005,2.8686666666666665
May,2005,6.135000000000001
June,2005,7.158666666666666
July,2005,2.198
August,2005,2.9613333333333336
September,2005,0.8283333333333333
October,2005,3.317
November,2005,1.5333333333333332
December,2005,6.303666666666666
January,2006,2.3009999999999997
February,2006,4.585
March,2006,5.825333333333333
April,2006,41.00333333333334
May,2006,22.13
June,2006,4.661333333333333
July,2006,3.3683333333333336
August,2006,8.930666666666665
September,2006,5.271
October,2006,9.354666666666667
November,2006,6.0760000000000005
December,2006,4.742
January,2007,13.233333333333333
February,2007,7.1209999999999996
March,2007,2.095
April,2007,9.057333333333334
May,2007,2.1816666666666666
June,2007,2.444
July,2007,0.05533333333333334
August,2007,2.332333333333333
September,2007,5.186999999999999
October,2007,2.0340000000000003
November,2007,1.8983333333333334
December,2007,2.374
January,2008,2.5
April,2008,2.1333333333333333
June,2008,3.8
September,2008,2.3
October,2008,1.3066666666666666
November,2008,3.6
December,2008,2.1333333333333333
April,2009,1.5999999999999999
May,2009,2.6666666666666665
June,2009,2.0
July,2009,1.2333333333333334
August,2009,1.3
September,2009,3.533333333333333
October,2009,2.533333333333333
November,2009,1.7333333333333332
December,2009,1.7333333333333332
January,2010,1.1366666666666665
February,2010,1.6333333333333335
March,2010,1.4666666666666668
April,2010,1.26
May,2010,1.3333333333333333
June,2010,1.0933333333333335
July,2010,1.3333333333333333
August,2010,1.3999999999999997
September,2010,1.4000000000000001
October,2010,1.5999999999999999
November,2010,1.4333333333333333
December,2010,3.4000000000000004
January,2011,1.3333333333333333
February,2011,1.3999999999999997
March,2011,2.4333333333333336
April,2011,1.4333333333333333
May,2011,1.5666666666666667
June,2011,1.5
July,2011,1.5666666666666667
August,2011,2.9
September,2011,1.5
October,2011,1.5666666666666664
November,2011,1.7666666666666668
December,2011,2.5
January,2012,1.8999999999999997
February,2012,1.6666666666666667
June,2012,2.1
January,2014,1.9666666666666668
June,2014,2.766666666666667
September,2014,2.4551666666666665
October,2014,2.8766666666666665
November,2014,3.2433333333333336
December,2014,1.7866666666666664
January,2015,3.2533333333333334
February,2015,2.3666666666666667
March,2015,1.29
April,2015,2.84
May,2015,1.0833333333333333
June,2015,0.5
July,2015,2.5
August,2015,1.03
September,2015,2.1933333333333334
October,2015,0.8433333333333334
November,2015,0.6966666666666667
December,2015,1.6033333333333333
January,2016,0.0
February,2016,0.3466666666666667
March,2016,2.42
April,2016,0.0
May,2016,2.5166666666666666
June,2016,2.5733333333333333
July,2016,3.183333333333333
August,2016,0.35333333333333333
September,2016,1.6166666666666665
October,2016,1.58
November,2016,3.86
December,2016,1.5566666666666666
