MonthName,Year,value
April,1998,15.0
June,1998,1.0
August,1998,20.68
October,1998,49.0
November,1998,15.333333333333334
December,1998,7.0
January,1999,18.333333333333332
February,1999,9.333333333333334
March,1999,5.333333333333333
April,1999,27.333333333333332
May,1999,16.316666666666666
June,1999,21.666666666666668
July,1999,31.6
August,1999,27.0175
September,1999,21.0
October,1999,30.0
November,1999,18.0
December,1999,41.666666666666664
January,2000,18.299999999999997
February,2000,29.983333333333334
March,2000,64.62666666666667
April,2000,16.666666666666668
May,2000,24.583333333333332
June,2000,18.0
July,2000,26.41
August,2000,35.375
September,2000,28.0
October,2000,21.333333333333332
November,2000,12.333333333333334
December,2000,15.333333333333334
January,2001,3.3333333333333335
February,2001,3.0
March,2001,2.3333333333333335
April,2001,13.666666666666666
May,2001,24.0
June,2001,11.5
July,2001,32.086666666666666
August,2001,20.463333333333335
September,2001,5.78
March,2002,2.89
April,2002,5.936666666666667
June,2002,2.1366666666666667
August,2002,5.403333333333333
September,2002,7.766666666666667
October,2002,10.581428571428573
November,2002,11.416666666666666
January,2003,5.536666666666666
February,2003,7.916666666666667
March,2003,6.28
April,2003,7.866666666666666
May,2003,6.163333333333334
June,2003,6.293333333333333
July,2003,1.4766666666666666
August,2003,6.02625
September,2003,8.863999999999999
October,2003,4.04
November,2003,2.0866666666666664
January,2004,10.603333333333333
February,2004,6.586666666666666
March,2004,3.2576666666666667
April,2004,3.1993333333333336
May,2004,1.3030000000000002
June,2004,6.867
July,2004,2.376
August,2004,3.589
September,2004,2.750666666666666
October,2004,2.691333333333334
November,2004,1.2533333333333332
December,2004,0.7133333333333334
January,2005,2.5860000000000003
February,2005,4.436
March,2005,6.389666666666666
April,2005,1.7956666666666665
May,2005,2.3753333333333333
June,2005,2.9363333333333337
July,2005,39.551999333333335
August,2005,2.546666666666667
September,2005,0.4976666666666667
October,2005,1.5803333333333331
November,2005,3.3089999999999997
December,2005,40.91999966666666
January,2006,2.494333333333333
February,2006,8.593666666666666
March,2006,6.456666666666666
April,2006,13.38
May,2006,14.410000000000002
June,2006,3.235333333333333
July,2006,3.953
August,2006,16.403666666666666
September,2006,5.768999999999999
October,2006,11.496666666666668
November,2006,19.266666666666666
December,2006,7.205333333333333
January,2007,8.14
February,2007,5.982
March,2007,1.86
April,2007,8.970666666666666
May,2007,5.532333333333334
June,2007,2.552
July,2007,1.0673333333333332
August,2007,3.496
September,2007,2.8176666666666663
October,2007,2.7823333333333333
November,2007,5.885666666666666
December,2007,1.7856666666666667
January,2008,2.7066666666666666
February,2008,1.0266666666666666
April,2008,2.233333333333334
June,2008,2.0
September,2008,1.9666666666666668
October,2008,1.6666666666666667
November,2008,3.7999999999999994
December,2008,1.6666666666666667
April,2009,2.4
May,2009,3.266666666666667
June,2009,1.6666666666666667
July,2009,1.1333333333333335
August,2009,1.2
September,2009,4.133333333333334
October,2009,4.566666666666667
November,2009,1.7
December,2009,1.4666666666666668
January,2010,1.2666666666666666
February,2010,1.4333333333333333
March,2010,1.8
April,2010,1.3
May,2010,1.3333333333333333
June,2010,1.9666666666666668
July,2010,1.5333333333333332
August,2010,2.566666666666667
September,2010,1.6333333333333335
October,2010,1.3666666666666665
November,2010,1.4666666666666668
December,2010,2.1999999999999997
January,2011,2.033333333333333
February,2011,1.7999999999999998
March,2011,2.266666666666667
April,2011,1.8333333333333333
May,2011,1.6333333333333335
June,2011,1.7
July,2011,2.433333333333333
August,2011,3.3666666666666667
September,2011,1.5999999999999999
October,2011,2.266666666666667
November,2011,2.033333333333333
December,2011,1.5666666666666667
January,2012,3.766666666666667
February,2012,1.7
August,2014,2.4899999999999998
September,2014,1.3783333333333332
October,2014,0.75
November,2014,4.473333333333334
December,2014,1.9966666666666668
January,2015,1.7633333333333334
February,2015,1.6433333333333335
March,2015,1.3399999999999999
April,2015,2.703333333333333
May,2015,0.91
June,2015,0.5
July,2015,0.5
August,2015,0.5
September,2015,2.11
October,2015,1.5599999999999998
November,2015,0.5
December,2015,1.33
January,2016,0.0
February,2016,1.38
March,2016,3.4133333333333327
April,2016,0.0
May,2016,3.1133333333333333
June,2016,1.3433333333333335
July,2016,0.0
August,2016,3.573333333333333
September,2016,0.68
October,2016,1.4233333333333336
November,2016,2.27
December,2016,1.7666666666666666
