MonthName,Year,value
January,2009,0.1267
February,2009,0.0133
March,2009,0.0167
April,2009,0.0992
May,2009,0.225
June,2009,0.1142
July,2009,0.127
August,2009,0.153
September,2009,0.143
October,2009,0.1173
November,2009,0.2282
December,2009,0.0684
January,2010,0.2
February,2010,0.11333333333333333
March,2010,0.13
April,2010,0.21
May,2010,0.12
June,2010,0.1
July,2010,0.165
August,2010,0.355
September,2010,0.21500000000000002
October,2010,0.37333333333333335
November,2010,0.37
December,2010,0.25
January,2011,0.0515
February,2011,0.062
March,2011,0.036500000000000005
April,2011,0.119
May,2011,0.14350000000000002
June,2011,0.14250000000000002
July,2011,0.094
August,2011,0.14200000000000002
September,2011,0.075
October,2011,0.056
November,2011,0.098
December,2011,0.0465
January,2012,0.055999999999999994
February,2012,0.036
March,2012,0.037
April,2012,0.0625
May,2012,0.024
June,2012,0.10149999999999999
July,2012,0.057
August,2012,0.051000000000000004
September,2012,0.073
October,2012,0.045
November,2012,0.0395
December,2012,0.1315
January,2013,0.051
February,2013,0.007
March,2013,0.008
April,2013,0.0
May,2013,0.012
June,2013,0.045
July,2013,0.038
August,2013,0.018
September,2013,0.034
October,2013,0.022
November,2013,0.018
December,2013,0.029
January,2014,0.02
February,2014,0.018
March,2014,0.014
April,2014,0.024
May,2014,0.009
June,2014,0.0
July,2014,0.03
August,2014,0.024
September,2014,0.027
October,2014,0.065
November,2014,0.026
December,2014,0.02
January,2015,0.025
February,2015,0.013
March,2015,0.012
April,2015,0.024
May,2015,0.017
June,2015,0.23
July,2015,0.023
August,2015,0.068
September,2015,0.1
October,2015,0.038
November,2015,0.024
December,2015,0.012
January,2016,0.016
February,2016,0.012
March,2016,0.011
April,2016,0.068
May,2016,0.03
June,2016,0.037
July,2016,0.044
August,2016,0.025
September,2016,0.051
October,2016,0.034
November,2016,0.079
December,2016,0.022
