MonthName,Year,value
January,1998,0.06
February,1998,0.02
March,1998,0.05
April,1998,0.045
May,1998,0.045
June,1998,0.025
July,1998,0.065
August,1998,0.04
September,1998,0.04
October,1998,0.02
November,1998,0.07
December,1998,0.08
January,1999,0.09999999999999999
February,1999,0.06333333333333334
March,1999,0.03666666666666667
April,1999,0.03666666666666667
May,1999,0.06666666666666667
June,1999,0.06
July,1999,0.056666666666666664
August,1999,0.04
September,1999,0.03
October,1999,0.035
November,1999,0.08
December,1999,0.05
January,2000,0.045
February,2000,0.04
March,2000,0.03
April,2000,0.03666666666666667
May,2000,0.06333333333333334
June,2000,0.07
July,2000,0.07333333333333335
August,2000,0.05333333333333334
September,2000,0.07333333333333335
October,2000,0.06333333333333334
November,2000,0.08666666666666667
December,2000,0.09666666666666668
January,2001,0.049999999999999996
March,2001,0.05333333333333334
April,2001,0.07666666666666667
May,2001,0.02666666666666667
June,2001,0.023333333333333334
July,2001,0.04666666666666667
August,2001,0.04
September,2001,0.043333333333333335
October,2001,0.03333333333333333
December,2001,0.15000000000000002
February,2002,0.11833333333333333
March,2002,0.11333333333333333
April,2002,0.1366666666666667
May,2002,0.10333333333333333
June,2002,0.105
July,2002,0.09999999999999999
August,2002,0.11333333333333334
September,2002,0.07
October,2002,0.17333333333333334
November,2002,0.16
December,2002,0.14666666666666667
January,2003,0.08766666666666667
February,2003,0.09533333333333334
March,2003,0.07883333333333332
April,2003,0.054
May,2003,0.068
June,2003,0.071
July,2003,0.08433333333333333
August,2003,0.12533333333333332
September,2003,0.08
October,2003,0.09883333333333333
November,2003,0.08283333333333333
December,2003,0.15116666666666667
January,2004,0.0725
February,2004,0.08083333333333333
March,2004,0.13533333333333333
April,2004,0.05316666666666667
May,2004,0.06633333333333334
June,2004,0.06433333333333334
July,2004,0.053
August,2004,0.024866666666666665
September,2004,0.04783333333333333
October,2004,0.044000000000000004
November,2004,0.09233333333333334
December,2004,0.1225
January,2005,0.09283333333333334
February,2005,0.08683333333333333
March,2005,0.07016666666666667
April,2005,0.04633333333333334
May,2005,0.0515
June,2005,0.058166666666666665
July,2005,0.06933333333333333
August,2005,0.08283333333333333
September,2005,0.0705
October,2005,0.06333333333333334
November,2005,0.07683333333333334
December,2005,0.09166666666666667
January,2006,0.16933333333333334
February,2006,0.17500000000000002
March,2006,0.11299999999999999
April,2006,0.05883333333333333
May,2006,0.056
June,2006,0.056999999999999995
July,2006,0.0605
August,2006,0.09050000000000001
September,2006,0.09416666666666668
October,2006,0.1295
November,2006,0.1125
December,2006,0.121
January,2007,0.11333333333333334
February,2007,0.1105
March,2007,0.14666666666666667
April,2007,0.25825
May,2007,0.08650000000000001
June,2007,0.06833333333333334
July,2007,0.10666666666666667
August,2007,0.03366666666666667
September,2007,0.09300000000000001
October,2007,0.211
November,2007,0.02625
December,2007,0.07033333333333334
January,2008,0.06875
February,2008,0.13675
March,2008,0.12
May,2008,0.028666666666666663
June,2008,0.014333333333333332
July,2008,0.024999999999999998
August,2008,0.016416666666666666
September,2008,0.04014285714285715
October,2008,0.018416666666666668
November,2008,0.017833333333333333
December,2008,0.05833333333333333
January,2009,0.023
February,2009,0.08733333333333333
March,2009,0.064
April,2009,0.04633333333333334
May,2009,0.011333333333333334
June,2009,0.02666666666666667
July,2009,0.020666666666666667
August,2009,0.018666666666666668
September,2009,0.016666666666666666
October,2009,0.030666666666666665
November,2009,0.081
December,2009,0.043000000000000003
January,2010,0.049
February,2010,0.054
March,2010,0.8233333333333333
April,2010,0.035333333333333335
May,2010,0.11833333333333333
June,2010,0.08733333333333333
July,2010,0.09666666666666666
August,2010,0.24333333333333332
September,2010,0.18616666666666667
October,2010,0.2237777777777778
November,2010,0.26875
December,2010,0.21971428571428572
January,2011,0.30333333333333334
February,2011,0.19166666666666665
March,2011,0.142
April,2011,0.255
May,2011,0.20175
June,2011,0.12266666666666666
July,2011,0.20666666666666667
August,2011,0.13333333333333333
September,2011,0.27
October,2011,0.14
November,2011,0.15666666666666665
December,2011,0.18000000000000002
January,2012,0.107
February,2012,0.03166666666666667
March,2012,0.051666666666666666
April,2012,0.039
May,2012,0.06875
June,2012,0.07366666666666667
July,2012,0.063
August,2012,0.06266666666666666
September,2012,0.050333333333333334
October,2012,0.049999999999999996
November,2012,0.031
December,2012,0.032
January,2013,0.04700000000000001
February,2013,0.026
March,2013,0.012333333333333333
April,2013,0.012666666666666666
May,2013,0.0
June,2013,0.04700000000000001
July,2013,0.02866666666666667
August,2013,0.03
September,2013,0.03733333333333333
October,2013,0.030333333333333334
November,2013,0.04133333333333333
December,2013,0.035
January,2014,0.029333333333333333
February,2014,0.06333333333333334
March,2014,0.0175
April,2014,0.013833333333333335
May,2014,0.10450000000000001
June,2014,0.12083333333333333
July,2014,0.10233333333333333
August,2014,0.09616666666666666
September,2014,0.094
October,2014,0.1285714285714286
November,2014,0.11271428571428573
December,2014,0.12575
January,2015,0.04
February,2015,0.039999999999999994
March,2015,0.0285
April,2015,0.04425
May,2015,0.04133333333333333
June,2015,0.04933333333333333
July,2015,0.03366666666666667
August,2015,0.03283333333333333
September,2015,0.0475
October,2015,0.04214285714285714
November,2015,0.0448
December,2015,0.04516666666666667
January,2016,0.04033333333333333
February,2016,0.0315
March,2016,0.004
April,2016,0.026500000000000003
May,2016,0.0245
June,2016,0.035750000000000004
July,2016,0.025666666666666664
August,2016,0.04677777777777778
September,2016,0.04700000000000001
October,2016,0.051750000000000004
November,2016,0.07050000000000001
December,2016,0.043
