MonthName,Year,value
October,1998,0.1
November,1998,0.1
December,1998,0.08
January,1999,0.1
February,1999,0.09
March,1999,0.02
April,1999,0.05
May,1999,0.12
June,1999,0.05
July,1999,0.03
August,1999,0.04
September,1999,0.22
October,1999,0.06
November,1999,0.06
December,1999,0.04
January,2000,0.04
February,2000,0.01
March,2000,0.07
April,2000,0.07
May,2000,0.03
June,2000,0.06
July,2000,0.01
August,2000,0.06
September,2000,0.04
October,2000,0.08
November,2000,0.05
December,2000,0.06
January,2001,0.12
February,2001,0.06
March,2001,0.06
April,2001,0.03
May,2001,0.01
June,2001,0.06
July,2001,0.03
August,2001,0.07
September,2001,0.02
November,2001,0.01
January,2002,0.15666666666666668
February,2002,0.005
March,2002,0.007
April,2002,0.005
May,2002,0.005
June,2002,0.005
July,2002,0.01
August,2002,0.02
September,2002,0.01
October,2002,0.055
December,2002,0.01
January,2003,0.0
February,2003,0.005
March,2003,0.018
April,2003,0.032
May,2003,0.017
June,2003,0.005
July,2003,0.036
August,2003,0.009
September,2003,0.027
October,2003,0.137
November,2003,0.013
December,2003,0.029
January,2004,0.028
February,2004,0.026
March,2004,0.005
April,2004,0.012
May,2004,0.081
June,2004,0.018
July,2004,0.0
August,2004,0.054
September,2004,0.038
October,2004,0.021
December,2004,0.031
January,2005,0.096
February,2005,0.087
March,2005,0.021
April,2005,0.017
May,2005,0.014
June,2005,0.019
July,2005,0.03
August,2005,0.047
September,2005,0.013
October,2005,0.029
November,2005,0.017
December,2005,0.033
January,2006,0.034
February,2006,0.178
March,2006,0.01
April,2006,0.061
May,2006,0.028
June,2006,0.008
July,2006,0.075
August,2006,0.005
September,2006,0.008
October,2006,0.276
November,2006,0.005
December,2006,0.022
January,2007,0.039
February,2007,0.005
March,2007,0.094
April,2007,0.005
May,2007,0.019
June,2007,0.048
July,2007,0.037
August,2007,0.047
September,2007,0.056
October,2007,0.0146
November,2007,0.033
December,2007,0.047
February,2008,0.0188
March,2008,0.035
May,2008,0.026
June,2008,0.088
July,2008,0.005
August,2008,0.037
September,2008,0.026
October,2008,0.043
November,2008,0.024
December,2008,0.0677
January,2009,0.073
February,2009,0.097
March,2009,0.037
April,2009,0.048
May,2009,0.0931
June,2009,0.005
July,2009,0.024
August,2009,0.331
September,2009,0.065
October,2009,0.049
November,2009,0.05
December,2009,0.019
January,2010,0.049
February,2010,0.007
March,2010,0.019
April,2010,0.04
May,2010,0.01
June,2010,0.005
July,2010,0.005
August,2010,0.005
September,2010,0.01
October,2010,0.011
November,2010,0.04
December,2010,0.031
January,2011,0.05
February,2011,0.037
March,2011,0.0
April,2011,0.0
May,2011,0.0
June,2011,0.0
August,2011,0.018
September,2011,0.0
November,2011,0.035500000000000004
December,2011,0.028
February,2012,0.029225
March,2012,0.0134
April,2012,0.005
May,2012,0.0587
July,2012,0.036574999999999996
August,2012,0.0101
October,2012,0.03205
November,2012,0.0348
December,2012,0.036000000000000004
January,2013,0.062
February,2013,0.031
March,2013,0.01285
April,2013,0.019000000000000003
May,2013,0.045
June,2013,0.051
July,2013,0.056499999999999995
August,2013,0.023
September,2013,0.0115
October,2013,0.072
November,2013,0.0585
December,2013,0.028833333333333332
January,2014,0.0352
March,2014,0.06323333333333332
April,2014,0.043525
May,2014,0.05359
June,2014,0.09472
July,2014,0.05216
August,2014,0.10844
September,2014,0.07540999999999999
October,2014,0.07565
November,2014,0.0812
December,2014,0.06801
January,2015,0.055
February,2015,0.077
March,2015,0.04
April,2015,0.027
May,2015,0.0455
June,2015,0.07
July,2015,0.0455
August,2015,0.03266666666666667
September,2015,0.053
October,2015,0.0585
November,2015,0.02133333333333333
December,2015,0.038
January,2016,0.012
February,2016,0.051333333333333335
March,2016,0.018500000000000003
April,2016,0.04
May,2016,0.039
June,2016,0.038149999999999996
July,2016,0.057333333333333326
August,2016,0.1235
September,2016,0.04066666666666666
October,2016,0.03
November,2016,0.03
December,2016,0.0415
