MonthName,Year,value
January,1998,0.04666666666666667
February,1998,0.05333333333333334
March,1998,0.04666666666666667
April,1998,0.05000000000000001
May,1998,0.02666666666666667
June,1998,0.06
July,1998,0.07666666666666666
August,1998,0.07
September,1998,0.07
October,1998,0.08
November,1998,0.07666666666666667
December,1998,0.07333333333333335
January,1999,0.08333333333333333
February,1999,0.07666666666666667
March,1999,0.12
April,1999,0.05666666666666667
May,1999,0.049999999999999996
June,1999,0.05666666666666667
July,1999,0.056666666666666664
August,1999,0.056666666666666664
September,1999,0.07333333333333335
October,1999,0.043333333333333335
November,1999,0.06
December,1999,0.03666666666666667
January,2000,0.01
February,2000,0.03666666666666667
March,2000,0.016666666666666666
April,2000,0.05333333333333334
May,2000,0.03
June,2000,0.09666666666666668
July,2000,0.03
August,2000,0.09333333333333334
September,2000,0.04
October,2000,0.10333333333333333
November,2000,0.08
December,2000,0.10000000000000002
January,2001,0.07
February,2001,0.02
March,2001,0.02
April,2001,0.05666666666666667
May,2001,0.01
June,2001,0.07333333333333335
July,2001,0.04
August,2001,0.06
September,2001,0.04
November,2001,0.009
February,2002,0.03
March,2002,0.03166666666666667
April,2002,0.006666666666666667
May,2002,0.005666666666666667
June,2002,0.0075
July,2002,0.011500000000000002
August,2002,0.024999999999999998
September,2002,0.021666666666666667
October,2002,0.043000000000000003
November,2002,0.03
December,2002,0.04
January,2003,0.027333333333333334
February,2003,0.017
March,2003,0.09650000000000002
April,2003,0.018166666666666668
May,2003,0.017
June,2003,0.014833333333333332
July,2003,0.021166666666666667
August,2003,0.018333333333333333
September,2003,0.023333333333333334
October,2003,0.024833333333333332
November,2003,0.044833333333333336
December,2003,0.023499999999999997
January,2004,0.019
February,2004,0.014333333333333332
March,2004,0.015
April,2004,0.023500000000000004
May,2004,0.014666666666666666
June,2004,0.03333333333333333
July,2004,0.006333333333333333
August,2004,0.11916666666666666
September,2004,0.050333333333333334
October,2004,0.06
November,2004,0.024000000000000004
December,2004,0.081
January,2005,0.043166666666666666
February,2005,0.055833333333333325
March,2005,0.028999999999999998
April,2005,0.03416666666666667
May,2005,0.01983333333333333
June,2005,0.07283333333333333
July,2005,0.03
August,2005,0.0365
September,2005,0.030166666666666665
October,2005,0.037
November,2005,0.026
December,2005,0.011333333333333334
January,2006,0.05666666666666667
February,2006,0.09316666666666666
March,2006,0.08216666666666667
April,2006,0.04650000000000001
May,2006,0.02
June,2006,0.008499999999999999
July,2006,0.027
August,2006,0.005833333333333334
September,2006,0.006333333333333333
October,2006,0.021166666666666667
November,2006,0.103
December,2006,0.030666666666666665
January,2007,0.050833333333333335
February,2007,0.005333333333333333
March,2007,0.08380000000000001
April,2007,0.026166666666666668
May,2007,0.0335
June,2007,0.03966666666666666
July,2007,0.024333333333333332
August,2007,0.03216666666666667
September,2007,0.029883333333333335
October,2007,0.03855
November,2007,0.026166666666666668
December,2007,0.084
January,2008,0.020666666666666667
February,2008,0.03915
March,2008,0.04566666666666667
April,2008,0.046000000000000006
May,2008,0.04933333333333333
June,2008,0.025155555555555556
July,2008,0.05933333333333333
August,2008,0.0635
September,2008,0.030166666666666665
October,2008,0.023666666666666666
November,2008,0.026
December,2008,0.023033333333333333
January,2009,0.08716666666666667
February,2009,0.12466666666666666
March,2009,0.08416666666666667
April,2009,0.20033333333333334
May,2009,0.0958
June,2009,0.010333333333333333
July,2009,0.0055000000000000005
August,2009,0.048999999999999995
September,2009,0.06733333333333334
October,2009,0.08553333333333334
November,2009,0.04788888888888889
December,2009,0.042333333333333334
January,2010,0.045500000000000006
February,2010,0.06316666666666666
March,2010,0.042833333333333334
April,2010,0.031166666666666665
May,2010,0.005333333333333333
June,2010,0.02316666666666667
July,2010,0.005
August,2010,0.02016666666666667
September,2010,0.005
October,2010,0.024833333333333332
November,2010,0.01711111111111111
December,2010,0.02622222222222222
January,2011,0.045500000000000006
February,2011,0.0595
March,2011,0.006833333333333334
April,2011,0.02366666666666667
May,2011,0.0
June,2011,0.011500000000000002
July,2011,0.010333333333333333
August,2011,0.041
September,2011,0.06533333333333334
October,2011,0.024666666666666667
November,2011,0.035333333333333335
December,2011,0.013444444444444445
January,2012,0.008416666666666668
February,2012,0.029983333333333334
March,2012,0.03391666666666667
April,2012,0.02968333333333333
May,2012,0.05216666666666667
June,2012,0.062266666666666665
July,2012,0.05316666666666667
August,2012,0.03983333333333333
September,2012,0.05466666666666667
October,2012,0.06193333333333333
November,2012,0.024555555555555556
December,2012,0.07004444444444444
January,2013,0.08283333333333333
February,2013,0.06816666666666667
March,2013,0.022500000000000003
April,2013,0.018333333333333333
May,2013,0.017166666666666667
June,2013,0.0155
July,2013,0.015
August,2013,0.035
September,2013,0.03983333333333333
October,2013,0.06516666666666666
November,2013,0.07428571428571429
December,2013,0.09322222222222222
January,2014,0.06423333333333332
March,2014,0.05813666666666666
April,2014,0.043466666666666674
May,2014,0.04020666666666667
June,2014,0.021781666666666668
July,2014,0.030976666666666666
August,2014,0.029658888888888887
September,2014,0.03895833333333334
October,2014,0.07594666666666666
November,2014,0.052465000000000005
December,2014,0.059873333333333334
January,2015,0.06183333333333333
February,2015,0.050166666666666665
March,2015,0.07333333333333333
April,2015,0.057999999999999996
May,2015,0.059166666666666666
June,2015,0.03
July,2015,0.0255
August,2015,0.02688888888888889
September,2015,0.028416666666666663
October,2015,0.04533333333333334
November,2015,0.05711111111111111
December,2015,0.036833333333333336
January,2016,0.04716666666666667
February,2016,0.041666666666666664
March,2016,0.042833333333333334
April,2016,0.037
May,2016,0.04783333333333334
June,2016,0.06283333333333334
July,2016,0.006555555555555556
August,2016,0.06033333333333333
September,2016,0.04788888888888889
October,2016,0.05416666666666667
November,2016,0.0425
December,2016,0.0415
