MonthName,Year,value
January,2009,0.202
March,2009,0.011
April,2009,0.019
May,2009,0.02
June,2009,0.081
July,2009,0.021
August,2009,0.012
September,2009,0.04
October,2009,0.016
November,2009,0.038
December,2009,0.031
January,2010,0.049
February,2010,0.018
March,2010,0.02
April,2010,0.03
May,2010,0.02
June,2010,0.048
July,2010,0.022
August,2010,0.026
September,2010,0.052
October,2010,0.118
November,2010,0.008
December,2010,0.03
January,2011,0.012
February,2011,0.033
March,2011,0.099
April,2011,0.098
May,2011,0.013
June,2011,0.071
July,2011,0.0
August,2011,0.058
September,2011,0.0
October,2011,0.0256
November,2011,0.056
December,2011,0.056
January,2012,0.021
February,2012,0.048
March,2012,0.096
April,2012,0.044
May,2012,0.041
June,2012,0.0
July,2012,0.053
August,2012,0.045
September,2012,0.021
October,2012,0.013
November,2012,0.014
December,2012,0.034
January,2013,0.0235
February,2013,0.0305
March,2013,0.0395
April,2013,0.0165
May,2013,0.104
June,2013,0.0455
July,2013,0.06366666666666666
August,2013,0.045
September,2013,0.005
October,2013,0.027
November,2013,0.0385
December,2013,0.015
January,2014,0.015
February,2014,0.0075
March,2014,0.2525
April,2014,0.0285
May,2014,0.024
June,2014,0.0105
July,2014,0.0105
August,2014,0.011333333333333334
September,2014,0.018
October,2014,0.0045
November,2014,0.0235
December,2014,0.0295
January,2015,0.02
February,2015,0.0215
March,2015,0.0495
April,2015,0.0305
May,2015,0.0136
June,2015,0.021
July,2015,0.04033333333333333
August,2015,0.0
September,2015,0.048
October,2015,0.0165
November,2015,0.0205
December,2015,0.0375
January,2016,0.033
February,2016,0.0195
March,2016,0.028
April,2016,0.023
May,2016,0.03
June,2016,0.0315
July,2016,0.028666666666666663
August,2016,0.06666666666666667
September,2016,0.0155
October,2016,0.019
November,2016,0.05
December,2016,0.0325
