MonthName,Year,value
January,1998,0.07
February,1998,0.07
March,1998,0.06
April,1998,0.07
May,1998,0.056666666666666664
June,1998,0.07666666666666666
July,1998,0.04666666666666667
August,1998,0.03333333333333333
September,1998,0.03666666666666667
October,1998,0.08666666666666667
November,1998,0.04666666666666667
December,1998,0.04
January,1999,0.05666666666666667
February,1999,0.016666666666666666
March,1999,0.13
April,1999,0.05000000000000001
May,1999,0.04666666666666667
June,1999,0.05333333333333334
July,1999,0.05333333333333334
August,1999,0.043333333333333335
September,1999,0.05000000000000001
October,1999,0.04666666666666667
November,1999,0.043333333333333335
December,1999,0.02666666666666667
January,2000,0.013333333333333334
February,2000,0.04
March,2000,0.013333333333333334
April,2000,0.06333333333333334
May,2000,0.06
June,2000,0.08
July,2000,0.01
August,2000,0.08666666666666667
September,2000,0.02666666666666667
October,2000,0.06
November,2000,0.09000000000000001
December,2000,0.10000000000000002
January,2001,0.056666666666666664
February,2001,0.049999999999999996
March,2001,0.02
April,2001,0.03666666666666667
May,2001,0.06
June,2001,0.07333333333333333
July,2001,0.02666666666666667
August,2001,0.05000000000000001
September,2001,0.03666666666666667
November,2001,0.013333333333333334
December,2001,0.06666666666666667
January,2002,0.016666666666666666
February,2002,0.037333333333333336
March,2002,0.02666666666666667
April,2002,0.007666666666666666
May,2002,0.011500000000000002
June,2002,0.016666666666666666
July,2002,0.005
August,2002,0.02666666666666667
September,2002,0.007333333333333333
October,2002,0.04466666666666667
December,2002,0.02666666666666667
January,2003,0.034
February,2003,0.0016666666666666668
March,2003,0.02866666666666667
April,2003,0.01
May,2003,0.005
June,2003,0.027333333333333334
July,2003,0.051
August,2003,0.07766666666666668
September,2003,0.03766666666666667
October,2003,0.081
November,2003,0.04466666666666667
December,2003,0.020666666666666667
February,2004,0.02666666666666667
March,2004,0.032
April,2004,0.020666666666666667
May,2004,0.006999999999999999
June,2004,0.029666666666666664
July,2004,0.02
August,2004,0.01933333333333333
September,2004,0.026
October,2004,0.028666666666666663
December,2004,0.042666666666666665
January,2005,0.047999999999999994
February,2005,0.05766666666666667
March,2005,0.05633333333333334
April,2005,0.029
May,2005,0.0
June,2005,0.06899999999999999
July,2005,0.041666666666666664
August,2005,0.06966666666666667
September,2005,0.042
October,2005,0.005666666666666667
November,2005,0.04066666666666666
December,2005,0.005999999999999999
January,2006,0.02
February,2006,0.07633333333333334
March,2006,0.12933333333333333
April,2006,0.09166666666666667
May,2006,0.13733333333333334
June,2006,0.3091333333333333
July,2006,0.033
August,2006,0.02333333333333333
September,2006,0.005
October,2006,0.016333333333333335
November,2006,0.06266666666666666
December,2006,0.028999999999999998
January,2007,0.042
February,2007,0.018
March,2007,0.034999999999999996
April,2007,0.020666666666666667
May,2007,0.03403333333333333
June,2007,0.030666666666666665
July,2007,0.048999999999999995
August,2007,0.05499999999999999
September,2007,0.04
October,2007,0.09203333333333334
November,2007,0.133
December,2007,0.09133333333333334
January,2008,0.05266666666666667
March,2008,0.0512
April,2008,0.06933333333333334
May,2008,0.005
June,2008,0.04566666666666667
July,2008,0.008
August,2008,0.043666666666666666
September,2008,0.026
October,2008,0.005
November,2008,0.03933333333333333
December,2008,0.039933333333333335
January,2009,0.10896666666666666
February,2009,0.09000000000000001
March,2009,0.07966666666666666
April,2009,0.075
May,2009,0.037333333333333336
June,2009,0.005
July,2009,0.018
August,2009,0.034
September,2009,0.0526
October,2009,0.075
November,2009,0.05366666666666667
December,2009,0.09666666666666668
January,2010,0.03366666666666667
February,2010,0.05333333333333334
March,2010,0.03233333333333333
April,2010,0.024000000000000004
May,2010,0.030333333333333334
June,2010,0.005333333333333333
July,2010,0.006233333333333334
August,2010,0.03466666666666667
September,2010,0.005
October,2010,0.007
November,2010,0.006666666666666667
December,2010,0.015666666666666666
January,2011,0.064
February,2011,0.017333333333333336
March,2011,0.02266666666666667
April,2011,0.034999999999999996
May,2011,0.0
June,2011,0.021500000000000002
July,2011,0.023500000000000004
August,2011,0.050499999999999996
September,2011,0.012333333333333333
October,2011,0.04083333333333333
November,2011,0.042
December,2011,0.0
January,2012,0.0
February,2012,0.0514
March,2012,0.006966666666666666
April,2012,0.023266666666666668
May,2012,0.0599
June,2012,0.0651
July,2012,0.011033333333333332
September,2012,0.05176666666666666
October,2012,0.05833333333333333
November,2012,0.04173333333333334
December,2012,0.044533333333333334
January,2013,0.09333333333333334
February,2013,0.051
March,2013,0.048666666666666664
April,2013,0.043333333333333335
May,2013,0.02033333333333333
June,2013,0.019666666666666666
July,2013,0.043333333333333335
August,2013,0.0
September,2013,0.027666666666666662
October,2013,0.048
November,2013,0.09533333333333334
December,2013,0.06066666666666667
January,2014,0.057460000000000004
March,2014,0.024366666666666665
April,2014,0.04118333333333333
May,2014,0.014900000000000002
June,2014,0.055400000000000005
July,2014,0.025966666666666666
August,2014,0.0039000000000000003
September,2014,0.025916666666666668
October,2014,0.028466666666666668
November,2014,0.030966666666666667
December,2014,0.05672666666666667
January,2015,0.04466666666666667
February,2015,0.042
March,2015,0.03166666666666667
April,2015,0.041
May,2015,0.026
June,2015,0.03866666666666666
July,2015,0.056333333333333326
August,2015,0.017333333333333336
September,2015,0.035333333333333335
October,2015,0.06166666666666667
November,2015,0.06333333333333334
December,2015,0.053
January,2016,0.06133333333333333
February,2016,0.059666666666666666
March,2016,0.055
April,2016,0.061
May,2016,0.025333333333333333
June,2016,0.051
July,2016,0.043333333333333335
August,2016,0.061
September,2016,0.052333333333333336
October,2016,0.055
November,2016,0.056999999999999995
December,2016,0.037
