MonthName,Year,value
April,1998,0.07
June,1998,0.05
August,1998,0.04
October,1998,0.08
November,1998,0.08
December,1998,0.08
January,1999,0.05333333333333334
February,1999,0.009666666666666665
March,1999,0.08
April,1999,0.05333333333333334
May,1999,0.03666666666666667
June,1999,0.056666666666666664
July,1999,0.0625
August,1999,0.04666666666666667
September,1999,0.043333333333333335
October,1999,0.043333333333333335
November,1999,0.04
December,1999,0.03333333333333333
January,2000,0.03666666666666667
February,2000,0.05000000000000001
March,2000,0.013333333333333334
April,2000,0.05333333333333334
May,2000,0.05000000000000001
June,2000,0.08
July,2000,0.01
August,2000,0.07666666666666667
September,2000,0.04666666666666667
October,2000,0.08
November,2000,0.09000000000000001
December,2000,0.10000000000000002
January,2001,0.03333333333333333
February,2001,0.08
March,2001,0.02
April,2001,0.04
May,2001,0.06
June,2001,0.07333333333333335
July,2001,0.04666666666666667
August,2001,0.056666666666666664
September,2001,0.03333333333333333
November,2001,0.02
December,2001,0.10333333333333333
January,2002,0.007333333333333333
February,2002,0.06666666666666667
March,2002,0.02
April,2002,0.007666666666666666
May,2002,0.02666666666666667
June,2002,0.02666666666666667
July,2002,0.013666666666666667
August,2002,0.03333333333333333
September,2002,0.03
October,2002,0.049999999999999996
December,2002,0.02666666666666667
January,2003,0.034666666666666665
February,2003,0.015
March,2003,0.03233333333333333
April,2003,0.012000000000000002
May,2003,0.005
June,2003,0.020666666666666667
July,2003,0.05466666666666667
August,2003,0.026
September,2003,0.021
October,2003,0.048666666666666664
November,2003,0.06233333333333333
December,2003,0.024333333333333332
January,2004,0.007666666666666666
February,2004,0.011999999999999999
March,2004,0.014
April,2004,0.016999999999999998
May,2004,0.011666666666666665
June,2004,0.024333333333333332
July,2004,0.11133333333333333
August,2004,0.024999999999999998
September,2004,0.011000000000000001
October,2004,0.037
December,2004,0.043000000000000003
January,2005,0.04866666666666667
February,2005,0.07466666666666667
March,2005,0.06133333333333333
April,2005,0.106
May,2005,0.005333333333333333
June,2005,0.09433333333333334
July,2005,0.043333333333333335
August,2005,0.12933333333333333
September,2005,0.03466666666666667
October,2005,0.011999999999999999
November,2005,0.06699999999999999
December,2005,0.011999999999999999
January,2006,0.01833333333333333
February,2006,0.06833333333333333
March,2006,0.12033333333333333
April,2006,0.11466666666666665
May,2006,0.12866666666666668
June,2006,0.01966666666666667
July,2006,0.010333333333333333
August,2006,0.031000000000000003
September,2006,0.005866666666666666
October,2006,0.04566666666666666
November,2006,0.08266666666666667
December,2006,0.036
January,2007,0.05466666666666667
February,2007,0.005
March,2007,0.005
April,2007,0.026333333333333334
May,2007,0.016999999999999998
June,2007,0.043666666666666666
July,2007,0.06933333333333333
August,2007,0.058
September,2007,0.02236666666666667
October,2007,0.07566666666666667
November,2007,0.017033333333333334
December,2007,0.055333333333333325
January,2008,0.052
February,2008,0.057133333333333335
March,2008,0.032
April,2008,0.056
May,2008,0.005
June,2008,0.013
July,2008,0.009333333333333332
August,2008,0.043000000000000003
September,2008,0.02666666666666667
October,2008,0.014333333333333335
November,2008,0.07333333333333332
December,2008,0.07983333333333333
January,2009,0.09696666666666666
February,2009,0.10880000000000001
March,2009,0.08766666666666667
April,2009,0.10666666666666667
May,2009,0.041666666666666664
June,2009,0.005
July,2009,0.022000000000000002
August,2009,0.032
September,2009,0.05616666666666666
October,2009,0.045000000000000005
November,2009,0.05366666666666667
December,2009,0.08433333333333333
January,2010,0.055
February,2010,0.17633333333333334
March,2010,0.03466666666666667
April,2010,0.021666666666666667
May,2010,0.035333333333333335
June,2010,0.005
July,2010,0.005
August,2010,0.03666666666666666
September,2010,0.011999999999999999
October,2010,0.009666666666666665
November,2010,0.011000000000000001
December,2010,0.017666666666666667
January,2011,0.036000000000000004
February,2011,0.055
March,2011,0.0036666666666666666
April,2011,0.024666666666666667
May,2011,0.0
June,2011,0.036
July,2011,0.0095
August,2011,0.036333333333333336
September,2011,0.019666666666666666
October,2011,0.0305
November,2011,0.04466666666666667
December,2011,0.0
January,2012,0.025966666666666666
February,2012,0.051833333333333335
March,2012,0.0
April,2012,0.0054333333333333326
May,2012,0.0414
June,2012,0.0514
July,2012,0.025533333333333335
September,2012,0.05871666666666667
October,2012,0.05943333333333334
November,2012,0.025966666666666666
December,2012,0.017366666666666666
January,2013,0.082
February,2013,0.044000000000000004
March,2013,0.04666666666666667
April,2013,0.046000000000000006
May,2013,0.0
June,2013,0.013
July,2013,0.04933333333333333
August,2013,0.013666666666666667
September,2013,0.05366666666666667
October,2013,0.035333333333333335
November,2013,0.022333333333333334
December,2013,0.009666666666666665
January,2014,0.05412666666666666
March,2014,0.02513333333333333
April,2014,0.04521666666666666
May,2014,0.0
June,2014,0.015
July,2014,0.0199
August,2014,0.0326
September,2014,0.030733333333333335
October,2014,0.0512
November,2014,0.03782
December,2014,0.0241
January,2015,0.03933333333333333
February,2015,0.027666666666666662
March,2015,0.085
April,2015,0.04033333333333333
May,2015,0.018
June,2015,0.05566666666666666
July,2015,0.06233333333333333
August,2015,0.035666666666666666
September,2015,0.043333333333333335
October,2015,0.054
November,2015,0.06233333333333333
December,2015,0.052
January,2016,0.04833333333333333
February,2016,0.05533333333333334
March,2016,0.041666666666666664
April,2016,0.062
May,2016,0.031
June,2016,0.0
July,2016,0.024333333333333332
August,2016,0.06933333333333334
September,2016,0.05333333333333334
October,2016,0.05333333333333334
November,2016,0.03766666666666666
December,2016,0.05266666666666667
