MonthName,Year,value
April,1998,0.05
June,1998,0.07
August,1998,0.02
October,1998,0.19
November,1998,0.07
December,1998,0.11
January,1999,0.1
February,1999,0.16
March,1999,0.009
April,1999,0.05
May,1999,0.12
June,1999,0.05
July,1999,0.09
August,1999,0.03
September,1999,0.05
October,1999,0.05
November,1999,0.07
December,1999,0.06
January,2000,0.04
February,2000,0.01
March,2000,0.13
April,2000,0.07
May,2000,0.05
June,2000,0.05
July,2000,0.01
August,2000,0.06
September,2000,0.01
October,2000,0.06
November,2000,0.02
December,2000,0.02
January,2001,0.07
February,2001,0.13
March,2001,0.05
April,2001,0.03
May,2001,0.03
June,2001,0.06
July,2001,0.04
August,2001,0.05
September,2001,0.03
November,2001,0.01
February,2002,0.02
March,2002,0.02
April,2002,0.005
May,2002,0.005
June,2002,0.005
July,2002,0.02
August,2002,0.009
September,2002,0.01
October,2002,0.043500000000000004
December,2002,0.01
January,2003,0.051
February,2003,0.039
March,2003,0.149
April,2003,0.005
May,2003,0.022
June,2003,0.027
July,2003,0.06
August,2003,0.009
September,2003,0.005
October,2003,0.036
November,2003,0.026
December,2003,0.014
January,2004,0.033
March,2004,0.011
April,2004,0.009
May,2004,0.006
June,2004,0.017
July,2004,0.0
August,2004,0.047
September,2004,0.047
October,2004,0.012
December,2004,0.023
January,2005,0.056
February,2005,0.089
March,2005,0.038
April,2005,0.025
May,2005,0.0
June,2005,0.026
July,2005,0.017
August,2005,0.031
September,2005,0.012
October,2005,0.026
November,2005,0.008
December,2005,0.015
January,2006,0.031
February,2006,0.123
March,2006,0.01
April,2006,0.05
May,2006,0.005
June,2006,0.005
July,2006,0.062
August,2006,0.152
September,2006,0.008
October,2006,0.231
November,2006,0.012
December,2006,0.011
January,2007,0.025
February,2007,0.029
March,2007,0.106
April,2007,0.005
May,2007,0.025
June,2007,0.067
July,2007,0.005
August,2007,0.088
September,2007,0.033
October,2007,0.005
November,2007,0.055
December,2007,0.035
February,2008,0.0061
March,2008,0.027
May,2008,0.016
June,2008,0.073
July,2008,0.018
August,2008,0.047
September,2008,0.025
October,2008,0.032
November,2008,0.033
December,2008,0.07155
January,2009,0.084
February,2009,0.087
March,2009,0.055
April,2009,0.062
May,2009,0.1208
June,2009,0.005
July,2009,0.005
August,2009,0.077
September,2009,0.041
October,2009,0.053
November,2009,0.018
December,2009,0.027
January,2010,0.103
February,2010,0.031
March,2010,0.042
April,2010,0.043
May,2010,0.01
June,2010,0.005
July,2010,0.044
August,2010,0.005
September,2010,0.021
October,2010,0.021
November,2010,0.033
December,2010,0.036
January,2011,0.0
February,2011,0.013
March,2011,0.0
April,2011,0.031
May,2011,0.0
June,2011,0.0
August,2011,0.019
September,2011,0.0
November,2011,0.019
December,2011,0.051
February,2012,0.010866666666666669
March,2012,0.0339
April,2012,0.0
May,2012,0.02885
July,2012,0.016475
August,2012,0.0
October,2012,0.021675
November,2012,0.04476666666666667
December,2012,0.0305
January,2013,0.067
February,2013,0.03833333333333334
March,2013,0.0
April,2013,0.011
May,2013,0.049
June,2013,0.07933333333333334
July,2013,0.032
August,2013,0.013000000000000001
September,2013,0.008
October,2013,0.046
November,2013,0.0605
December,2013,0.022333333333333334
January,2014,0.02119
March,2014,0.06793333333333333
April,2014,0.015
May,2014,0.08437333333333334
June,2014,0.098955
July,2014,0.032
August,2014,0.10289999999999999
September,2014,0.0251
October,2014,0.04405
November,2014,0.05031666666666667
December,2014,0.0447
January,2015,0.049
February,2015,0.057499999999999996
March,2015,0.046
April,2015,0.037
May,2015,0.057
June,2015,0.172
July,2015,0.028
August,2015,0.012966666666666668
September,2015,0.08025
October,2015,0.022
November,2015,0.012333333333333333
December,2015,0.011
January,2016,0.031
February,2016,0.03333333333333333
March,2016,0.063
April,2016,0.0455
May,2016,0.0505
June,2016,0.0135
July,2016,0.065
August,2016,0.01095
September,2016,0.006999999999999999
October,2016,0.026500000000000003
November,2016,0.0199
December,2016,0.013
