MonthName,Year,value
January,2009,0.1033
February,2009,0.007
March,2009,0.0573
April,2009,0.0137
May,2009,0.0
June,2009,0.0
July,2009,0.0297
August,2009,0.01
September,2009,0.0487
October,2009,0.019
November,2009,0.0847
December,2009,0.0233
January,2010,0.0785
February,2010,0.14500000000000002
March,2010,0.06766666666666667
April,2010,0.02
May,2010,0.02
June,2010,0.02
July,2010,0.05333333333333334
August,2010,0.058499999999999996
September,2010,0.02
October,2010,0.068
November,2010,0.10250000000000001
December,2010,0.096
January,2011,0.077
February,2011,0.0805
March,2011,0.08866666666666667
April,2011,0.071
May,2011,0.10200000000000001
June,2011,0.119
July,2011,0.08399999999999999
August,2011,0.10350000000000001
September,2011,0.0695
October,2011,0.1395
November,2011,0.07250000000000001
December,2011,0.095
January,2012,0.04
February,2012,0.022
March,2012,0.041666666666666664
April,2012,0.057999999999999996
May,2012,0.123
July,2012,0.027
August,2012,0.067
September,2012,0.122
October,2012,0.2305
November,2012,0.089
December,2012,0.022
January,2013,0.073
February,2013,0.047
March,2013,0.117
April,2013,0.082
May,2013,0.11
June,2013,0.112
July,2013,0.124
August,2013,0.076
September,2013,0.071
October,2013,0.259
November,2013,0.181
December,2013,0.165
January,2014,0.107
March,2014,0.077
May,2014,0.086
June,2014,0.074
July,2014,0.0
September,2014,0.0
October,2014,0.115
November,2014,0.219
December,2014,0.23349999999999999
January,2015,0.03
February,2015,0.111
March,2015,0.021
April,2015,0.082
May,2015,0.069
June,2015,0.109
July,2015,0.087
August,2015,0.0
September,2015,0.07
October,2015,0.096
November,2015,0.077
December,2015,0.112
February,2016,0.1275
March,2016,0.139
April,2016,0.083
May,2016,0.04
June,2016,0.101
July,2016,0.105
August,2016,0.061
September,2016,0.094
October,2016,0.194
November,2016,0.128
December,2016,0.102
