MonthName,Year,value
January,2014,87.0
February,2014,106.0
March,2014,105.0
April,2014,82.0
May,2014,77.0
June,2014,93.0
July,2014,99.0
August,2014,105.0
September,2014,89.0
October,2014,104.0
November,2014,94.0
December,2014,83.0
January,2015,100.0
February,2015,99.0
March,2015,94.0
April,2015,99.0
May,2015,85.0
June,2015,88.0
July,2015,85.0
August,2015,88.0
September,2015,76.0
October,2015,82.0
November,2015,90.0
December,2015,92.0
January,2016,99.0
February,2016,90.0
March,2016,100.0
April,2016,94.0
May,2016,92.0
June,2016,125.0
July,2016,96.0
August,2016,93.0
September,2016,90.0
October,2016,87.0
November,2016,97.0
December,2016,94.0
