MonthName,Year,value
January,2005,78.45333366666667
February,2005,88.96666733333332
March,2005,89.53333266666668
April,2005,90.23833483333334
May,2005,81.021665
June,2005,76.61500183333334
July,2005,76.4799995
August,2005,61.41499966666667
September,2005,77.72666683333334
October,2005,63.520000333333336
November,2005,84.3833325
December,2005,84.45000083333333
January,2006,85.96666666666665
February,2006,86.73333333333333
March,2006,83.33333333333333
April,2006,95.73333333333333
May,2006,89.39999999999999
June,2006,89.46666666666665
July,2006,79.31666666666666
August,2006,60.65
September,2006,80.64999999999999
October,2006,77.39
November,2006,84.71666666666667
December,2006,84.25
January,2007,91.68666666666667
February,2007,91.2
March,2007,103.08333333333333
April,2007,79.675
May,2007,88.18333333333334
June,2007,75.43333333333334
July,2007,66.31666666666666
August,2007,83.03333333333333
September,2007,75.46666666666667
November,2007,75.325
December,2007,79.60000000000001
January,2008,89.175
February,2008,93.44999999999999
March,2008,88.39999999999999
May,2008,85.53333333333335
June,2008,77.36666666666667
July,2008,85.72500000000001
August,2008,83.605
September,2008,85.00857142857144
October,2008,79.115
November,2008,87.86833333333334
December,2008,78.13333333333334
January,2009,90.875
February,2009,91.61666666666667
March,2009,94.31666666666666
April,2009,100.96666666666665
May,2009,81.42333333333333
June,2009,74.235
July,2009,78.66000000000001
August,2009,81.75
September,2009,68.05333333333333
October,2009,87.64999999999999
November,2009,81.79666666666667
December,2009,85.02666666666666
January,2010,97.48
February,2010,95.35333333333334
March,2010,92.39666666666666
April,2010,92.50666666666666
May,2010,97.35666666666667
June,2010,96.55666666666667
July,2010,78.94666666666666
August,2010,71.50333333333333
September,2010,74.14
November,2010,79.70333333333333
December,2010,97.41
January,2011,98.04
February,2011,89.62
March,2011,85.44333333333333
April,2011,98.15
May,2011,98.09
June,2011,69.96666666666665
July,2011,90.74333333333334
August,2011,93.70666666666666
September,2011,93.67999999999999
October,2011,86.42
November,2011,87.24000000000001
December,2011,85.01666666666667
January,2012,96.8
February,2012,95.57666666666667
March,2012,109.99333333333334
April,2012,96.21333333333332
May,2012,89.3075
June,2012,90.37
July,2012,83.34333333333335
August,2012,83.13
September,2012,82.60000000000001
October,2012,80.95333333333333
November,2012,88.73333333333333
December,2012,93.72
January,2013,86.89999999999999
February,2013,94.34666666666668
March,2013,97.68
April,2013,96.69666666666667
May,2013,95.61
June,2013,93.81333333333333
July,2013,93.33999999999999
August,2013,96.49333333333334
September,2013,86.25666666666666
October,2013,85.96333333333332
November,2013,91.83
December,2013,92.66333333333334
January,2014,97.75
February,2014,92.97333333333334
March,2014,93.96000000000001
April,2014,100.19833333333334
May,2014,87.445
June,2014,90.83333333333333
July,2014,92.72666666666667
August,2014,84.175
September,2014,83.65
October,2014,92.23857142857142
November,2014,87.15428571428572
December,2014,95.8075
January,2015,83.42
February,2015,91.83
March,2015,98.33
April,2015,100.0
May,2015,85.89666666666666
June,2015,75.36
July,2015,98.67
August,2015,91.71333333333332
September,2015,85.64333333333333
October,2015,92.17
November,2015,97.23
December,2015,93.12
January,2016,97.89999999999999
February,2016,90.79666666666667
March,2016,90.5
April,2016,88.45333333333333
May,2016,88.09666666666668
June,2016,74.12
July,2016,93.33999999999999
August,2016,95.86333333333333
September,2016,78.13666666666667
October,2016,87.16666666666667
November,2016,75.09
December,2016,98.14999999999999
