MonthName,Year,value
April,2005,79.06666566666667
May,2005,103.88333516666667
June,2005,80.28333416666668
July,2005,77.0
August,2005,67.100001
September,2005,74.90333316666666
October,2005,64.551667
November,2005,76.43333316666667
December,2005,69.1999995
January,2006,73.01666666666667
February,2006,83.5
March,2006,84.58333333333333
April,2006,63.9
May,2006,94.28166666666668
June,2006,74.58666666666666
July,2006,83.51166666666667
August,2006,104.51666666666667
September,2006,79.97166666666666
October,2006,72.02499999999999
November,2006,77.40333333333334
December,2006,89.63333333333333
January,2007,85.05499999999999
February,2007,80.94833333333334
March,2007,85.304
April,2007,85.83333333333333
May,2007,80.58333333333333
June,2007,99.51666666666667
July,2007,79.19166666666666
August,2007,90.16666666666667
September,2007,58.248333333333335
October,2007,61.57666666666666
November,2007,60.63833333333333
December,2007,68.53333333333333
January,2008,78.36666666666667
February,2008,69.47
March,2008,79.04333333333334
April,2008,59.096666666666664
May,2008,84.47500000000001
June,2008,79.47777777777777
July,2008,77.83833333333332
August,2008,86.3
September,2008,88.255
October,2008,87.35166666666667
November,2008,89.54
December,2008,91.76333333333332
January,2009,77.115
February,2009,85.38666666666667
March,2009,89.32000000000001
April,2009,103.73
May,2009,89.08166666666666
June,2009,82.95
July,2009,82.63333333333334
August,2009,95.46666666666665
September,2009,91.91000000000001
October,2009,87.675
November,2009,82.62222222222222
December,2009,84.91555555555556
January,2010,78.07166666666666
February,2010,94.79833333333333
March,2010,99.79
April,2010,95.15333333333335
May,2010,88.005
June,2010,98.63166666666666
July,2010,92.34666666666665
August,2010,92.87333333333333
September,2010,113.73333333333333
October,2010,96.84833333333334
November,2010,89.27
December,2010,87.96333333333332
January,2011,93.25333333333333
February,2011,96.62833333333333
March,2011,96.21666666666665
April,2011,96.755
May,2011,97.33999999999999
June,2011,88.06666666666666
July,2011,78.82000000000001
September,2011,83.87666666666667
October,2011,91.94833333333334
November,2011,89.70333333333333
December,2011,83.25
January,2012,74.12833333333333
February,2012,77.48
March,2012,88.20333333333333
April,2012,94.92666666666666
May,2012,91.93
June,2012,90.64999999999999
