MonthName,Year,value
January,2009,106.97
February,2009,103.49
March,2009,107.89
April,2009,102.88
May,2009,141.85
June,2009,121.25
July,2009,100.13
August,2009,93.55
September,2009,99.48
November,2009,108.86
December,2009,116.09
January,2011,97.74
February,2011,101.56
March,2011,101.57
April,2011,90.66
May,2011,109.15
June,2011,92.09
July,2011,122.6
August,2011,94.27
September,2011,105.26
October,2011,81.54
November,2011,58.09
December,2011,96.59
July,2014,87.09
August,2014,74.565
September,2014,67.25
October,2014,87.87
January,2015,97.9
February,2015,97.24
March,2015,104.77
April,2015,104.76
May,2015,122.23
June,2015,103.1
July,2015,104.3
August,2015,99.28
September,2015,101.39
October,2015,103.97
November,2015,88.55
December,2015,108.17
January,2016,101.69
February,2016,108.2
March,2016,97.78
April,2016,90.97
May,2016,86.04
June,2016,103.89
July,2016,97.23
August,2016,107.83
October,2016,93.43
November,2016,105.48
December,2016,101.05
