MonthName,Year,value
April,2005,70.86666866666667
May,2005,89.06666566666667
June,2005,72.09999833333333
July,2005,71.93333466666667
August,2005,67.93333466666667
September,2005,78.40000133333334
October,2005,84.06666566666667
November,2005,86.43333433333333
December,2005,84.5
January,2006,86.06666666666666
February,2006,87.96666666666665
March,2006,81.03333333333333
April,2006,88.26666666666667
May,2006,77.93333333333334
June,2006,91.7
July,2006,69.06666666666666
August,2006,88.89999999999999
September,2006,97.0
October,2006,84.33333333333333
November,2006,13.5
December,2006,84.5
January,2007,83.63333333333333
February,2007,85.46666666666665
March,2007,87.7
April,2007,74.0
May,2007,80.23333333333333
June,2007,83.76666666666667
July,2007,89.16666666666667
August,2007,82.53333333333333
September,2007,78.60000000000001
October,2007,80.77333333333333
November,2007,85.63333333333333
December,2007,85.56666666666666
January,2008,87.16666666666667
March,2008,84.30666666666667
April,2008,72.68666666666667
May,2008,78.94666666666666
June,2008,84.83333333333333
July,2008,90.04333333333334
August,2008,95.83333333333333
September,2008,91.72666666666667
October,2008,95.02666666666666
November,2008,92.12333333333333
December,2008,79.03333333333335
January,2009,86.83666666666666
February,2009,89.23666666666666
March,2009,86.50999999999999
April,2009,82.35666666666667
May,2009,114.31
June,2009,85.13666666666667
July,2009,98.85333333333334
August,2009,88.38
September,2009,83.296
October,2009,79.72333333333334
November,2009,81.97
December,2009,85.22333333333334
January,2010,72.69
February,2010,95.31333333333333
March,2010,82.51666666666667
April,2010,81.33
May,2010,86.39666666666666
June,2010,92.69
July,2010,100.39333333333333
August,2010,81.65666666666667
September,2010,102.71999999999998
October,2010,80.47000000000001
November,2010,88.10000000000001
December,2010,86.02333333333333
January,2011,91.24000000000001
February,2011,82.48666666666666
March,2011,83.38666666666667
April,2011,85.26666666666667
May,2011,92.82666666666667
June,2011,94.0
July,2011,90.08999999999999
September,2011,93.42333333333333
October,2011,93.80666666666666
November,2011,92.87666666666667
December,2011,98.89999999999999
January,2012,90.12333333333333
February,2012,77.19
March,2012,93.89333333333333
April,2012,85.74
May,2012,89.27
January,2015,92.74000000000001
February,2015,92.5
March,2015,90.22666666666667
April,2015,86.32
May,2015,84.28333333333333
June,2015,96.66333333333334
July,2015,87.71666666666665
August,2015,108.29
September,2015,90.52333333333333
October,2015,92.22666666666667
November,2015,96.26666666666667
December,2015,99.62666666666667
March,2016,92.08
April,2016,97.56333333333333
May,2016,88.75333333333333
June,2016,79.79666666666667
July,2016,92.62
August,2016,68.5
September,2016,99.28333333333335
October,2016,87.36666666666667
November,2016,87.52
December,2016,92.71333333333332
