MonthName,Year,value
June,2005,77.5
February,2006,90.3
March,2006,92.9
April,2006,94.7
May,2006,92.3
June,2006,84.8
August,2006,98.0
September,2006,110.0
October,2006,90.0
November,2006,139.0
December,2006,147.0
January,2007,81.3
February,2007,82.4
March,2007,88.8
April,2007,94.7
May,2007,92.7
June,2007,98.3
July,2007,95.9
August,2007,91.9
September,2007,80.6
October,2007,90.9
November,2007,87.2
December,2007,90.1
January,2008,87.8
February,2008,90.1
March,2008,87.0
May,2008,88.6
June,2008,98.37
July,2008,92.95
August,2008,82.86
September,2008,82.86
October,2008,95.9
November,2008,89.9
December,2008,89.9
January,2009,84.9
February,2009,85.2
March,2009,83.1
April,2009,89.9
May,2009,98.2
June,2009,88.9
July,2009,81.4
August,2009,71.9
September,2009,79.2
October,2009,66.3
November,2009,78.5
December,2009,63.6
January,2010,70.78
February,2010,69.2
March,2010,59.3
April,2010,54.1
May,2010,65.0
June,2010,70.6
July,2010,67.2
August,2010,63.8
September,2010,97.0
October,2010,50.8
November,2010,79.8
December,2010,59.1
January,2011,75.6
February,2011,75.8
March,2011,62.0
April,2011,66.3
May,2011,67.4
June,2011,78.6
July,2011,69.2
August,2011,66.0
September,2011,80.9
October,2011,73.1
November,2011,69.3
December,2011,73.0
January,2012,73.0
February,2012,78.3
March,2012,74.3
April,2012,64.0
May,2012,78.2
June,2012,71.0
July,2012,74.6
August,2012,64.0
October,2012,65.0
November,2012,59.4
December,2012,85.1
January,2013,82.68
February,2013,91.6
March,2013,47.35
April,2013,79.7
May,2013,71.91
June,2013,85.0
July,2013,66.0
August,2013,97.9
September,2013,75.4
January,2014,68.0
February,2014,87.84
March,2014,81.36
April,2014,89.6
May,2014,77.03
June,2014,86.7
July,2014,79.0
August,2014,65.7
September,2014,71.77
October,2014,75.3
November,2014,81.77
December,2014,76.29
January,2015,69.9
February,2015,87.13
March,2015,80.78
April,2015,88.8
May,2015,98.96
June,2015,79.9
July,2015,85.0
August,2015,98.0
September,2015,79.01
October,2015,82.58
November,2015,75.24
December,2015,90.0
January,2016,67.59
February,2016,86.89
March,2016,70.49
April,2016,79.5
May,2016,69.21
June,2016,70.92
July,2016,71.34
August,2016,67.81
September,2016,60.96
October,2016,64.85
November,2016,61.85
December,2016,55.78
