MonthName,Year,value
April,2005,75.43333466666667
May,2005,98.30000033333333
June,2005,90.93333166666666
July,2005,76.23333533333333
August,2005,72.566668
September,2005,79.533333
October,2005,84.76666533333334
November,2005,88.43333466666667
December,2005,86.600001
January,2006,85.83333333333333
February,2006,86.0
March,2006,87.93333333333334
April,2006,86.96666666666665
May,2006,75.2
June,2006,80.36666666666666
July,2006,74.93333333333334
August,2006,67.83333333333333
September,2006,69.0
October,2006,76.0
November,2006,81.66666666666667
December,2006,80.36666666666667
January,2007,81.7
February,2007,81.10000000000001
March,2007,86.10000000000001
April,2007,84.33333333333333
May,2007,74.56666666666666
June,2007,71.5
July,2007,91.56666666666666
August,2007,90.93333333333334
September,2007,78.66666666666667
October,2007,82.39999999999999
November,2007,85.0
December,2007,87.16666666666667
January,2008,81.89999999999999
February,2008,94.60666666666667
March,2008,87.48666666666666
April,2008,83.2
May,2008,80.01333333333334
June,2008,80.3
July,2008,74.06
August,2008,83.5
September,2008,85.60000000000001
October,2008,78.22666666666667
November,2008,77.28
December,2008,85.57666666666667
January,2009,83.34
February,2009,86.82666666666667
March,2009,84.76333333333334
April,2009,74.85333333333334
May,2009,95.39333333333333
June,2009,81.11
July,2009,95.31
August,2009,88.13666666666667
October,2009,92.17333333333333
November,2009,88.70333333333333
December,2009,84.18666666666667
January,2010,82.99333333333334
February,2010,80.25
March,2010,78.49333333333334
April,2010,88.75333333333333
May,2010,79.11333333333334
June,2010,90.87666666666667
July,2010,90.71
August,2010,84.28666666666668
September,2010,91.11000000000001
October,2010,83.49666666666667
November,2010,87.63666666666666
December,2010,87.53000000000002
January,2011,82.06333333333333
February,2011,94.14333333333333
March,2011,96.7
April,2011,83.77999999999999
May,2011,97.86333333333333
June,2011,89.05333333333334
July,2011,96.16333333333334
September,2011,90.73333333333333
October,2011,94.44333333333334
November,2011,91.99
December,2011,95.31333333333333
January,2012,88.09333333333332
February,2012,78.12333333333333
March,2012,81.29666666666667
April,2012,82.13
May,2012,86.5
January,2015,90.79
February,2015,85.60666666666667
March,2015,90.41000000000001
April,2015,84.44333333333334
May,2015,77.07333333333334
June,2015,84.29666666666667
July,2015,69.67333333333333
August,2015,79.04333333333334
September,2015,87.21666666666665
October,2015,91.23
November,2015,92.19
December,2015,92.83
March,2016,90.92
April,2016,96.04666666666667
May,2016,82.10000000000001
June,2016,78.72000000000001
July,2016,87.04333333333334
August,2016,77.35000000000001
September,2016,69.39999999999999
October,2016,83.78
November,2016,92.71333333333332
December,2016,95.93
