MonthName,Year,value
April,2005,90.199997
May,2005,79.900002
June,2005,69.199997
July,2005,69.0
August,2005,69.900002
September,2005,83.0
October,2005,64.900002
November,2005,68.599998
December,2005,60.099998
January,2006,83.9
February,2006,85.9
March,2006,64.6
April,2006,72.7
May,2006,63.8
June,2006,51.3
July,2006,23.9
August,2006,44.1
September,2006,71.39
October,2006,75.0
November,2006,77.0
December,2006,85.0
January,2007,76.5
February,2007,86.9
March,2007,76.0
April,2007,80.0
May,2007,86.1
June,2007,85.9
July,2007,81.0
August,2007,79.6
September,2007,81.6
October,2007,61.9
November,2007,58.27
December,2007,82.09
February,2008,47.09
May,2008,84.715
June,2008,67.8
July,2008,71.3
August,2008,91.3
September,2008,75.8
October,2008,75.68
November,2008,86.34
December,2008,82.285
January,2009,76.24
February,2009,89.88
March,2009,81.92
April,2009,80.44
May,2009,94.83
June,2009,90.58
July,2009,96.03
August,2009,93.63
September,2009,92.49
October,2009,87.71
November,2009,81.05
December,2009,74.13
January,2010,89.46
February,2010,97.74
March,2010,102.04
April,2010,105.26
May,2010,108.6
June,2010,101.46
July,2010,88.23
August,2010,91.68
September,2010,89.61
October,2010,78.08
November,2010,93.09
December,2010,93.9
January,2011,60.78
February,2011,93.03
March,2011,101.09
April,2011,94.6
May,2011,105.81
June,2011,90.11
August,2011,78.87
September,2011,93.43
November,2011,93.67
December,2011,89.18
February,2012,75.68
March,2012,97.94
April,2012,88.39
May,2012,85.735
