MonthName,Year,value
January,2009,91.84
February,2009,97.48
March,2009,114.2
April,2009,75.63
May,2009,127.08
June,2009,180.0
July,2009,127.03
August,2009,114.14
September,2009,142.2
October,2009,138.1
November,2009,81.18
December,2009,93.79
January,2010,64.71
February,2010,70.73
March,2010,86.06
April,2010,39.75
May,2010,52.37
June,2010,92.51
July,2010,199.75
August,2010,158.84
September,2010,123.62
October,2010,83.4
November,2010,92.24
December,2010,88.93
January,2011,77.24
February,2011,90.5
March,2011,70.33
April,2011,73.55
May,2011,73.96
June,2011,60.92
July,2011,78.87
August,2011,86.22
September,2011,75.36
October,2011,89.03
November,2011,72.26
December,2011,77.59
January,2012,75.78
March,2012,68.735
April,2012,51.45
May,2012,68.38
July,2012,60.91
August,2012,65.32
September,2012,79.3
October,2012,80.84
November,2012,88.1
December,2012,71.98
January,2013,86.9
February,2013,77.46
March,2013,81.25
April,2013,80.38
May,2013,68.89
June,2013,102.5
July,2013,69.68
August,2013,72.07
September,2013,184.48
October,2013,77.12
November,2013,85.345
December,2013,118.79
January,2014,105.1
March,2014,72.19
June,2014,65.34
July,2014,35.01
September,2014,114.65
October,2014,79.46000000000001
November,2014,83.30000000000001
December,2014,91.53999999999999
January,2015,66.17
February,2015,95.76
March,2015,76.17
April,2015,81.2
May,2015,74.12
June,2015,60.64
July,2015,85.78
August,2015,108.64
September,2015,79.84
October,2015,85.43
November,2015,90.61
December,2015,96.99
February,2016,74.595
March,2016,77.26
April,2016,92.38
May,2016,81.08
June,2016,75.71
July,2016,53.17
August,2016,68.31
September,2016,52.52
October,2016,96.36
November,2016,86.64
December,2016,91.19
