MonthName,Year,value
January,2009,1.99
February,2009,1.05
March,2009,0.9
April,2009,1.53
May,2009,2.85
June,2009,1.26
July,2009,0.9
August,2009,2.64
September,2009,2.7
October,2009,2.14
November,2009,2.8
December,2009,1.26
January,2010,1.82
February,2010,1.145
March,2010,2.12
April,2010,2.0375
May,2010,1.535
June,2010,1.47
July,2010,2.085
August,2010,2.585
September,2010,2.795
October,2010,4.68
November,2010,2.43
December,2010,1.495
January,2011,1.5499999999999998
February,2011,1.56
March,2011,1.44
April,2011,1.94
May,2011,1.4449999999999998
June,2011,2.1799999999999997
July,2011,1.25
August,2011,1.705
September,2011,1.2650000000000001
October,2011,0.735
November,2011,1.7349999999999999
December,2011,1.225
January,2012,1.5499999999999998
February,2012,1.625
March,2012,2.02
April,2012,1.5
May,2012,1.244
June,2012,1.24
July,2012,1.4849999999999999
August,2012,1.0550000000000002
September,2012,1.0699999999999998
October,2012,1.2000000000000002
November,2012,1.22
December,2012,1.0
January,2013,1.88
February,2013,1.18
March,2013,1.57
April,2013,1.16
May,2013,1.07
June,2013,1.23
July,2013,1.41
August,2013,0.52
September,2013,0.98
October,2013,2.09
November,2013,2.03
December,2013,2.26
January,2014,2.0
February,2014,1.87
March,2014,1.41
April,2014,1.79
May,2014,1.09
June,2014,1.02
July,2014,1.72
August,2014,1.56
September,2014,2.84
October,2014,1.98
November,2014,2.33
December,2014,1.99
January,2015,2.16
February,2015,1.43
March,2015,1.13
April,2015,1.62
May,2015,2.07
June,2015,1.26
July,2015,0.99
August,2015,2.06
September,2015,1.48
October,2015,2.05
November,2015,1.01
December,2015,1.61
January,2016,1.24
February,2016,1.19
March,2016,1.18
April,2016,1.14
May,2016,1.67
June,2016,1.29
July,2016,0.95
August,2016,0.63
September,2016,1.28
October,2016,0.93
November,2016,1.27
December,2016,1.35
