MonthName,Year,value
April,2009,1.2683333333333333
May,2009,1.192
June,2009,1.2233333333333334
July,2009,1.1733333333333333
August,2009,1.09
September,2009,1.93
October,2009,1.5933333333333335
April,2013,1.6233333333333333
May,2013,1.33
June,2013,1.1533333333333333
July,2013,1.5133333333333334
August,2013,1.4766666666666666
September,2013,1.2666666666666666
October,2013,1.6600000000000001
November,2013,1.5266666666666666
December,2013,1.57
January,2014,2.22
February,2014,3.1166666666666667
March,2014,2.5025
April,2014,1.21
May,2014,1.12
June,2014,1.06
July,2014,1.23
August,2014,1.2366666666666666
September,2014,1.03
October,2014,1.4445
November,2014,1.483857142857143
December,2014,1.845
January,2015,1.755
February,2015,2.59725
March,2015,2.197
April,2015,1.47725
May,2015,1.4506666666666668
June,2015,1.7611666666666668
July,2015,1.0490000000000002
August,2015,1.2546666666666668
September,2015,1.65325
October,2015,1.4788571428571429
November,2015,1.7322
December,2015,1.7923333333333333
January,2016,2.0428333333333333
February,2016,2.2585
March,2016,1.5165000000000002
April,2016,1.19325
May,2016,1.5025
June,2016,1.305
July,2016,0.8863333333333333
August,2016,1.1562222222222223
September,2016,1.1573333333333333
October,2016,1.33875
November,2016,2.2750000000000004
December,2016,1.692
