MonthName,Year,value
May,2005,2.0
June,2005,2.43
July,2005,3.05
August,2005,2.83
November,2005,2.73
January,2006,2.92
February,2006,3.65
May,2006,1.94
July,2006,1.9
December,2006,3.9
January,2007,3.04
February,2007,2.63
March,2007,3.7
April,2007,2.35
May,2007,1.89
June,2007,2.0
July,2007,1.06
August,2007,4.82
September,2007,2.19
October,2007,2.42
November,2007,4.05
December,2007,4.92
February,2008,3.55
March,2008,2.7
May,2008,1.89
June,2008,1.94
July,2008,1.89
August,2008,2.6
September,2008,1.88
October,2008,1.92
November,2008,1.36
December,2008,1.15
January,2009,1.7
February,2009,3.2
March,2009,2.47
April,2009,2.07
May,2009,1.87
June,2009,3.22
July,2009,2.58
August,2009,1.94
September,2009,2.15
October,2009,2.16
November,2009,1.9
December,2009,2.16
January,2010,2.9
February,2010,2.44
March,2010,1.02
April,2010,2.1
May,2010,2.2
June,2010,2.91
July,2010,2.21
August,2010,2.33
September,2010,0.8
October,2010,1.71
November,2010,2.28
December,2010,2.36
January,2011,3.03
February,2011,3.13
March,2011,1.8
April,2011,1.85
May,2011,2.37
June,2011,2.79
August,2011,1.92
September,2011,2.86
November,2011,2.15
December,2011,1.61
February,2012,2.5275
March,2012,2.425
April,2012,1.66
May,2012,1.63
July,2012,2.13
August,2012,1.0
October,2012,1.6525
November,2012,2.44
December,2012,2.1550000000000002
January,2013,2.37
February,2013,2.3033333333333332
March,2013,2.88
April,2013,2.685
May,2013,2.3
June,2013,2.563333333333333
July,2013,1.0575
August,2013,1.025
September,2013,1.44
October,2013,1.414
November,2013,1.4875
December,2013,1.5466666666666666
January,2014,1.44
March,2014,2.1866666666666665
April,2014,1.915
May,2014,2.3466666666666667
June,2014,1.87
July,2014,1.02
August,2014,1.27
September,2014,1.3713333333333333
November,2014,1.89
December,2014,2.1266666666666665
January,2015,2.425
February,2015,3.485
March,2015,3.315
April,2015,3.25
May,2015,1.94
June,2015,2.14
July,2015,2.06
August,2015,1.2633333333333334
September,2015,1.584
October,2015,2.155
November,2015,1.5963333333333332
December,2015,1.9449999999999998
January,2016,2.45
February,2016,2.4066666666666667
March,2016,2.645
April,2016,2.04
May,2016,1.615
June,2016,1.3735
July,2016,1.6326666666666665
August,2016,1.665
September,2016,1.3213333333333332
October,2016,1.286
November,2016,1.2605
December,2016,1.6949999999999998
