MonthName,Year,value
May,2005,1.6366666666666667
June,2005,1.9866666666666666
July,2005,1.042
August,2005,2.063333333333333
September,2005,2.4466666666666668
October,2005,2.0166666666666666
November,2005,2.433333333333333
December,2005,3.0566666666666666
January,2006,2.9316666666666666
February,2006,3.66
March,2006,3.5433333333333334
April,2006,2.15
May,2006,0.9771666666666666
June,2006,2.2566666666666664
July,2006,1.7486666666666668
August,2006,1.3733333333333333
September,2006,0.86
October,2006,2.4433333333333334
November,2006,3.5333333333333337
December,2006,2.936666666666667
January,2007,2.9483333333333337
February,2007,3.385
March,2007,3.1633333333333336
April,2007,3.3783333333333334
May,2007,2.3833333333333333
June,2007,1.495
July,2007,2.2266666666666666
August,2007,1.55
September,2007,4.261666666666667
October,2007,2.796666666666667
November,2007,3.3816666666666664
December,2007,2.8316666666666666
January,2008,3.046666666666667
February,2008,3.0233333333333334
March,2008,2.9183333333333334
April,2008,2.5966666666666667
May,2008,1.1666666666666667
June,2008,2.1750000000000003
July,2008,2.328333333333333
August,2008,1.3810000000000002
September,2008,1.58
October,2008,1.9949999999999999
November,2008,1.372
December,2008,1.0128666666666666
January,2009,1.6266666666666667
February,2009,3.0866666666666664
March,2009,2.9919999999999995
April,2009,2.1183333333333336
May,2009,2.0100000000000002
June,2009,1.8333333333333333
July,2009,1.53
August,2009,1.7149999999999999
September,2009,2.07
October,2009,1.9777777777777779
November,2009,2.1033333333333335
December,2009,1.951111111111111
January,2010,3.0716666666666668
February,2010,3.19
March,2010,2.481666666666667
April,2010,2.4333333333333336
May,2010,1.925
June,2010,1.5183333333333333
July,2010,1.4383333333333332
August,2010,1.4433333333333334
September,2010,1.5716666666666665
October,2010,2.2016666666666667
November,2010,2.1366666666666667
December,2010,2.2244444444444444
October,2011,1.8666666666666665
November,2011,2.4166666666666665
December,2011,2.9066666666666667
January,2012,2.891666666666667
February,2012,2.9583333333333335
March,2012,2.295
April,2012,2.4633333333333334
May,2012,2.2133333333333334
June,2012,2.48
July,2012,1.9316666666666666
August,2012,1.9533333333333331
September,2012,2.11
October,2012,2.2216666666666667
November,2012,2.8577777777777778
December,2012,2.652222222222222
January,2013,2.6283333333333334
February,2013,3.73
March,2013,3.0716666666666668
April,2013,2.5216666666666665
May,2013,1.8183333333333334
June,2013,2.146666666666667
July,2013,0.9659999999999999
August,2013,1.445
September,2013,1.3256666666666665
October,2013,1.5088333333333335
November,2013,2.0534285714285714
December,2013,2.088888888888889
January,2014,2.6483333333333334
March,2014,2.606666666666667
April,2014,1.8183333333333334
May,2014,1.6116666666666666
June,2014,1.1445
July,2014,1.7366666666666666
August,2014,1.338888888888889
September,2014,1.2013333333333334
October,2014,2.0766666666666667
November,2014,1.865
December,2014,1.8383333333333332
January,2015,2.315
February,2015,2.3649999999999998
March,2015,2.9066666666666667
April,2015,2.5966666666666667
May,2015,2.185
June,2015,1.8583333333333334
July,2015,1.8533333333333333
August,2015,0.9281111111111111
September,2015,1.141
October,2015,1.8233333333333333
November,2015,1.8633333333333333
December,2015,1.87
January,2016,2.905666666666667
February,2016,1.97
March,2016,2.4316666666666666
April,2016,1.8183333333333334
May,2016,1.86
June,2016,2.0316666666666667
July,2016,1.3666666666666667
August,2016,1.4933333333333334
September,2016,1.37
October,2016,1.5233333333333334
November,2016,1.772166666666667
December,2016,1.6683333333333332
