MonthName,Year,value
January,2009,3.4
March,2009,5.56
April,2009,1.73
May,2009,1.76
June,2009,1.633
July,2009,2.163
August,2009,3.71
December,2009,2.379
January,2010,9.15
February,2010,2.49
March,2010,2.7
April,2010,3.15
May,2010,6.425
June,2010,3.43
July,2010,2.58
September,2010,3.529
August,2012,1.9614
October,2012,4.165
November,2012,1.156
December,2012,4.48
January,2013,2.0
February,2013,2.0
March,2013,3.1715
April,2013,3.995
May,2013,4.66
June,2013,2.73
July,2013,2.6633333333333336
August,2013,2.0
September,2013,2.0
October,2013,2.0
November,2013,2.0
December,2013,3.1
January,2014,4.0
February,2014,4.0
March,2014,4.0
April,2014,4.0
May,2014,4.0
June,2014,4.0
July,2014,4.0
August,2014,4.0
September,2014,4.0
October,2014,4.0
November,2014,4.0
December,2014,4.0
February,2015,2.0
March,2015,2.0
June,2015,4.81
July,2015,5.530666666666666
August,2015,0.9733333333333333
September,2015,1.49
October,2015,1.24
November,2015,1.3439999999999999
December,2015,2.065
January,2016,1.7435
February,2016,1.9115
March,2016,1.6395
April,2016,1.2345000000000002
May,2016,1.4685
June,2016,0.8285
July,2016,1.3946666666666667
August,2016,2.894666666666667
September,2016,1.2805
October,2016,1.464
November,2016,1.5779999999999998
December,2016,1.965
