MonthName,Year,value
May,2005,3.0866666666666664
June,2005,2.393333333333333
July,2005,1.5333333333333332
August,2005,1.2933333333333332
October,2005,1.67
November,2005,2.0066666666666664
January,2006,2.6166666666666667
February,2006,3.5833333333333335
May,2006,2.1999999999999997
July,2006,2.6
August,2006,1.9000000000000001
December,2006,2.8833333333333333
January,2007,2.763333333333333
February,2007,3.02
March,2007,2.3800000000000003
April,2007,2.4433333333333334
May,2007,1.3733333333333333
June,2007,1.1266666666666667
July,2007,0.8283333333333335
August,2007,3.53
September,2007,3.733333333333333
October,2007,2.07
November,2007,2.42
December,2007,1.3233333333333333
January,2008,2.4
March,2008,3.983333333333333
April,2008,3.043333333333333
May,2008,1.3533333333333335
June,2008,1.3533333333333333
July,2008,1.7033333333333331
August,2008,1.46
September,2008,1.33
October,2008,1.2166666666666666
November,2008,1.51
December,2008,1.45
January,2009,1.7633333333333334
February,2009,2.82
March,2009,2.89
April,2009,2.5733333333333337
May,2009,1.0170000000000001
June,2009,1.8733333333333333
July,2009,1.92
August,2009,1.7033333333333334
September,2009,1.834
October,2009,2.0166666666666666
November,2009,2.0233333333333334
December,2009,2.1199999999999997
January,2010,2.42
February,2010,3.2133333333333334
March,2010,2.8866666666666667
April,2010,1.8500000000000003
May,2010,1.9066666666666665
June,2010,2.0366666666666666
July,2010,1.4000000000000001
August,2010,1.9266666666666665
September,2010,1.6433333333333333
October,2010,2.1633333333333336
November,2010,2.223333333333333
December,2010,2.183333333333333
January,2011,2.566666666666667
February,2011,2.3333333333333335
March,2011,2.6533333333333333
April,2011,3.2433333333333336
May,2011,1.8833333333333335
June,2011,1.755
July,2011,1.7816666666666665
August,2011,1.6266666666666667
September,2011,1.6133333333333333
October,2011,1.71
November,2011,2.091666666666667
December,2011,2.353333333333333
January,2012,2.4166666666666665
February,2012,2.4433333333333334
March,2012,2.98
April,2012,2.19
May,2012,1.8933333333333333
June,2012,2.09
July,2012,1.5566666666666666
September,2012,1.9516666666666664
October,2012,2.1933333333333334
November,2012,2.3699999999999997
December,2012,2.393333333333333
January,2013,2.223333333333333
February,2013,2.686666666666667
March,2013,3.1566666666666667
April,2013,2.5833333333333335
May,2013,2.2566666666666664
June,2013,1.5456666666666667
July,2013,1.3466666666666667
August,2013,1.0533333333333335
September,2013,1.4333333333333333
October,2013,1.784
November,2013,1.7033333333333334
December,2013,2.0500000000000003
January,2014,2.36
March,2014,2.5
April,2014,2.1266666666666665
May,2014,1.3433333333333335
June,2014,1.11
September,2014,1.1863000000000001
October,2014,1.5293333333333334
November,2014,1.5857333333333334
December,2014,2.236666666666667
January,2015,2.4766666666666666
February,2015,2.8766666666666665
March,2015,2.8666666666666667
April,2015,1.5933333333333335
May,2015,1.34
June,2015,1.09
July,2015,1.9733333333333334
August,2015,1.5533333333333335
September,2015,1.097
October,2015,1.6133333333333333
November,2015,1.8566666666666667
December,2015,1.6966666666666665
January,2016,1.97
February,2016,2.1
March,2016,2.0966666666666667
April,2016,2.283333333333333
May,2016,1.4166666666666667
June,2016,1.3173333333333332
July,2016,1.5976666666666668
August,2016,1.524
September,2016,1.3633333333333333
October,2016,1.6473333333333333
November,2016,1.5966666666666667
December,2016,1.5303333333333333
