MonthName,Year,value
February,2006,9.64
March,2012,6.87
April,2012,5.7
May,2012,4.46
June,2012,4.23
July,2012,3.32
August,2012,3.42
October,2012,3.94
November,2012,3.68
December,2012,3.29
January,2013,3.81
February,2013,3.806
March,2013,2.516
April,2013,2.35
May,2013,2.814
June,2013,1.874
July,2013,3.19
August,2013,4.463
September,2013,5.52
October,2013,6.059
November,2013,5.146
December,2013,7.868
January,2014,6.407
February,2014,1.188
March,2014,2.107
April,2014,3.643
May,2014,2.726
June,2014,8.281
July,2014,2.822
August,2014,7.551
September,2014,8.776
October,2014,8.916
November,2014,7.296
December,2014,9.997
January,2015,6.354
February,2015,5.386
March,2015,2.961
April,2015,3.084
May,2015,3.347
June,2015,2.608
July,2015,2.996
August,2015,6.621
September,2015,3.56
October,2015,2.228
November,2015,3.857
December,2015,4.638
January,2016,3.766
February,2016,2.995
March,2016,3.148
April,2016,2.062
May,2016,2.115
June,2016,4.19
July,2016,2.911
August,2016,1.583
September,2016,2.994
October,2016,2.252
November,2016,3.923
December,2016,2.165
