MonthName,Year,value
May,2005,3.25
June,2005,2.3366666666666664
July,2005,1.4133333333333333
August,2005,1.8033333333333335
October,2005,2.436666666666667
November,2005,1.161
January,2006,2.92
February,2006,3.16
May,2006,1.61
July,2006,1.7833333333333332
August,2006,1.7366666666666666
December,2006,2.9933333333333336
January,2007,2.5866666666666664
February,2007,2.436666666666667
March,2007,2.5566666666666666
April,2007,2.453333333333333
May,2007,1.2633333333333334
June,2007,1.6600000000000001
July,2007,0.7166666666666667
August,2007,3.106666666666667
September,2007,3.5566666666666666
October,2007,1.726
November,2007,2.516666666666667
December,2007,1.36
January,2008,2.3033333333333332
February,2008,2.1633333333333336
March,2008,3.393333333333333
April,2008,3.3666666666666667
May,2008,1.406666666666667
June,2008,1.7466666666666668
July,2008,1.2333333333333334
August,2008,1.4066666666666665
September,2008,1.2966666666666666
October,2008,1.2466666666666668
November,2008,1.45
December,2008,1.24
January,2009,1.49
February,2009,2.89
March,2009,2.81
April,2009,2.2533333333333334
May,2009,1.0366666666666666
June,2009,1.9233333333333331
July,2009,1.8099999999999998
August,2009,1.92
September,2009,1.8099999999999998
October,2009,1.9633333333333332
November,2009,2.1733333333333333
December,2009,2.0733333333333333
January,2010,2.066666666666667
February,2010,3.72
March,2010,2.7866666666666666
April,2010,2.026666666666667
May,2010,2.0666666666666664
June,2010,1.9733333333333334
July,2010,1.3733333333333333
August,2010,2.13
September,2010,2.0
October,2010,2.16
November,2010,2.3966666666666665
December,2010,2.183333333333333
January,2011,2.5766666666666667
February,2011,2.763333333333333
March,2011,2.4033333333333338
April,2011,2.9899999999999998
May,2011,1.8816666666666666
June,2011,1.4116666666666664
July,2011,1.54
August,2011,1.4716666666666667
September,2011,1.6533333333333333
October,2011,2.0366666666666666
November,2011,2.125
December,2011,2.2733333333333334
January,2012,1.7733333333333334
February,2012,2.2266666666666666
March,2012,2.78
April,2012,2.0833333333333335
May,2012,1.6966666666666665
June,2012,1.5866666666666667
July,2012,1.3866666666666667
September,2012,1.7016666666666669
October,2012,1.8933333333333333
November,2012,2.22
December,2012,2.0833333333333335
January,2013,2.5533333333333332
February,2013,2.7133333333333334
March,2013,2.956666666666667
April,2013,2.2633333333333336
May,2013,1.8066666666666666
June,2013,1.5
July,2013,1.2333333333333332
August,2013,1.1900000000000002
September,2013,1.4233333333333331
October,2013,1.9456666666666667
November,2013,1.8846666666666667
December,2013,2.6333333333333333
January,2014,1.9666666666666668
March,2014,2.3833333333333333
April,2014,2.0566666666666666
May,2014,1.16
October,2014,1.5736666666666668
November,2014,1.19
December,2014,2.0866666666666664
January,2015,2.4266666666666667
February,2015,2.7533333333333334
March,2015,3.1566666666666667
April,2015,1.7666666666666666
May,2015,1.0933333333333335
June,2015,1.159
July,2015,1.2533333333333332
September,2015,1.269
October,2015,1.3666666666666665
November,2015,1.57
December,2015,1.5866666666666667
January,2016,1.8533333333333335
February,2016,1.9566666666666668
March,2016,1.8833333333333335
April,2016,2.3633333333333333
May,2016,1.7766666666666666
June,2016,1.3559999999999999
August,2016,1.51
September,2016,1.2750000000000001
October,2016,1.4333333333333333
November,2016,1.7233333333333334
December,2016,1.5593333333333332
