MonthName,Year,value
May,2005,2.16
June,2005,0.766
July,2005,2.29
August,2005,2.14
October,2005,2.57
November,2005,2.48
January,2006,3.19
February,2006,4.11
May,2006,2.42
July,2006,3.37
December,2006,2.95
January,2007,2.72
February,2007,2.7
March,2007,2.95
April,2007,4.17
May,2007,2.48
June,2007,2.31
July,2007,2.12
August,2007,5.78
September,2007,1.98
October,2007,2.78
November,2007,4.11
December,2007,5.71
February,2008,3.88
March,2008,3.06
May,2008,2.735
June,2008,2.08
July,2008,2.23
August,2008,2.17
September,2008,2.23
October,2008,1.89
November,2008,1.29
December,2008,1.48
January,2009,1.77
February,2009,4.22
March,2009,2.28
April,2009,1.68
May,2009,1.32
June,2009,5.21
July,2009,2.27
August,2009,2.44
September,2009,2.09
October,2009,2.27
November,2009,2.6
December,2009,2.58
January,2010,3.72
February,2010,2.81
March,2010,2.19
April,2010,2.12
May,2010,2.19
June,2010,2.68
July,2010,1.74
August,2010,2.21
September,2010,1.2
October,2010,2.03
November,2010,2.58
December,2010,2.26
January,2011,2.93
March,2011,3.14
April,2011,3.13
May,2011,1.83
June,2011,3.4
August,2011,1.75
September,2011,1.91
November,2011,2.195
December,2011,2.32
February,2012,2.9766666666666666
March,2012,2.3899999999999997
April,2012,2.205
May,2012,2.945
July,2012,1.63
August,2012,1.07
October,2012,2.1375
November,2012,3.176666666666667
December,2012,2.935
January,2013,2.61
February,2013,2.8533333333333335
March,2013,2.735
April,2013,2.465
May,2013,1.99
June,2013,2.46
July,2013,1.385
August,2013,1.4449999999999998
September,2013,1.525
October,2013,2.096
November,2013,2.022
December,2013,2.936666666666667
January,2014,3.04
March,2014,3.276666666666667
April,2014,2.505
May,2014,2.606666666666667
June,2014,2.9000000000000004
July,2014,1.69
August,2014,1.364
September,2014,1.1403333333333334
October,2014,1.565
November,2014,1.9766666666666666
December,2014,2.58
January,2015,3.565
February,2015,4.5600000000000005
March,2015,3.215
April,2015,4.04
May,2015,2.755
June,2015,3.45
July,2015,1.935
August,2015,1.4466666666666665
September,2015,1.795
November,2015,1.8066666666666666
December,2015,2.146
January,2016,2.88
February,2016,2.643333333333333
March,2016,2.645
April,2016,2.32
May,2016,1.8649999999999998
June,2016,1.845
July,2016,2.9766666666666666
August,2016,1.5915
September,2016,1.5510000000000002
October,2016,1.3195000000000001
November,2016,1.5215
December,2016,2.17
