MonthName,Year,value
January,2013,3.5
February,2013,3.5
March,2013,3.5
April,2013,3.5
May,2013,3.5
June,2013,2.298
July,2013,1.908
August,2013,3.737
September,2013,3.516
October,2013,10.531
November,2013,8.4015
December,2013,14.074
January,2014,12.028500000000001
March,2014,3.235
May,2014,3.0
June,2014,2.827
July,2014,12.014
September,2014,19.5685
October,2014,15.809000000000001
November,2014,15.7745
December,2014,11.0595
January,2015,8.07
February,2015,10.71
March,2015,6.097
April,2015,3.345
May,2015,2.468
June,2015,2.662
July,2015,2.212
August,2015,2.54
September,2015,2.752
October,2015,3.521
November,2015,2.817
December,2015,3.613
February,2016,9.5335
March,2016,2.641
April,2016,2.67
May,2016,4.559
June,2016,4.718
July,2016,7.077
August,2016,1.951
September,2016,2.261
October,2016,2.676
November,2016,2.711
December,2016,4.183
