MonthName,Year,value
January,2009,0.13
February,2009,0.05
March,2009,0.05
April,2009,0.13
May,2009,0.32
June,2009,0.2
July,2009,0.17
August,2009,0.2
September,2009,0.28
October,2009,0.16
November,2009,0.28
December,2009,0.11
January,2010,0.24
February,2010,0.15
March,2010,0.225
April,2010,0.21
May,2010,0.255
June,2010,0.15000000000000002
July,2010,0.325
August,2010,0.43500000000000005
September,2010,0.7
October,2010,0.5433333333333333
November,2010,0.43499999999999994
December,2010,0.265
January,2011,0.0975
February,2011,0.1065
March,2011,0.08399999999999999
April,2011,0.1945
May,2011,0.23500000000000001
June,2011,0.1805
July,2011,0.135
August,2011,0.22949999999999998
September,2011,0.11349999999999999
October,2011,0.105
November,2011,0.16
December,2011,0.07500000000000001
January,2012,0.08349999999999999
February,2012,0.061
March,2012,0.047
April,2012,0.10250000000000001
May,2012,0.11299999999999999
June,2012,0.22099999999999997
July,2012,0.1215
August,2012,0.0875
September,2012,0.1595
October,2012,0.10450000000000001
November,2012,0.1215
December,2012,0.268
January,2013,0.114
February,2013,0.042
March,2013,0.037
April,2013,0.024
May,2013,0.06
June,2013,0.112
July,2013,0.084
August,2013,0.028
September,2013,0.05
October,2013,0.051
November,2013,0.094
December,2013,0.054
January,2014,0.108
February,2014,0.046
March,2014,0.023
April,2014,0.075
May,2014,0.027
June,2014,0.031
July,2014,0.055
August,2014,0.036
September,2014,0.039
October,2014,0.082
November,2014,0.037
December,2014,0.029
January,2015,0.046
February,2015,0.045
March,2015,0.03
April,2015,0.051
May,2015,0.022
July,2015,0.031
August,2015,0.094
September,2015,0.15
October,2015,0.046
November,2015,0.037
December,2015,0.025
January,2016,0.037
February,2016,0.022
March,2016,0.029
April,2016,0.12
May,2016,0.071
June,2016,0.043
July,2016,0.061
August,2016,0.062
September,2016,0.061
October,2016,0.04
November,2016,0.24
December,2016,0.08
