MonthName,Year,value
January,1998,0.09
February,1998,0.06
March,1998,0.08
April,1998,0.08499999999999999
May,1998,0.08499999999999999
June,1998,0.07
July,1998,0.11
August,1998,0.08
September,1998,0.135
October,1998,0.04
November,1998,0.08
December,1998,0.10500000000000001
January,1999,0.14333333333333334
February,1999,0.10333333333333333
March,1999,0.07
April,1999,0.08
May,1999,0.10333333333333333
June,1999,0.10000000000000002
July,1999,0.08666666666666667
August,1999,0.08
September,1999,0.05
October,1999,0.055
November,1999,0.11
December,1999,0.07
January,2000,0.135
February,2000,0.13
March,2000,0.09000000000000001
April,2000,0.06666666666666667
May,2000,0.11333333333333333
June,2000,0.10333333333333333
July,2000,0.10000000000000002
August,2000,0.10666666666666667
September,2000,0.08666666666666667
October,2000,0.10333333333333333
November,2000,0.11666666666666665
December,2000,0.13333333333333333
January,2001,0.07
March,2001,0.06333333333333334
April,2001,0.10666666666666667
May,2001,0.05000000000000001
June,2001,0.05666666666666667
July,2001,0.08333333333333333
August,2001,0.07
September,2001,0.07333333333333333
October,2001,0.05333333333333334
February,2002,0.145
March,2002,0.14333333333333334
April,2002,0.16333333333333333
May,2002,0.13333333333333333
June,2002,0.14333333333333334
July,2002,0.12166666666666666
August,2002,0.15333333333333335
September,2002,0.09888888888888889
October,2002,0.2233333333333333
November,2002,0.18833333333333332
December,2002,0.18500000000000003
April,2003,0.13
May,2003,0.13999999999999999
June,2003,0.13649999999999998
July,2003,0.09366666666666668
August,2003,0.14333333333333334
September,2003,0.14333333333333334
October,2003,0.10683333333333334
November,2003,0.08833333333333333
December,2003,0.1575
January,2004,0.0765
February,2004,0.09100000000000001
March,2004,0.15666666666666668
April,2004,0.05933333333333333
May,2004,0.071
June,2004,0.0745
July,2004,0.05983333333333333
August,2004,0.03666666666666667
September,2004,0.05816666666666667
October,2004,0.051333333333333335
November,2004,0.10333333333333333
December,2004,0.1345
January,2005,0.10049999999999999
February,2005,0.10066666666666667
March,2005,0.08083333333333333
April,2005,0.059666666666666666
May,2005,0.06533333333333334
June,2005,0.06783333333333334
July,2005,0.08966666666666667
August,2005,0.09216666666666666
September,2005,0.10166666666666667
October,2005,0.125
November,2005,0.0815
December,2005,0.09916666666666667
January,2006,0.18516666666666667
February,2006,0.19083333333333333
March,2006,0.1205
April,2006,0.06533333333333334
May,2006,0.06583333333333334
June,2006,0.06783333333333334
July,2006,0.06483333333333334
August,2006,0.10216666666666667
September,2006,0.09833333333333333
October,2006,0.1775
November,2006,0.16833333333333333
December,2006,0.17166666666666666
January,2007,0.15666666666666665
February,2007,0.1675
March,2007,0.19299999999999998
April,2007,0.35250000000000004
May,2007,0.14833333333333334
June,2007,0.12166666666666666
July,2007,0.16
August,2007,0.09333333333333334
September,2007,0.17
October,2007,0.3261
November,2007,0.086
December,2007,0.25333333333333335
January,2008,0.1425
February,2008,0.2475
March,2008,0.23
May,2008,0.06333333333333334
June,2008,0.024999999999999998
July,2008,0.07733333333333334
August,2008,0.036333333333333336
September,2008,0.12485714285714286
October,2008,0.06516666666666666
November,2008,0.06899999999999999
December,2008,0.12
January,2009,0.03725
February,2009,0.13999999999999999
March,2009,0.10783333333333334
April,2009,0.09616666666666668
May,2009,0.043000000000000003
June,2009,0.077
July,2009,0.031
August,2009,0.09833333333333334
September,2009,0.073
October,2009,0.09666666666666668
November,2009,0.124
December,2009,0.07933333333333333
January,2010,0.1
February,2010,0.10633333333333334
March,2010,0.9933333333333333
April,2010,0.07133333333333335
May,2010,0.37333333333333335
June,2010,0.16
July,2010,0.17333333333333334
August,2010,0.3
September,2010,0.24833333333333332
October,2010,0.2766666666666666
November,2010,0.3375
December,2010,0.3614285714285715
January,2011,0.5
February,2011,0.22666666666666668
March,2011,0.17
April,2011,0.425
May,2011,0.265
June,2011,0.16333333333333333
July,2011,0.22999999999999998
August,2011,0.16666666666666666
September,2011,0.30666666666666664
October,2011,0.17
November,2011,0.18666666666666668
December,2011,0.25666666666666665
January,2012,0.129
February,2012,0.054
March,2012,0.09500000000000001
April,2012,0.08433333333333333
May,2012,0.10550000000000001
June,2012,0.09966666666666667
July,2012,0.08800000000000001
August,2012,0.09333333333333334
September,2012,0.09466666666666668
October,2012,0.22
November,2012,0.09500000000000001
December,2012,0.1
January,2013,0.10166666666666667
February,2013,0.09500000000000001
March,2013,0.06133333333333333
April,2013,0.084
May,2013,0.06466666666666666
June,2013,0.09466666666666668
July,2013,0.11466666666666665
August,2013,0.11566666666666665
September,2013,0.14966666666666664
October,2013,0.18766666666666668
November,2013,0.15166666666666664
December,2013,0.124
January,2014,0.18866666666666668
February,2014,0.13333333333333333
March,2014,0.07125
April,2014,0.05983333333333333
May,2014,0.1315
June,2014,0.1785
July,2014,0.16033333333333333
August,2014,0.1565
September,2014,0.1455
October,2014,0.159
November,2014,0.13985714285714287
December,2014,0.16275
January,2015,0.14925
February,2015,0.2595
March,2015,0.22733333333333336
April,2015,0.088
May,2015,0.057166666666666664
June,2015,0.06516666666666666
July,2015,0.05416666666666667
August,2015,0.051833333333333335
September,2015,0.06425
October,2015,0.06028571428571428
November,2015,0.06639999999999999
December,2015,0.06366666666666666
January,2016,0.09783333333333333
February,2016,0.0525
March,2016,0.0215
April,2016,0.13875
May,2016,0.04675
June,2016,0.04725
July,2016,0.054
August,2016,0.058333333333333334
September,2016,0.0625
October,2016,0.07250000000000001
November,2016,0.1005
December,2016,0.062
