MonthName,Year,value
October,1998,0.13
November,1998,0.16
December,1998,0.1
January,1999,0.1
February,1999,0.15
March,1999,0.04
April,1999,0.21
May,1999,0.16
June,1999,0.12
July,1999,0.08
August,1999,0.1
September,1999,0.28
October,1999,0.09
November,1999,0.07
December,1999,0.06
January,2000,0.05
February,2000,0.02
March,2000,0.09
April,2000,0.19
May,2000,0.04
June,2000,0.09
July,2000,0.02
August,2000,0.17
September,2000,0.05
October,2000,0.12
November,2000,0.08
December,2000,0.08
January,2001,0.14
February,2001,0.09
March,2001,0.09
April,2001,0.08
May,2001,0.02
June,2001,0.11
July,2001,0.06
August,2001,0.11
September,2001,0.04
January,2002,0.19333333333333336
February,2002,0.03
March,2002,0.03
April,2002,0.02
May,2002,0.02
June,2002,0.02
July,2002,0.04
August,2002,0.04
September,2002,0.05
October,2002,0.105
December,2002,0.03
February,2003,0.023
March,2003,0.029
April,2003,0.034
May,2003,0.032
June,2003,0.009
July,2003,0.04
August,2003,0.076
September,2003,0.168
October,2003,0.27
November,2003,0.098
December,2003,0.05
January,2004,0.035
September,2004,0.055
October,2004,0.239
December,2004,0.162
January,2005,0.177
February,2005,0.123
March,2005,0.035
April,2005,0.122
May,2005,0.015
July,2005,0.115
August,2005,0.095
September,2005,0.038
October,2005,0.098
November,2005,0.1
December,2005,0.06
January,2006,0.043
February,2006,0.19
March,2006,0.196
April,2006,0.192
May,2006,0.059
June,2006,0.048
July,2006,0.241
August,2006,0.101
September,2006,0.094
October,2006,0.576
November,2006,0.386
December,2006,0.081
January,2007,0.087
February,2007,0.1
March,2007,0.098
April,2007,0.124
May,2007,0.782
June,2007,0.101
July,2007,0.048
August,2007,0.066
September,2007,0.159
October,2007,0.309
November,2007,0.242
December,2007,0.109
March,2008,0.077
May,2008,0.08249999999999999
June,2008,0.439
July,2008,0.148
August,2008,0.072
September,2008,0.112
October,2008,0.0818
November,2008,0.067
December,2008,0.09385
January,2009,0.095
February,2009,0.111
March,2009,0.042
April,2009,0.065
May,2009,0.0945
June,2009,0.01
July,2009,0.1357
August,2009,0.646
September,2009,0.367
October,2009,0.059
November,2009,0.063
December,2009,0.0227
January,2010,0.1011
February,2010,0.0273
March,2010,0.031
April,2010,0.1479
May,2010,0.017
June,2010,0.068
July,2010,0.034
August,2010,0.037
September,2010,0.023
October,2010,0.056
November,2010,0.044
December,2010,0.101
January,2011,0.156
February,2011,0.052
March,2011,0.049
April,2011,0.038
May,2011,0.055
June,2011,0.039
August,2011,0.047
September,2011,0.038
November,2011,0.0755
December,2011,0.084
February,2012,0.0445
March,2012,0.1525
April,2012,0.029
May,2012,0.07200000000000001
July,2012,0.11375
August,2012,0.05
October,2012,0.0875
November,2012,0.07733333333333332
December,2012,0.0955
January,2013,0.092
February,2013,0.06966666666666667
March,2013,0.014499999999999999
April,2013,0.0285
May,2013,0.056
June,2013,0.111
July,2013,0.057499999999999996
August,2013,0.028499999999999998
September,2013,0.0575
October,2013,0.09
November,2013,0.07175000000000001
December,2013,0.039
January,2014,0.062
March,2014,0.08900000000000001
April,2014,0.069
May,2014,0.09899999999999999
June,2014,0.0969
July,2014,0.09
August,2014,0.16866666666666666
September,2014,0.08833333333333333
October,2014,0.091
November,2014,0.12166666666666666
December,2014,0.08133333333333333
January,2015,0.064
February,2015,0.11399999999999999
March,2015,0.07200000000000001
April,2015,0.1025
May,2015,0.069
June,2015,0.08499999999999999
July,2015,0.064
August,2015,0.10333333333333333
September,2015,0.066
October,2015,0.0975
November,2015,0.056666666666666664
December,2015,0.053500000000000006
January,2016,0.086
February,2016,0.1235
March,2016,0.0325
April,2016,0.10200000000000001
May,2016,0.063
June,2016,0.0955
July,2016,0.19466666666666665
August,2016,0.179
September,2016,0.07566666666666666
October,2016,0.07
November,2016,0.0725
December,2016,0.0635
