MonthName,Year,value
January,1998,0.08666666666666667
February,1998,0.11333333333333333
March,1998,0.1366666666666667
April,1998,0.08666666666666667
May,1998,0.10000000000000002
June,1998,0.12
July,1998,0.10333333333333333
August,1998,0.13
September,1998,0.12
October,1998,0.1366666666666667
November,1998,0.12333333333333334
December,1998,0.12333333333333334
January,1999,0.12666666666666668
February,1999,0.09333333333333334
March,1999,0.20666666666666667
April,1999,0.10666666666666667
May,1999,0.07333333333333333
June,1999,0.10333333333333333
July,1999,0.07666666666666667
August,1999,0.10666666666666667
September,1999,0.10000000000000002
October,1999,0.06333333333333334
November,1999,0.08
December,1999,0.05666666666666667
January,2000,0.05000000000000001
February,2000,0.04666666666666667
March,2000,0.043333333333333335
April,2000,0.09666666666666666
May,2000,0.05000000000000001
June,2000,0.13333333333333333
July,2000,0.04
August,2000,0.22999999999999998
September,2000,0.05000000000000001
October,2000,0.18333333333333335
November,2000,0.11
December,2000,0.15666666666666665
January,2001,0.10333333333333333
February,2001,0.04
March,2001,0.04
April,2001,0.09333333333333334
May,2001,0.03
June,2001,0.12666666666666668
July,2001,0.07
August,2001,0.10333333333333333
September,2001,0.06999999999999999
February,2002,0.04833333333333334
March,2002,0.05666666666666667
April,2002,0.02666666666666667
May,2002,0.03666666666666667
June,2002,0.043333333333333335
July,2002,0.03833333333333333
August,2002,0.060000000000000005
September,2002,0.051666666666666666
October,2002,0.08777777777777779
November,2002,0.06
December,2002,0.06833333333333334
February,2003,0.02766666666666667
March,2003,0.13016666666666668
April,2003,0.036000000000000004
May,2003,0.03266666666666667
June,2003,0.019966666666666664
July,2003,0.029666666666666664
August,2003,0.04133333333333333
September,2003,0.058666666666666666
October,2003,0.09566666666666668
November,2003,0.08750000000000001
December,2003,0.044833333333333336
January,2004,0.026166666666666668
September,2004,0.06416666666666666
October,2004,0.17400000000000002
November,2004,0.09466666666666666
December,2004,0.13833333333333334
January,2005,0.08966666666666667
February,2005,0.09699999999999999
March,2005,0.053
April,2005,0.068
May,2005,0.07333333333333333
July,2005,0.07483333333333332
August,2005,0.1565
September,2005,0.112
October,2005,0.11883333333333333
November,2005,0.077
December,2005,0.025166666666666667
January,2006,0.1305
February,2006,0.10016666666666667
March,2006,0.11733333333333333
April,2006,0.2061666666666667
May,2006,0.0615
June,2006,0.028
July,2006,0.169
August,2006,0.07316666666666667
September,2006,0.03883333333333334
October,2006,0.13599999999999998
November,2006,1.8888333333333334
December,2006,0.10216666666666667
January,2007,0.10083333333333333
February,2007,0.147
March,2007,0.1948
April,2007,0.08533333333333333
May,2007,0.11666666666666665
June,2007,0.1635
July,2007,0.32566666666666666
August,2007,0.08066666666666666
September,2007,0.08716666666666667
October,2007,0.1853
November,2007,0.06333333333333334
December,2007,0.06
February,2008,0.12013333333333333
March,2008,0.20333333333333334
April,2008,0.15033333333333335
May,2008,0.08966666666666667
June,2008,0.06118888888888888
July,2008,0.14916666666666667
August,2008,0.09549999999999999
September,2008,0.17033333333333334
October,2008,0.07401666666666666
November,2008,0.04843333333333333
December,2008,0.02526666666666667
January,2009,0.10313333333333334
February,2009,0.13249999999999998
March,2009,0.12108333333333333
April,2009,0.30983333333333335
May,2009,0.22313333333333332
June,2009,0.10551666666666666
July,2009,0.02888333333333333
August,2009,0.09876666666666667
September,2009,0.2333333333333333
October,2009,0.14014444444444446
November,2009,0.1718111111111111
December,2009,0.1226111111111111
January,2010,0.07753333333333333
February,2010,0.11501666666666666
March,2010,0.07688333333333333
April,2010,0.13033333333333333
May,2010,0.044333333333333336
June,2010,0.0305
July,2010,0.09516666666666666
August,2010,0.03846666666666667
September,2010,0.08949999999999998
October,2010,0.12533333333333332
November,2010,0.03344444444444444
December,2010,0.08511111111111111
January,2011,0.12683333333333333
February,2011,0.113
March,2011,0.075
April,2011,0.06916666666666667
May,2011,0.038
June,2011,0.038
July,2011,0.08983333333333332
August,2011,0.07844444444444444
September,2011,0.10416666666666667
October,2011,0.0845
November,2011,0.1065
December,2011,0.20844444444444446
January,2012,0.06433333333333334
February,2012,0.058666666666666666
March,2012,0.10383333333333333
April,2012,0.11083333333333334
May,2012,0.08083333333333333
June,2012,0.11299999999999999
July,2012,0.109
August,2012,0.09799999999999999
September,2012,0.23966666666666667
October,2012,0.09566666666666668
November,2012,0.07255555555555555
December,2012,0.14777777777777779
January,2013,0.12066666666666666
February,2013,0.08583333333333333
March,2013,0.036833333333333336
April,2013,0.024999999999999998
May,2013,0.050583333333333334
June,2013,0.021166666666666667
July,2013,0.023000000000000003
August,2013,0.05333333333333334
September,2013,0.049999999999999996
October,2013,0.10166666666666667
November,2013,0.09271428571428572
December,2013,0.11488888888888889
January,2014,0.10416666666666667
March,2014,0.08
April,2014,0.06
May,2014,0.06833333333333334
June,2014,0.033
July,2014,0.033666666666666664
August,2014,0.04533333333333334
September,2014,0.0595
October,2014,0.09266666666666667
November,2014,0.072
December,2014,0.08333333333333333
January,2015,0.0765
February,2015,0.07266666666666667
March,2015,0.10216666666666667
April,2015,0.09683333333333333
May,2015,0.07116666666666667
June,2015,0.041
July,2015,0.0405
August,2015,0.043333333333333335
September,2015,0.042333333333333334
October,2015,0.06133333333333333
November,2015,0.06944444444444445
December,2015,0.043833333333333335
January,2016,0.05616666666666666
February,2016,0.05466666666666667
March,2016,0.07033333333333333
April,2016,0.06266666666666666
May,2016,0.08416666666666667
June,2016,0.105
July,2016,0.044000000000000004
August,2016,0.11299999999999999
September,2016,0.08394444444444445
October,2016,0.0645
November,2016,0.0755
December,2016,0.06166666666666667
