MonthName,Year,value
January,2009,0.82
March,2009,0.024
April,2009,0.043
May,2009,0.046
June,2009,2.1382
July,2009,0.021
August,2009,0.09
September,2009,0.221
October,2009,0.07
November,2009,0.124
December,2009,0.086
January,2010,0.071
February,2010,0.078
March,2010,0.055
April,2010,0.114
May,2010,0.113
June,2010,0.248
July,2010,0.212
August,2010,0.07
September,2010,0.056
October,2010,0.202
November,2010,0.026
December,2010,0.109
January,2011,0.106
February,2011,0.212
March,2011,0.24
April,2011,0.125
May,2011,0.089
June,2011,0.108
July,2011,0.033
August,2011,0.087
September,2011,0.062
October,2011,0.05
November,2011,0.164
December,2011,0.185
January,2012,0.07
February,2012,0.384
March,2012,0.112
April,2012,0.158
May,2012,0.086
June,2012,0.089
July,2012,0.158
August,2012,0.161
September,2012,0.253
October,2012,0.071
November,2012,0.076
December,2012,0.137
January,2013,0.11649999999999999
February,2013,0.319
March,2013,0.128
April,2013,0.063
May,2013,0.26
June,2013,0.1065
July,2013,0.18766666666666665
August,2013,0.137
September,2013,0.03
October,2013,0.10200000000000001
November,2013,0.1085
December,2013,0.062
January,2014,0.0805
February,2014,0.058499999999999996
March,2014,0.376
April,2014,0.276
May,2014,0.118
June,2014,0.0135
July,2014,0.11666666666666665
August,2014,0.15066666666666667
September,2014,0.09
October,2014,0.058
November,2014,0.0795
December,2014,0.144
January,2015,0.243
February,2015,0.1015
March,2015,0.161
April,2015,0.10200000000000001
May,2015,0.058
June,2015,0.035
July,2015,0.08333333333333333
August,2015,0.13033333333333333
September,2015,0.093
October,2015,0.10750000000000001
November,2015,0.104
December,2015,0.062
January,2016,0.11399999999999999
February,2016,0.14350000000000002
March,2016,0.1215
April,2016,0.1895
May,2016,0.17350000000000002
June,2016,0.135
July,2016,0.396
August,2016,0.19666666666666666
September,2016,0.085
October,2016,0.134
November,2016,0.197
December,2016,0.121
