MonthName,Year,value
January,1998,0.09666666666666668
February,1998,0.10333333333333333
March,1998,0.09999999999999999
April,1998,0.10000000000000002
May,1998,0.08666666666666667
June,1998,0.11
July,1998,0.09000000000000001
August,1998,0.07333333333333335
September,1998,0.07666666666666667
October,1998,0.11666666666666665
November,1998,0.09666666666666668
December,1998,0.08666666666666667
January,1999,0.06666666666666667
February,1999,0.03
March,1999,0.14333333333333334
April,1999,0.1366666666666667
May,1999,0.07333333333333333
June,1999,0.12666666666666668
July,1999,0.06666666666666667
August,1999,0.08
September,1999,0.07
October,1999,0.07333333333333333
November,1999,0.07
December,1999,0.04666666666666667
January,2000,0.023333333333333334
February,2000,0.049999999999999996
March,2000,0.023333333333333334
April,2000,0.12
May,2000,0.07333333333333333
June,2000,0.11666666666666665
July,2000,0.02
August,2000,0.19000000000000003
September,2000,0.043333333333333335
October,2000,0.14
November,2000,0.14666666666666667
December,2000,0.14
January,2001,0.08666666666666667
February,2001,0.07
March,2001,0.04
April,2001,0.06999999999999999
May,2001,0.09000000000000001
June,2001,0.11333333333333333
July,2001,0.05333333333333334
August,2001,0.10666666666666667
September,2001,0.07333333333333333
January,2002,0.04666666666666667
February,2002,0.05666666666666667
March,2002,0.05000000000000001
April,2002,0.023333333333333334
May,2002,0.03333333333333333
June,2002,0.05333333333333334
July,2002,0.023333333333333334
August,2002,0.04666666666666667
September,2002,0.04
October,2002,0.07833333333333334
December,2002,0.04666666666666667
February,2003,0.015
March,2003,0.05933333333333333
April,2003,0.030333333333333334
May,2003,0.026
June,2003,0.029666666666666664
July,2003,0.05399999999999999
August,2003,0.10133333333333333
September,2003,0.19666666666666666
October,2003,0.247
November,2003,0.13533333333333333
December,2003,0.09633333333333333
September,2004,0.042666666666666665
October,2004,0.08600000000000001
December,2004,0.12733333333333333
January,2005,0.14033333333333334
February,2005,0.17300000000000001
March,2005,0.06766666666666667
April,2005,0.13833333333333334
May,2005,0.010666666666666666
July,2005,0.052333333333333336
August,2005,0.146
September,2005,0.04666666666666667
October,2005,0.051333333333333335
November,2005,0.3313333333333333
December,2005,0.05499999999999999
January,2006,0.19266666666666668
February,2006,0.157
March,2006,0.15
April,2006,0.11466666666666665
May,2006,0.14033333333333334
June,2006,0.09000000000000001
July,2006,0.09166666666666667
August,2006,0.105
September,2006,0.09233333333333334
October,2006,0.15566666666666665
November,2006,0.12066666666666666
December,2006,0.07666666666666666
January,2007,0.11299999999999999
February,2007,0.10333333333333333
March,2007,0.30466666666666664
April,2007,0.11866666666666666
May,2007,0.12366666666666666
June,2007,0.10999999999999999
July,2007,0.08766666666666667
August,2007,0.18600000000000003
September,2007,0.16333333333333333
October,2007,0.13233333333333333
November,2007,0.25099999999999995
December,2007,0.18933333333333333
March,2008,0.21646666666666667
April,2008,0.12966666666666668
May,2008,0.16233333333333333
June,2008,0.19733333333333333
July,2008,0.212
August,2008,0.07016666666666667
September,2008,0.22066666666666668
October,2008,0.11863333333333333
November,2008,0.076
December,2008,0.05960000000000001
January,2009,0.12233333333333334
February,2009,0.10066666666666667
March,2009,0.126
April,2009,0.08433333333333333
May,2009,0.141
June,2009,0.0179
July,2009,0.035666666666666666
August,2009,0.08560000000000001
September,2009,0.08127999999999999
October,2009,0.19713333333333335
November,2009,0.06333333333333334
December,2009,0.11366666666666665
January,2010,0.12433333333333334
February,2010,0.11263333333333332
March,2010,0.0578
April,2010,0.3016666666666667
May,2010,0.03333333333333333
June,2010,0.042333333333333334
July,2010,0.05333333333333334
August,2010,0.07866666666666666
September,2010,0.03766666666666666
October,2010,0.04666666666666667
November,2010,0.09400000000000001
December,2010,0.05366666666666667
January,2011,0.08633333333333333
February,2011,0.08533333333333333
March,2011,0.05833333333333333
April,2011,0.064
May,2011,0.038
June,2011,0.041
July,2011,0.06866666666666667
August,2011,0.08916666666666667
September,2011,0.09466666666666668
October,2011,0.09716666666666667
November,2011,0.09233333333333334
December,2011,0.06983333333333333
January,2012,0.0
February,2012,0.06766666666666667
March,2012,0.08533333333333333
April,2012,0.04733333333333333
May,2012,0.069
June,2012,0.08066666666666666
July,2012,0.09266666666666667
September,2012,0.08900000000000001
October,2012,0.09666666666666666
November,2012,0.09333333333333332
December,2012,0.050666666666666665
January,2013,0.12466666666666666
February,2013,0.06066666666666667
March,2013,0.085
April,2013,0.057333333333333326
May,2013,0.059
June,2013,0.02466666666666667
July,2013,0.054
August,2013,0.014666666666666666
September,2013,0.034333333333333334
October,2013,0.05266666666666667
November,2013,0.11833333333333333
December,2013,0.075
January,2014,0.111
March,2014,0.11633333333333334
April,2014,0.11233333333333334
May,2014,0.08900000000000001
June,2014,0.10266666666666667
July,2014,0.07233333333333333
August,2014,0.06766666666666667
September,2014,0.06116666666666667
October,2014,0.08133333333333333
November,2014,0.07333333333333332
December,2014,0.11066666666666668
January,2015,0.11066666666666668
February,2015,0.07633333333333332
March,2015,0.08866666666666667
April,2015,0.10866666666666668
May,2015,0.09633333333333334
June,2015,0.07433333333333333
July,2015,0.1416666666666667
August,2015,0.05433333333333334
September,2015,0.06833333333333334
October,2015,0.08600000000000001
November,2015,0.104
December,2015,0.11733333333333333
January,2016,0.08366666666666667
February,2016,0.08033333333333333
March,2016,0.09966666666666667
April,2016,0.09766666666666668
May,2016,0.14333333333333334
June,2016,0.17733333333333334
July,2016,0.13133333333333333
August,2016,0.18566666666666665
September,2016,0.121
October,2016,0.11266666666666668
November,2016,0.12066666666666666
December,2016,0.10566666666666667
